Date,CUR_MKT_CAP
2006-01-03,10385.4756
2006-01-04,10441.2914
2006-01-05,10497.1073
2006-01-06,10783.6289
2006-01-09,10805.9552
2006-01-10,10653.3918
2006-01-11,11326.9035
2006-01-12,12156.6996
2006-01-13,11952.0414
2006-01-17,11806.9201
2006-01-18,11672.962
2006-01-19,12123.2101
2006-01-20,11587.4241
2006-01-23,11520.3985
2006-01-24,11308.2982
2006-01-25,11297.135
2006-01-26,11341.7877
2006-01-27,11769.7095
2006-01-30,11870.1781
2006-01-31,11609.704
2006-02-01,11680.4041
2006-02-02,11464.5827
2006-02-03,11587.3776
2006-02-06,11472.0248
2006-02-07,11479.4669
2006-02-08,11672.962
2006-02-09,11684.1251
2006-02-10,11658.0777
2006-02-13,11695.2883
2006-02-14,11684.1251
2006-02-15,11594.8197
2006-02-16,12495.316
2006-02-17,12294.3788
2006-02-21,12253.4472
2006-02-22,12446.9422
2006-02-23,12108.3259
2006-02-24,12119.489
2006-02-27,12465.5475
2006-02-28,12339.0315
2006-03-01,12722.3006
2006-03-02,12729.7427
2006-03-03,12599.5056
2006-03-06,12528.8055
2006-03-07,12394.8474
2006-03-08,12530.7626
2006-03-09,12399.8051
2006-03-10,12414.7717
2006-03-13,12377.3553
2006-03-14,12680.4284
2006-03-15,12811.3859
2006-03-16,12912.4102
2006-03-17,13114.4589
2006-03-20,13065.8176
2006-03-21,12923.6352
2006-03-22,13039.6261
2006-03-23,13140.6504
2006-03-24,13088.2674
2006-03-27,13114.4589
2006-03-28,13039.6261
2006-03-29,13327.7326
2006-03-30,13541.0063
2006-03-31,13481.14
2006-04-03,13496.1065
2006-04-04,13469.915
2006-04-05,13870.2708
2006-04-06,13930.1371
2006-04-07,13731.8301
2006-04-10,13664.4805
2006-04-11,13630.8057
2006-04-12,13443.7235
2006-04-13,13937.6204
2006-04-17,13758.0216
2006-04-18,14128.4442
2006-04-19,14139.6691
2006-04-20,14128.4442
2006-04-21,13810.4046
2006-04-24,13915.1706
2006-04-25,13829.1128
2006-04-26,13866.5292
2006-04-27,13937.6204
2006-04-28,13870.2708
2006-05-01,13604.6142
2006-05-02,13372.6323
2006-05-03,13458.6901
2006-05-04,13844.0793
2006-05-05,14061.0946
2006-05-08,13911.4289
2006-05-09,13851.5626
2006-05-10,13541.0063
2006-05-11,13043.3677
2006-05-12,12639.2703
2006-05-15,12463.4131
2006-05-16,12190.2731
2006-05-17,12261.3643
2006-05-18,12310.0057
2006-05-19,12643.0119
2006-05-22,12699.1366
2006-05-23,12545.7292
2006-05-24,12527.021
2006-05-25,12482.1213
2006-05-26,12661.7201
2006-05-30,12096.732
2006-05-31,11973.2578
2006-06-01,12160.34
2006-06-02,12104.2153
2006-06-05,11857.2669
2006-06-06,11662.7014
2006-06-07,11707.6012
2006-06-08,11617.8017
2006-06-09,11894.6833
2006-06-12,11711.3428
2006-06-13,12040.6074
2006-06-14,12411.0301
2006-06-15,12979.7598
2006-06-16,12919.8935
2006-06-19,12785.1944
2006-06-20,12773.9694
2006-06-21,13043.3677
2006-06-22,13084.5258
2006-06-23,13043.3677
2006-06-26,12949.8267
2006-06-27,12695.3949
2006-06-28,12669.2034
2006-06-29,13222.9666
2006-06-30,13208.0
2006-07-03,13140.6504
2006-07-05,12788.936
2006-07-06,12961.0516
2006-07-07,12407.2884
2006-07-10,11774.9507
2006-07-11,11498.0691
2006-07-12,10627.5716
2006-07-13,10382.32
2006-07-14,10003.2947
2006-07-17,10066.4656
2006-07-18,10452.9227
2006-07-19,10921.1304
2006-07-20,11051.1881
2006-07-21,10713.0381
2006-07-24,11121.7909
2006-07-25,11262.9964
2006-07-26,11199.8255
2006-07-27,10857.9596
2006-07-28,11084.6315
2006-07-31,11017.7447
2006-08-01,10891.403
2006-08-02,11095.7794
2006-08-03,11203.5414
2006-08-04,11181.2458
2006-08-07,10898.8348
2006-08-08,10772.4931
2006-08-09,10776.209
2006-08-10,10835.664
2006-08-11,10898.8348
2006-08-14,11136.6546
2006-08-15,11779.5112
2006-08-16,12035.9107
2006-08-17,12017.331
2006-08-18,12600.7327
2006-08-21,12351.7651
2006-08-22,12727.0744
2006-08-23,12630.4602
2006-08-24,12645.3239
2006-08-25,12585.8689
2006-08-28,12708.4948
2006-08-29,12775.3816
2006-08-30,12764.2338
2006-08-31,12723.3585
2006-09-01,12775.3816
2006-09-05,12786.5294
2006-09-06,12548.7096
2006-09-07,12393.9847
2006-09-08,12654.6755
2006-09-11,12542.9508
2006-09-12,12639.7789
2006-09-13,12535.5025
2006-09-14,12755.2276
2006-09-15,12576.4682
2006-09-18,13041.9875
2006-09-19,13403.2304
2006-09-20,13641.5763
2006-09-21,13503.7826
2006-09-22,13399.5063
2006-09-25,13738.4043
2006-09-26,13783.0941
2006-09-27,13649.0246
2006-09-28,13954.4052
2006-09-29,13783.0941
2006-10-02,13723.5077
2006-10-03,13928.3362
2006-10-04,14211.3719
2006-10-05,14013.9917
2006-10-06,13734.6801
2006-10-09,14062.4057
2006-10-10,14237.4409
2006-10-11,14330.5448
2006-10-12,14304.4757
2006-10-13,14736.4776
2006-10-16,14758.8225
2006-10-17,14274.6825
2006-10-18,14092.1989
2006-10-19,14032.6125
2006-10-20,13961.8535
2006-10-23,13924.612
2006-10-24,13667.6454
2006-10-25,13775.6458
2006-10-26,13935.7845
2006-10-27,13325.0232
2006-10-30,13764.4734
2006-10-31,13593.1623
2006-11-01,13410.6787
2006-11-02,13235.6435
2006-11-03,13406.9546
2006-11-06,13570.8174
2006-11-07,13671.3695
2006-11-08,13637.8521
2006-11-09,13470.2652
2006-11-10,13742.1285
2006-11-13,13973.026
2006-11-14,14162.9579
2006-11-15,14151.7854
2006-11-16,14881.7196
2006-11-17,14881.7196
2006-11-20,14889.1679
2006-11-21,15265.3075
2006-11-22,15373.3079
2006-11-24,15254.135
2006-11-27,14684.3394
2006-11-28,14781.1674
2006-11-29,14822.1331
2006-11-30,14628.4771
2006-12-01,14345.4414
2006-12-04,14669.4428
2006-12-05,14725.3051
2006-12-06,14494.4076
2006-12-07,14703.0958
2006-12-08,14762.9101
2006-12-11,14725.5262
2006-12-12,14796.5557
2006-12-13,14598.4209
2006-12-14,14975.9985
2006-12-15,15327.4073
2006-12-18,15196.5636
2006-12-19,15174.1332
2006-12-20,15043.2895
2006-12-21,14987.2136
2006-12-22,14792.8173
