Date,CUR_MKT_CAP
2006-01-03,14042.0472
2006-01-04,14045.7947
2006-01-05,13982.0865
2006-01-06,14146.9784
2006-01-09,13993.3291
2006-01-10,13940.8635
2006-01-11,13847.1749
2006-01-12,13974.5914
2006-01-13,13978.3389
2006-01-17,14244.4145
2006-01-18,14214.4342
2006-01-19,14090.7652
2006-01-20,13940.8635
2006-01-23,14027.057
2006-01-24,14259.4047
2006-01-25,14083.2701
2006-01-26,13925.8733
2006-01-27,13989.5815
2006-01-30,14023.3094
2006-01-31,13982.0865
2006-02-01,14105.7554
2006-02-02,13817.1945
2006-02-03,13787.2142
2006-02-06,13865.9126
2006-02-07,13922.1258
2006-02-08,13659.7977
2006-02-09,13787.2142
2006-02-10,13847.1749
2006-02-13,13772.224
2006-02-14,13622.3222
2006-02-15,13760.9814
2006-02-16,13925.8733
2006-02-17,14109.503
2006-02-21,14143.2308
2006-02-22,14236.9194
2006-02-23,14135.7358
2006-02-24,13111.8007
2006-02-27,13284.4607
2006-02-28,13139.4263
2006-03-01,13281.0075
2006-03-02,13481.2931
2006-03-03,13422.5887
2006-03-06,13194.6775
2006-03-07,13177.4115
2006-03-08,13374.2439
2006-03-09,13470.9335
2006-03-10,13574.5295
2006-03-13,13622.8743
2006-03-14,13809.3471
2006-03-15,13902.5835
2006-03-16,13957.8347
2006-03-17,13902.5835
2006-03-20,13726.4703
2006-03-21,13709.2043
2006-03-22,13798.9875
2006-03-23,13926.7559
2006-03-24,13930.2091
2006-03-27,13930.2091
2006-03-28,13868.0515
2006-03-29,13681.5787
2006-03-30,13602.1551
2006-03-31,13432.9483
2006-04-03,13588.3423
2006-04-04,13854.2387
2006-04-05,14082.1499
2006-04-06,13678.1255
2006-04-07,13536.5443
2006-04-10,13664.3127
2006-04-11,13539.9975
2006-04-12,13505.4655
2006-04-13,13332.8055
2006-04-17,13401.8695
2006-04-18,13636.6871
2006-04-19,13619.4211
2006-04-20,13602.1551
2006-04-21,13650.4999
2006-04-24,13595.2487
2006-04-25,13488.1995
2006-04-26,13415.6823
2006-04-27,13474.3867
2006-04-28,13757.5491
2006-05-01,13546.9039
2006-05-02,13719.5639
2006-05-03,13740.8659
2006-05-04,13699.2059
2006-05-05,14164.4095
2006-05-08,13851.9593
2006-05-09,13758.2243
2006-05-10,13976.9394
2006-05-11,13661.0175
2006-05-12,13643.6592
2006-05-15,13626.3008
2006-05-16,13456.1891
2006-05-17,13310.379
2006-05-18,13438.8307
2006-05-19,13532.5658
2006-05-22,13629.7725
2006-05-23,13386.7557
2006-05-24,13647.1309
2006-05-25,13806.8276
2006-05-26,13886.676
2006-05-30,13636.7159
2006-05-31,13775.5826
2006-06-01,13917.921
2006-06-02,14008.1844
2006-06-05,13938.7511
2006-06-06,13938.7511
2006-06-07,13921.3927
2006-06-08,14129.6929
2006-06-09,14074.1462
2006-06-12,13994.2978
2006-06-13,13667.9609
2006-06-14,13490.9058
2006-06-15,13633.2442
2006-06-16,13570.7541
2006-06-19,13622.8292
2006-06-20,13629.7725
2006-06-21,13567.2825
2006-06-22,13532.5658
2006-06-23,13570.7541
2006-06-26,13608.9425
2006-06-27,13567.2825
2006-06-28,13542.9808
2006-06-29,13473.5474
2006-06-30,13636.7159
2006-07-03,13796.4126
2006-07-05,13740.8659
2006-07-06,13622.8292
2006-07-07,13792.941
2006-07-10,13761.6959
2006-07-11,13817.2426
2006-07-12,13758.2243
2006-07-13,13858.9027
2006-07-14,13779.0543
2006-07-17,13817.2426
2006-07-18,14067.2028
2006-07-19,14157.4662
2006-07-20,14153.9945
2006-07-21,14101.9195
2006-07-24,14334.5213
2006-07-25,14258.1446
2006-07-26,14386.5964
2006-07-27,14320.6347
2006-07-28,14490.7464
2006-07-31,14469.9164
2006-08-01,14570.5948
2006-08-02,14604.8408
2006-08-03,14302.0236
2006-08-04,14281.1396
2006-08-07,14075.7808
2006-08-08,14235.8911
2006-08-09,14343.7914
2006-08-10,14483.0178
2006-08-11,14385.5593
2006-08-14,14458.6532
2006-08-15,14573.5149
2006-08-16,14402.9626
2006-08-17,14357.7141
2006-08-18,14528.2663
2006-08-21,14608.3215
2006-08-22,14695.3379
2006-08-23,14322.9075
2006-08-24,14371.6367
2006-08-25,14413.4046
2006-08-28,14583.9568
2006-08-29,14556.1116
2006-08-30,14389.04
2006-08-31,14594.3988
2006-09-01,14479.5371
2006-09-05,14375.1174
2006-09-06,14260.2557
2006-09-07,14288.1009
2006-09-08,14375.1174
2006-09-11,14371.6367
2006-09-12,14260.2557
2006-09-13,14441.2499
2006-09-14,14326.3882
2006-09-15,14371.6367
2006-09-18,14215.0071
2006-09-19,14298.5429
2006-09-20,14361.1947
2006-09-21,14274.1783
2006-09-22,14462.1338
2006-09-25,14674.454
2006-09-26,14580.4762
2006-09-27,14775.393
2006-09-28,14653.57
2006-09-29,14496.9404
2006-10-02,14618.7634
2006-10-03,14650.0893
2006-10-04,14761.4704
2006-10-05,14629.2054
2006-10-06,14566.5536
2006-10-09,14580.4762
2006-10-10,14573.5149
2006-10-11,14751.0284
2006-10-12,14695.3379
2006-10-13,14615.2828
2006-10-16,14723.1832
2006-10-17,14757.9897
2006-10-18,14966.8292
2006-10-19,14949.4259
2006-10-20,15008.5971
2006-10-23,15074.7296
2006-10-24,14991.1938
2006-10-25,15113.0169
2006-10-26,15071.249
2006-10-27,15053.8457
2006-10-30,15060.807
2006-10-31,15015.5584
2006-11-01,15130.4201
2006-11-02,15053.8457
2006-11-03,14897.2161
2006-11-06,15050.365
2006-11-07,15050.365
2006-11-08,15260.4467
2006-11-09,15337.185
2006-11-10,15490.6615
2006-11-13,15427.8756
2006-11-14,15556.9354
2006-11-15,15720.8762
2006-11-16,16020.853
2006-11-17,15846.4479
2006-11-20,15755.7572
2006-11-21,15794.1264
2006-11-22,15787.1502
2006-11-24,15863.8884
2006-11-27,15731.3405
2006-11-28,15856.9122
2006-11-29,16010.3887
2006-11-30,16020.853
2006-12-01,16177.8176
2006-12-04,16317.3417
2006-12-05,16282.4607
2006-12-06,16198.7462
2006-12-07,16202.2343
2006-12-08,16003.4125
2006-12-11,16149.9128
2006-12-12,16366.1751
2006-12-13,16397.568
2006-12-14,16470.8182
2006-12-15,16498.723
2006-12-18,16519.6516
2006-12-19,16735.9139
2006-12-20,16620.8066
2006-12-21,16558.0207
2006-12-22,16488.2587
2006-12-26,16627.7828
2006-12-27,16659.1757
2006-12-28,16610.3423
2006-12-29,16509.1873
2007-01-03,16488.2587
2007-01-04,16261.532
2007-01-05,15867.3765
2007-01-08,16020.853
