Date,CUR_MKT_CAP
2006-01-03,3196.0652
2006-01-04,3239.2552
2006-01-05,3290.2607
2006-01-06,3335.9187
2006-01-09,3358.1308
2006-01-10,3389.8035
2006-01-11,3380.7541
2006-01-12,3363.8894
2006-01-13,3318.6427
2006-01-17,3352.3721
2006-01-18,3348.2588
2006-01-19,3403.3775
2006-01-20,3348.2588
2006-01-23,3382.3995
2006-01-24,3454.7943
2006-01-25,3467.5456
2006-01-26,3481.9423
2006-01-27,3507.445
2006-01-30,3486.467
2006-01-31,3456.8509
2006-02-01,3446.9789
2006-02-02,3430.1142
2006-02-03,3405.8455
2006-02-06,3393.5055
2006-02-07,3362.6554
2006-02-08,3356.4854
2006-02-09,3386.1015
2006-02-10,3418.1855
2006-02-13,3428.4689
2006-02-14,3467.5456
2006-02-15,3473.3043
2006-02-16,3508.679
2006-02-17,3555.5711
2006-02-21,3560.0958
2006-02-22,3573.6698
2006-02-23,3578.1945
2006-02-24,3567.0884
2006-02-27,3543.6424
2006-02-28,3574.9038
2006-03-01,3588.0665
2006-03-02,3611.1012
2006-03-03,3615.6259
2006-03-06,3771.9328
2006-03-07,3753.8341
2006-03-08,3800.7262
2006-03-09,3829.5195
2006-03-10,3848.0296
2006-03-13,3838.1576
2006-03-14,3872.7096
2006-03-15,4036.0092
2006-03-16,4129.7934
2006-03-17,4240.4422
2006-03-20,4266.2926
2006-03-21,4231.0588
2006-03-22,4218.1684
2006-03-23,4260.2771
2006-03-24,4236.6447
2006-03-27,4238.3634
2006-03-28,4347.9318
2006-03-29,4428.7116
2006-03-30,4318.2838
2006-03-31,4361.2518
2006-04-03,4204.4187
2006-04-04,4197.9735
2006-04-05,4274.0268
2006-04-06,4275.7455
2006-04-07,4260.2771
2006-04-10,4200.1219
2006-04-11,4193.6767
2006-04-12,4169.6146
2006-04-13,4095.2799
2006-04-17,4112.0375
2006-04-18,4186.8018
2006-04-19,4338.9085
2006-04-20,4320.4322
2006-04-21,4377.15
2006-04-24,4350.5098
2006-04-25,4302.8154
2006-04-26,4283.9095
2006-04-27,4285.1985
2006-04-28,4253.8319
2006-05-01,4221.6059
2006-05-02,4230.6291
2006-05-03,4241.8008
2006-05-04,4268.0113
2006-05-05,4355.666
