Date,CUR_MKT_CAP
2006-01-03,4598.7981
2006-01-04,4578.1911
2006-01-05,4566.7428
2006-01-06,4618.2603
2006-01-09,4656.0398
2006-01-10,4654.895
2006-01-11,4611.3913
2006-01-12,4580.4808
2006-01-13,4586.2049
2006-01-17,4620.55
2006-01-18,4605.6671
2006-01-19,4682.371
2006-01-20,4619.4051
2006-01-23,4626.2741
2006-01-24,4691.5297
2006-01-25,4653.7501
2006-01-26,4618.2603
2006-01-27,4650.3156
2006-01-30,4599.9429
2006-01-31,4598.7981
2006-02-01,4595.3636
2006-02-02,4539.2667
2006-02-03,4522.0942
2006-02-06,4509.5011
2006-02-07,4499.1976
2006-02-08,4510.6459
2006-02-09,4523.2391
2006-02-10,4607.9568
2006-02-13,4669.7778
2006-02-14,4567.8876
2006-02-15,4541.5564
2006-02-16,4617.1155
2006-02-17,4640.0121
2006-02-21,4621.6948
2006-02-22,4688.0952
2006-02-23,4701.8332
2006-02-24,4706.4125
2006-02-27,4710.9918
2006-02-28,4668.633
2006-03-01,4659.4743
2006-03-02,4631.9983
2006-03-03,4621.6948
2006-03-06,4578.1911
2006-03-07,4583.9153
2006-03-08,4547.2465
2006-03-09,4563.3511
2006-03-10,4609.3642
2006-03-13,4648.4754
2006-03-14,4682.9852
2006-03-15,4732.4493
2006-03-16,4708.2925
2006-03-17,4677.2336
2006-03-20,4612.8152
2006-03-21,4585.2074
2006-03-22,4611.6649
2006-03-23,4596.7106
2006-03-24,4590.959
2006-03-27,4570.2531
2006-03-28,4540.3446
2006-03-29,4582.9067
2006-03-30,4544.9459
2006-03-31,4513.887
2006-04-03,4550.6975
2006-04-04,4605.9133
2006-04-05,4632.3708
2006-04-06,4597.861
2006-04-07,4519.6387
2006-04-10,4527.691
2006-04-11,4446.0177
2006-04-12,4464.4229
2006-04-13,4420.7105
2006-04-17,4428.7628
2006-04-18,4518.4883
2006-04-19,4515.0374
2006-04-20,4524.24
2006-04-21,4505.8347
2006-04-24,4515.0374
2006-04-25,4475.9262
2006-04-26,4401.1549
2006-04-27,4454.07
2006-04-28,4502.3837
2006-05-01,4434.5144
2006-05-02,4448.3183
2006-05-03,4405.7562
2006-05-04,4447.168
2006-05-05,4537.3035
2006-05-08,4508.4329
2006-05-09,4465.7044
2006-05-10,4533.839
2006-05-11,4458.7754
2006-05-12,4440.2982
2006-05-15,4434.5241
2006-05-16,4384.8667
2006-05-17,4337.5189
2006-05-18,4342.1382
2006-05-19,4360.6154
2006-05-22,4376.7829
2006-05-23,4291.3259
2006-05-24,4345.6027
2006-05-25,4377.9377
2006-05-26,4436.8338
2006-05-30,4332.8996
2006-05-31,4402.189
2006-06-01,4488.8008
2006-06-02,4524.6004
2006-06-05,4459.9302
2006-06-06,4444.9175
2006-06-07,4355.9961
2006-06-08,4418.3566
2006-06-09,4448.382
2006-06-12,4420.6662
2006-06-13,4347.9123
2006-06-14,4320.1965
2006-06-15,4369.854
2006-06-16,4394.1053
2006-06-19,4334.0544
2006-06-20,4322.5062
2006-06-21,4330.59
2006-06-22,4304.029
2006-06-23,4309.8031
2006-06-26,4342.1382
2006-06-27,4321.3514
2006-06-28,4368.6992
2006-06-29,4441.4531
2006-06-30,4455.311
2006-07-03,4498.0394
2006-07-05,4450.6917
2006-07-06,4461.0851
2006-07-07,4501.5039
2006-07-10,4528.0649
2006-07-11,4559.2451
2006-07-12,4513.0522
2006-07-13,4484.1816
2006-07-14,4472.6333
2006-07-17,4472.6333
2006-07-18,4503.8136
2006-07-19,4581.1868
2006-07-20,4615.8315
2006-07-21,4656.2503
2006-07-24,4665.4889
2006-07-25,4698.9788
2006-07-26,4738.2428
2006-07-27,4692.0499
2006-07-28,4653.9407
2006-07-31,4618.1411
2006-08-01,4656.2503
2006-08-02,4631.999
2006-08-03,4603.1284
2006-08-04,4635.4635
2006-08-07,4570.6483
2006-08-08,4620.531
2006-08-09,4610.0904
2006-08-10,4639.092
2006-08-11,4632.1316
2006-08-14,4654.1728
2006-08-15,4691.2948
2006-08-16,4668.0936
2006-08-17,4668.0936
2006-08-18,4711.0159
2006-08-21,4707.5357
2006-08-22,4715.6562
2006-08-23,4644.8923
2006-08-24,4676.214
2006-08-25,4663.4533
2006-08-28,4713.336
2006-08-29,4742.3376
2006-08-30,4737.6974
2006-08-31,4796.8606
2006-09-01,4813.1015
2006-09-05,4772.4993
2006-09-06,4734.2172
2006-09-07,4664.6134
2006-09-08,4675.054
2006-09-11,4678.5342
2006-09-12,4651.8527
2006-09-13,4663.4533
2006-09-14,4676.214
2006-09-15,4691.2948
2006-09-18,4629.8115
2006-09-19,4642.5722
2006-09-20,4676.214
2006-09-21,4634.4518
2006-09-22,4633.2917
2006-09-25,4699.4153
2006-09-26,4713.336
2006-09-27,4755.0983
2006-09-28,4729.5769
2006-09-29,4671.5738
2006-10-02,4722.6165
2006-10-03,4765.5389
2006-10-04,4778.2996
2006-10-05,4762.0587
2006-10-06,4723.7766
2006-10-09,4728.4169
2006-10-10,4726.0967
2006-10-11,4727.2568
2006-10-12,4744.6577
2006-10-13,4713.336
2006-10-16,4764.3788
2006-10-17,4780.6197
2006-10-18,4817.7417
2006-10-19,4825.8622
2006-10-20,4871.1046
2006-10-23,4846.7433
2006-10-24,4823.542
2006-10-25,4868.7845
2006-10-26,4857.1839
2006-10-27,4704.0555
2006-10-30,4675.054
2006-10-31,4635.6118
2006-11-01,4622.8511
2006-11-02,4622.8511
2006-11-03,4647.2125
2006-11-06,4692.3622
2006-11-07,4705.1765
2006-11-08,4745.9492
2006-11-09,4738.9596
2006-11-10,4768.083
2006-11-13,4754.1038
2006-11-14,4758.7635
2006-11-15,4791.3817
2006-11-16,4821.6701
2006-11-17,4834.4844
2006-11-20,4819.3402
2006-11-21,4832.1545
2006-11-22,4833.3194
2006-11-24,4853.1233
2006-11-27,4722.6505
2006-11-28,4736.6297
2006-11-29,4787.8869
2006-11-30,4806.5259
2006-12-01,4836.8142
2006-12-04,4836.8142
2006-12-05,4882.2467
2006-12-06,4843.8038
2006-12-07,4769.2479
2006-12-08,4766.9181
2006-12-11,4800.7012
2006-12-12,4830.9895
2006-12-13,4804.196
2006-12-14,4861.2779
2006-12-15,4848.4636
2006-12-18,4764.5882
2006-12-19,4807.6908
2006-12-20,4777.4025
2006-12-21,4749.444
2006-12-22,4752.9388
2006-12-26,4799.5363
2006-12-27,4821.6701
2006-12-28,4765.7531
2006-12-29,4731.97
2007-01-03,4828.6597
2007-01-04,4856.6181
2007-01-05,4766.9181
2007-01-08,4747.1142
2007-01-09,4794.8765
