Date,CUR_MKT_CAP
2006-01-03,48108.9363
2006-01-04,48047.3934
2006-01-05,47906.724
2006-01-06,47766.0546
2006-01-09,47827.5975
2006-01-10,47774.8464
2006-01-11,47774.8464
2006-01-12,47414.3811
2006-01-13,47810.0138
2006-01-17,47563.8423
2006-01-18,47423.1729
2006-01-19,47845.1811
2006-01-20,47106.6668
2006-01-23,46376.9442
2006-01-24,47695.7199
2006-01-25,48179.271
2006-01-26,47388.0056
2006-01-27,47625.3852
2006-01-30,47801.2219
2006-01-31,48135.3118
2006-02-01,48126.5199
2006-02-02,48557.32
2006-02-03,48319.9404
2006-02-06,48355.1077
2006-02-07,47748.4709
2006-02-08,47519.8831
2006-02-09,47458.3403
2006-02-10,48012.2261
2006-02-13,47950.6832
2006-02-14,48733.1568
2006-02-15,49058.4547
2006-02-16,47994.6424
2006-02-17,47748.4709
2006-02-21,47177.0015
2006-02-22,48003.4342
2006-02-23,47924.3077
2006-02-24,47519.8831
2006-02-27,48777.1159
2006-02-28,47827.5975
2006-03-01,47977.0587
2006-03-02,47220.9607
2006-03-03,46939.6218
2006-03-06,46543.9891
2006-03-07,46473.6544
2006-03-08,46922.0382
2006-03-09,46376.9442
2006-03-10,46869.2871
2006-03-13,46913.2463
2006-03-14,47950.6832
2006-03-15,47229.7525
2006-03-16,47229.7525
2006-03-17,47273.7117
2006-03-20,47062.7076
2006-03-21,46913.2463
2006-03-22,47089.0831
2006-03-23,46886.8708
2006-03-24,47220.9607
2006-03-27,46746.2014
2006-03-28,46816.5361
2006-03-29,46860.4953
2006-03-30,46376.9442
2006-03-31,45726.3482
2006-04-03,44996.6257
2006-04-04,45330.7155
2006-04-05,45875.8095
2006-04-06,46262.6503
2006-04-07,45682.389
2006-04-10,45383.4666
2006-04-11,44587.771
2006-04-12,44761.976
2006-04-13,44840.3683
2006-04-17,44622.612
2006-04-18,45014.5733
2006-04-19,44822.9478
2006-04-20,44944.8913
2006-04-21,44291.6225
2006-04-24,45119.0963
2006-04-25,45362.9833
2006-04-26,46469.1851
2006-04-27,46564.9978
2006-04-28,46251.4288
2006-05-01,46268.8493
2006-05-02,46678.2311
2006-05-03,46617.2593
2006-05-04,46294.98
2006-05-05,47505.7048
2006-05-08,47653.7791
2006-05-09,47296.6588
2006-05-10,47026.6411
2006-05-11,46530.1568
2006-05-12,45476.2165
2006-05-15,43568.6717
2006-05-16,42967.6645
2006-05-17,42418.9187
2006-05-18,42175.0317
2006-05-19,42819.5902
2006-05-22,42793.4594
2006-05-23,42802.1697
2006-05-24,42662.8057
2006-05-25,42697.6467
2006-05-26,42549.5724
2006-05-30,42401.4982
2006-05-31,42610.5442
2006-06-01,42915.403
2006-06-02,42470.8363
2006-06-05,41831.9175
2006-06-06,41098.0242
2006-06-07,42220.4492
2006-06-08,42600.3469
2006-06-09,41797.3813
2006-06-12,41624.7006
2006-06-13,41495.19
2006-06-14,41676.5048
2006-06-15,42747.1256
2006-06-16,42496.7385
2006-06-19,42393.13
2006-06-20,42341.3258
2006-06-21,42842.1
2006-06-22,42652.1512
2006-06-23,42522.6406
2006-06-26,42747.1256
2006-06-27,41875.0877
2006-06-28,41840.5515
2006-06-29,42583.0789
2006-06-30,42194.5471
2006-07-03,41987.3302
2006-07-05,41676.5048
2006-07-06,42453.5683
2006-07-07,42496.7385
2006-07-10,42833.466
2006-07-11,43291.07
2006-07-12,42332.6917
2006-07-13,41875.0877
2006-07-14,41218.9007
2006-07-17,41054.854
2006-07-18,39310.7782
2006-07-19,39474.8249
2006-07-20,40105.1097
2006-07-21,39785.6503
2006-07-24,39871.9907
2006-07-25,40174.1821
2006-07-26,39604.3355
2006-07-27,39794.2844
2006-07-28,40113.7438
2006-07-31,39647.5057
2006-08-01,39414.3866
2006-08-02,39526.6292
2006-08-03,40053.3055
2006-08-04,40769.9307
2006-08-07,40355.4969
2006-08-08,39664.7738
2006-08-09,39094.9272
2006-08-10,41201.6327
2006-08-11,41788.7473
2006-08-14,41590.1644
2006-08-15,42030.5004
2006-08-16,42617.615
2006-08-17,43023.4148
2006-08-18,42997.5127
2006-08-21,42220.4492
2006-08-22,42151.3769
2006-08-23,41158.4625
2006-08-24,40571.3478
2006-08-25,40493.6415
2006-08-28,41201.6327
2006-08-29,42065.0365
2006-08-30,41944.16
2006-08-31,41780.1133
2006-09-01,42033.0131
2006-09-05,42050.1869
2006-09-06,41492.0366
2006-09-07,41801.166
2006-09-08,43415.5085
2006-09-11,44008.0065
2006-09-12,45081.3725
2006-09-13,45347.5673
2006-09-14,45733.9791
2006-09-15,46060.2823
2006-09-18,46008.7608
2006-09-19,46704.3019
2006-09-20,47245.2784
2006-09-21,46704.3019
2006-09-22,47082.1268
2006-09-25,47983.7542
