Date,CUR_MKT_CAP
2006-01-03,14880.4136
2006-01-04,15089.1184
2006-01-05,14997.96
2006-01-06,15309.8177
2006-01-09,15290.6265
2006-01-10,15211.4626
2006-01-11,15060.3315
2006-01-12,15117.9053
2006-01-13,15420.1674
2006-01-17,15544.9105
2006-01-18,15384.1838
2006-01-19,15242.6484
2006-01-20,14933.1895
2006-01-23,15079.5228
2006-01-24,14695.6978
2006-01-25,14558.9602
2006-01-26,14635.7252
2006-01-27,15257.0418
2006-01-30,15185.0746
2006-01-31,14825.2387
2006-02-01,15113.1075
2006-02-02,14916.3972
2006-02-03,14947.5829
2006-02-06,14602.1405
2006-02-07,14868.419
2006-02-08,14966.7742
2006-02-09,14918.7961
2006-02-10,14966.7742
2006-02-13,14945.184
2006-02-14,15144.2932
2006-02-15,15266.6374
2006-02-16,15144.2932
2006-02-17,15053.1348
2006-02-21,14928.3917
2006-02-22,15211.4626
2006-02-23,15024.3479
2006-02-24,14929.7146
2006-02-27,14948.7607
2006-02-28,14798.7731
2006-03-01,14934.4761
2006-03-02,14939.2377
2006-03-03,14803.5346
2006-03-06,14655.9278
2006-03-07,14524.9863
2006-03-08,14467.8482
2006-03-09,14424.9946
2006-03-10,14690.5538
2006-03-13,14611.982
2006-03-14,14647.6965
2006-03-15,14650.0774
2006-03-16,14421.5048
2006-03-17,14057.2172
2006-03-20,14002.455
2006-03-21,14076.2649
2006-03-22,14059.5981
2006-03-23,14142.9319
2006-03-24,14026.2646
2006-03-27,14011.9788
2006-03-28,14023.8836
2006-03-29,14142.9319
2006-03-30,14271.504
2006-03-31,14266.7421
2006-04-03,14357.2187
2006-04-04,14192.9322
2006-04-05,14207.218
2006-04-06,14504.8386
2006-04-07,14147.6938
2006-04-10,14228.6466
2006-04-11,14004.8359
2006-04-12,13752.4536
2006-04-13,13516.7381
2006-04-17,13333.4038
2006-04-18,13331.0228
2006-04-19,13169.1172
2006-04-20,13266.7368
2006-04-21,13031.0213
2006-04-24,12892.9253
2006-04-25,12845.306
2006-04-26,12892.9253
2006-04-27,12852.4489
2006-04-28,13095.3073
2006-05-01,12952.4494
2006-05-02,12964.3542
2006-05-03,12976.2591
2006-05-04,12984.7808
2006-05-05,13141.7397
2006-05-08,13522.2461
2006-05-09,13301.0767
2006-05-10,13289.1859
2006-05-11,13082.2855
2006-05-12,12934.8393
2006-05-15,12972.89
2006-05-16,12989.5371
2006-05-17,12991.9153
2006-05-18,12984.7808
2006-05-19,13139.3615
