Date,CUR_MKT_CAP
2006-01-03,3576.8752
2006-01-04,3642.592
2006-01-05,3605.0395
2006-01-06,3633.2039
2006-01-09,3614.4277
2006-01-10,3492.382
2006-01-11,3534.6286
2006-01-12,3586.2633
2006-01-13,3628.5098
2006-01-17,3651.9802
2006-01-18,3581.5692
2006-01-19,3600.3455
2006-01-20,3515.8524
2006-01-23,3450.1355
2006-01-24,3398.5008
2006-01-25,3421.9711
2006-01-26,3506.4642
2006-01-27,3511.1583
2006-01-30,3473.6058
2006-01-31,3412.583
2006-02-01,3421.9711
2006-02-02,3384.4186
2006-02-03,3314.0077
2006-02-06,3314.0077
2006-02-07,3290.5374
2006-02-08,3318.7018
2006-02-09,3281.1493
2006-02-10,3304.6196
2006-02-13,3295.2314
2006-02-14,3309.3136
2006-02-15,3309.3136
2006-02-16,3562.793
2006-02-17,3666.0623
2006-02-21,3783.4139
2006-02-22,3722.3911
2006-02-23,3835.0486
2006-02-24,3778.7198
2006-02-27,3759.9436
2006-02-28,3703.6148
2006-03-01,3619.1217
2006-03-02,3445.4414
2006-03-03,3487.688
2006-03-06,3482.9939
2006-03-07,3332.7839
2006-03-08,3412.583
2006-03-09,3407.8889
2006-03-10,3412.583
2006-03-13,3337.478
2006-03-14,3375.0305
2006-03-15,3379.7246
2006-03-16,3365.6424
2006-03-17,3417.2771
2006-03-20,3436.0533
2006-03-21,3318.7018
2006-03-22,3384.4186
2006-03-23,3407.8889
2006-03-24,3436.0533
2006-03-27,3426.6652
2006-03-28,3478.2999
2006-03-29,3511.1583
2006-03-30,3454.8296
2006-03-31,3464.2177
2006-04-03,3421.9711
2006-04-04,3716.6151
2006-04-05,4243.5277
2006-04-06,4252.9368
2006-04-07,4097.6858
2006-04-10,4107.0949
2006-04-11,4097.6858
2006-04-12,4111.7995
2006-04-13,4187.0727
2006-04-17,4111.7995
2006-04-18,4144.7316
2006-04-19,4220.0048
2006-04-20,4130.6178
2006-04-21,4060.0492
2006-04-24,4050.64
2006-04-25,4013.0034
2006-04-26,3951.8439
2006-04-27,3923.6165
2006-04-28,3914.2073
2006-05-01,3843.6387
2006-05-02,3697.7968
2006-05-03,3787.1838
2006-05-04,3758.9563
2006-05-05,3773.07
2006-05-08,3744.8426
2006-05-09,3572.2524
2006-05-10,3534.6002
2006-05-11,3454.5893
2006-05-12,3567.5459
2006-05-15,3544.0133
2006-05-16,3487.535
2006-05-17,3779.3395
2006-05-18,3760.5134
2006-05-19,3741.6873
2006-05-22,3854.6439
2006-05-23,3647.5568
2006-05-24,3572.2524
2006-05-25,3591.0785
2006-05-26,3656.9699
2006-05-30,3600.4916
2006-05-31,3727.5678
2006-06-01,3840.5244
2006-06-02,3788.7526
2006-06-05,3652.2634
2006-06-06,3638.1438
2006-06-07,3746.3939
2006-06-08,3755.8069
2006-06-09,3671.0895
2006-06-12,3633.4373
2006-06-13,3492.2415
2006-06-14,3445.1763
2006-06-15,3468.7089
2006-06-16,3487.535
2006-06-19,3454.5893
2006-06-20,3332.2197
2006-06-21,3379.2849
2006-06-22,3426.3502
2006-06-23,3341.6327
2006-06-26,3308.687
2006-06-27,3200.437
2006-06-28,3402.8175
2006-06-29,3341.6327
2006-06-30,3285.1544
2006-07-03,3247.5022
2006-07-05,3073.3608
2006-07-06,3078.0673
2006-07-07,3087.4804
2006-07-10,3092.1869
2006-07-11,3115.7195
2006-07-12,3082.7739
2006-07-13,3012.176
2006-07-14,2932.1651
2006-07-17,2941.5781
2006-07-18,2908.6324
2006-07-19,2927.4585
2006-07-20,2894.5129
2006-07-21,2866.2737
2006-07-24,2805.0889
2006-07-25,2781.5563
2006-07-26,2814.5019
2006-07-27,2805.0889
2006-07-28,2786.2628
2006-07-31,2786.2628
2006-08-01,2734.491
2006-08-02,2809.7954
2006-08-03,2823.915
2006-08-04,2786.2628
2006-08-07,2790.9693
2006-08-08,2748.6106
2006-08-09,2747.7595
2006-08-10,3115.3843
2006-08-11,3322.7624
2006-08-14,3558.4193
2006-08-15,3435.8777
2006-08-16,3440.5908
2006-08-17,3534.8536
2006-08-18,3459.4434
2006-08-21,3450.0171
2006-08-22,3478.2959
2006-08-23,3483.0091
2006-08-24,3553.7061
2006-08-25,3435.8777
2006-08-28,3487.7222
2006-08-29,3586.6981
2006-08-30,3709.2397
2006-08-31,3713.9528
2006-09-01,3629.1164
2006-09-05,3586.6981
2006-09-06,3539.5667
2006-09-07,3553.7061
2006-09-08,3676.2477
2006-09-11,3794.0762
2006-09-12,3935.4703
2006-09-13,3944.8966
2006-09-14,3897.7652
2006-09-15,4043.8725
2006-09-18,3949.6097
2006-09-19,3940.1835
2006-09-20,4010.8805
2006-09-21,3897.7652
2006-09-22,3850.6338
2006-09-25,3864.7733
2006-09-26,3973.1754
2006-09-27,3850.6338
2006-09-28,3789.3631
2006-09-29,3836.4944
2006-10-02,3836.4944
2006-10-03,3827.0682
2006-10-04,3860.0601
2006-10-05,4001.4543
2006-10-06,3916.6178
2006-10-09,3831.7813
2006-10-10,3841.2076
2006-10-11,3822.355
2006-10-12,3883.6258
2006-10-13,3869.4864
2006-10-16,3888.339
2006-10-17,3841.2076
2006-10-18,3827.0682
2006-10-19,3902.4784
2006-10-20,3836.4944
2006-10-23,3845.9207
2006-10-24,3831.7813
2006-10-25,3822.355
2006-10-26,3784.6499
2006-10-27,3911.9046
2006-10-30,3497.1485
2006-10-31,3327.4755
2006-11-01,3285.0573
2006-11-02,3285.0573
2006-11-03,3223.7865
2006-11-06,3247.3522
2006-11-07,3332.2204
2006-11-08,3351.0731
2006-11-09,3426.484
2006-11-10,3407.6313
2006-11-13,3459.4763
2006-11-14,3450.0499
2006-11-15,3426.484
2006-11-16,3454.7631
2006-11-17,3421.7708
2006-11-20,3242.6699
2006-11-21,3299.2281
2006-11-22,3355.7863
2006-11-24,3341.6467
2006-11-27,3341.6467
2006-11-28,3303.9413
2006-11-29,3294.5149
2006-11-30,3341.6467
2006-12-01,3289.8017
2006-12-04,3336.9336
2006-12-05,3299.2281
2006-12-06,3421.7708
2006-12-07,3388.7786
2006-12-08,3346.3599
2006-12-11,3332.2204
2006-12-12,3322.794
2006-12-13,3318.0808
2006-12-14,3270.949
2006-12-15,3214.3908
2006-12-18,3219.104
2006-12-19,3228.5303
2006-12-20,3219.104
2006-12-21,3233.2435
2006-12-22,3266.2358
2006-12-26,3228.5303
2006-12-27,3223.8172
2006-12-28,3308.6545
2006-12-29,3285.0885
2007-01-03,3365.2127
2007-01-04,3351.0731
2007-01-05,3346.3599
2007-01-08,3388.7786
2007-01-09,3384.0654
2007-01-10,3421.7708
2007-01-11,3431.1972
2007-01-12,3459.4763
2007-01-16,3530.1741
2007-01-17,3530.1741
2007-01-18,3539.6004
2007-01-19,3572.5927
2007-01-22,3549.0268
2007-01-23,3549.0268
2007-01-24,3454.7631
2007-01-25,3402.9181
2007-01-26,3332.2204
2007-01-29,3360.4995
2007-01-30,3322.794
2007-01-31,3327.5072
2007-02-01,3374.639
2007-02-02,3308.6545
2007-02-05,3407.6313
2007-02-06,3407.6313
2007-02-07,3468.9027
2007-02-08,3435.9104
2007-02-09,3388.7786
2007-02-12,3369.9258
2007-02-13,3332.2204
2007-02-14,3388.7786
2007-02-15,3464.1895
2007-02-16,3450.0499
2007-02-20,3534.8872
2007-02-21,3525.4609
2007-02-22,3544.3136
2007-02-23,3506.6081
2007-02-26,3534.8872
2007-02-27,3258.7913
2007-02-28,3216.3468
2007-03-01,3112.5937
2007-03-02,3032.4208
2007-03-05,3018.2727
2007-03-06,2999.4085
2007-03-07,3046.569
2007-03-08,3037.1369
2007-03-09,2999.4085
2007-03-12,2975.8282
2007-03-13,2928.6677
2007-03-14,2975.8282
2007-03-15,2975.8282
2007-03-16,2994.6924
2007-03-19,3065.4332
2007-03-20,3070.1492
2007-03-21,3122.0258
2007-03-22,3211.6307
2007-03-23,3164.4702
2007-03-26,3145.606
2007-03-27,3074.8653
2007-03-28,3056.0011
2007-03-29,3037.1369
2007-03-30,3032.4208
2007-04-02,3027.7048
2007-04-03,3126.7418
2007-04-04,3117.3097
2007-04-05,3173.9023
2007-04-09,3268.2234
2007-04-10,3296.5197
2007-04-11,3239.9271
2007-04-12,3334.2481
2007-04-13,3315.3839
2007-04-16,3353.1123
2007-04-17,3390.8407
2007-04-18,3381.4086
2007-04-19,3395.5567
2007-04-20,3494.5938
2007-04-23,3471.0136
2007-04-24,3508.742
2007-04-25,3555.9025
2007-04-26,3537.0383
2007-04-27,3537.0383
2007-04-30,3499.3099
2007-05-01,3489.8778
2007-05-02,3494.5938
2007-05-03,3489.8778
2007-05-04,3522.8901
2007-05-07,3598.3469
2007-05-08,3434.1267
2007-05-09,3315.8716
2007-05-10,3339.5226
2007-05-11,3296.9508
2007-05-14,3278.03
2007-05-15,3296.9508
2007-05-16,3325.332
2007-05-17,3292.2206
2007-05-18,3254.379
2007-05-21,3197.6166
2007-05-22,3268.5696
2007-05-23,3287.4904
2007-05-24,3259.1092
2007-05-25,3249.6488
2007-05-29,3249.6488
2007-05-30,3287.4904
2007-05-31,3287.4904
2007-06-01,3320.6018
2007-06-04,3386.8247
2007-06-05,3325.332
2007-06-06,3263.8394
2007-06-07,3207.077
2007-06-08,3235.4582
2007-06-11,3235.4582
2007-06-12,3173.9656
2007-06-13,3183.426
2007-06-14,3145.5843
2007-06-15,3178.6958
2007-06-18,3192.8864
2007-06-19,3192.8864
2007-06-20,3136.1239
2007-06-21,3136.1239
2007-06-22,3117.2031
2007-06-25,3074.6313
2007-06-26,3041.5199
2007-06-27,3055.7105
2007-06-28,3032.0595
2007-06-29,3079.3615
2007-07-02,3103.0125
2007-07-03,3155.0448
2007-07-05,3159.775
2007-07-06,3117.2031
2007-07-09,3107.7427
2007-07-10,3050.9803
2007-07-11,3088.8219
2007-07-12,3107.7427
2007-07-13,3107.7427
2007-07-16,3126.6635
2007-07-17,3069.9011
2007-07-18,3050.9803
2007-07-19,2984.7575
2007-07-20,2923.2649
2007-07-23,2847.5816
2007-07-24,2809.74
2007-07-25,2752.9776
2007-07-26,2625.2621
2007-07-27,2625.2621
2007-07-30,2530.6581
2007-07-31,2450.2446
2007-08-01,2421.8634
2007-08-02,2421.8634
2007-08-03,2298.8782
2007-08-06,2336.7198
2007-08-07,1966.5352
2007-08-08,2080.2625
2007-08-09,2208.2057
2007-08-10,2113.433
2007-08-13,2089.7398
2007-08-14,2013.9215
2007-08-15,1904.9328
2007-08-16,1791.2055
2007-08-17,1800.6828
2007-08-20,1762.7737
2007-08-21,1743.8191
2007-08-22,1791.2055
2007-08-23,1791.2055
2007-08-24,1739.0805
2007-08-27,1743.8191
2007-08-28,1582.7054
2007-08-29,1611.1372
2007-08-30,1615.8759
2007-08-31,1606.3986
2007-09-04,1587.444
2007-09-05,1611.1372
2007-09-06,1658.5236
2007-09-07,1649.0463
2007-09-10,1577.9668
2007-09-11,1587.444
2007-09-12,1611.1372
2007-09-13,1592.1827
2007-09-14,1544.7963
2007-09-17,1549.5349
2007-09-18,1582.7054
2007-09-19,1606.3986
2007-09-20,1611.1372
2007-09-21,1682.2168
2007-09-24,1686.9555
2007-09-25,1644.3077
2007-09-26,1668.0009
2007-09-27,1620.6145
2007-09-28,1592.1827
2007-10-01,1573.2281
2007-10-02,1577.9668
2007-10-03,1634.8304
2007-10-04,1658.5236
2007-10-05,1653.785
2007-10-08,1625.3531
2007-10-09,1634.8304
2007-10-10,1686.9555
2007-10-11,1615.8759
2007-10-12,1563.7508
2007-10-15,1549.5349
2007-10-16,1497.4099
2007-10-17,1468.9781
2007-10-18,1540.0576
2007-10-19,1468.9781
2007-10-22,1544.7963
2007-10-23,1587.444
2007-10-24,1559.0122
2007-10-25,1573.2281
2007-10-26,1601.66
2007-10-29,1634.8304
2007-10-30,1672.7395
2007-10-31,1663.2623
2007-11-01,1563.7508
2007-11-02,1516.3645
2007-11-05,1530.5804
2007-11-06,1872.6919
2007-11-07,1858.4689
2007-11-08,1924.8428
2007-11-09,1924.8428
2007-11-12,2062.3316
2007-11-13,2071.8136
2007-11-14,2076.5546
2007-11-15,2057.5906
2007-11-16,2086.0365
2007-11-19,2014.9217
2007-11-20,1901.1378
2007-11-21,1877.4329
2007-11-23,1882.1739
2007-11-26,1896.3969
2007-11-27,2100.2595
2007-11-28,2327.8271
2007-11-29,2413.165
2007-11-30,2612.2867
2007-12-03,2526.9488
2007-12-04,2531.6898
2007-12-05,2579.0997
2007-12-06,2711.8475
2007-12-07,2759.2574
2007-12-10,2820.8903
2007-12-11,2621.7686
2007-12-12,2635.9916
2007-12-13,2654.9556
2007-12-14,2536.4308
2007-12-17,2379.978
2007-12-18,2436.87
2007-12-19,2422.647
2007-12-20,2451.0929
2007-12-21,2522.2078
2007-12-24,2602.8047
2007-12-26,2579.0997
2007-12-27,2465.3159
2007-12-28,2408.424
2007-12-31,2408.424
2008-01-02,2375.2371
2008-01-03,2337.3091
2008-01-04,2251.9713
2008-01-07,2323.0861
2008-01-08,2256.7123
2008-01-09,2199.8203
2008-01-10,2114.4825
2008-01-11,2019.6626
2008-01-14,2038.6266
2008-01-15,2105.0005
2008-01-16,2256.7123
2008-01-17,2138.1874
2008-01-18,2086.0365
2008-01-22,2043.3676
2008-01-23,2029.1446
2008-01-24,2185.5974
2008-01-25,2180.8564
2008-01-28,2228.2663
2008-01-29,2223.5253
2008-01-30,2067.0726
2008-01-31,2086.0365
2008-02-01,2157.1514
2008-02-04,2223.5253
2008-02-05,2195.0794
2008-02-06,2195.0794
2008-02-07,2133.4465
2008-02-08,2024.4036
2008-02-11,2019.6626
2008-02-12,1991.2167
2008-02-13,1995.9577
2008-02-14,1967.5117
2008-02-15,1986.4757
2008-02-19,2010.1807
2008-02-20,2019.6626
2008-02-21,1976.9937
2008-02-22,2014.9217
2008-02-25,2029.1446
2008-02-26,2323.0861
2008-02-27,2371.9736
2008-02-28,2367.2296
2008-02-29,2281.8386
2008-03-03,2296.0704
2008-03-04,2390.9494
2008-03-05,2414.6691
2008-03-06,2343.5099
2008-03-07,2315.0462
2008-03-10,2324.5341
2008-03-11,2357.7417
2008-03-12,2348.2538
2008-03-13,2428.9009
2008-03-14,2376.7175
2008-03-17,2296.0704
2008-03-18,2362.4857
2008-03-19,2390.9494
2008-03-20,2485.8283
2008-03-24,2561.7315
2008-03-25,2566.4754
2008-03-26,2495.3162
2008-03-27,2514.292
2008-03-28,2613.9149
2008-03-31,2685.0741
2008-04-01,2775.2091
2008-04-02,2756.2333
2008-04-03,2751.4893
