Date,CUR_MKT_CAP
2007-10-29,1966.5566
2007-10-30,2007.9279
2007-10-31,1938.22
2007-11-01,1854.9105
2007-11-02,1837.3419
2007-11-05,1785.2026
2007-11-06,1781.2355
2007-11-07,1663.3555
2007-11-08,1700.193
2007-11-09,1694.5257
2007-11-12,1645.7868
2007-11-13,1650.8874
2007-11-14,1697.3593
2007-11-15,1711.5276
2007-11-16,1739.2974
2007-11-19,1654.2878
2007-11-20,1530.1737
2007-11-21,1379.99
2007-11-23,1369.7888
2007-11-26,1371.489
2007-11-27,1352.7869
2007-11-28,1408.3265
2007-11-29,1404.9261
2007-11-30,1458.7656
2007-12-03,1490.5025
2007-12-04,1464.9996
2007-12-05,1504.1041
2007-12-06,1557.9435
2007-12-07,1585.7133
2007-12-10,1558.5102
2007-12-11,1185.0345
2007-12-12,1107.9591
2007-12-13,1051.8527
2007-12-14,1051.286
2007-12-17,1014.6445
2007-12-18,1005.5547
2007-12-19,1008.3953
2007-12-20,951.5843
2007-12-21,941.9264
2007-12-24,954.4248
2007-12-26,985.6709
2007-12-27,981.126
2007-12-28,971.4681
2007-12-31,974.3087
2008-01-02,940.2221
2008-01-03,880.5705
2008-01-04,823.1914
2008-01-07,711.2737
2008-01-08,769.7891
2008-01-09,823.7595
2008-01-10,912.9528
2008-01-11,897.6138
2008-01-14,911.8166
2008-01-15,886.8197
2008-01-16,903.863
2008-01-17,838.5304
2008-01-18,710.1375
2008-01-22,714.6824
2008-01-23,809.5568
2008-01-24,812.3973
2008-01-25,862.9591
2008-01-28,880.5705
2008-01-29,928.8599
2008-01-30,883.4111
2008-01-31,865.7997
2008-02-01,837.9623
2008-02-04,797.0583
2008-02-05,795.354
2008-02-06,806.7162
2008-02-07,904.4311
2008-02-08,883.4111
2008-02-11,857.278
2008-02-12,847.052
2008-02-13,848.1882
2008-02-14,840.2347
2008-02-15,840.2347
2008-02-19,839.6666
2008-02-20,847.6201
2008-02-21,839.6666
2008-02-22,795.354
2008-02-25,803.8757
2008-02-26,861.8229
2008-02-27,841.939
2008-02-28,830.5768
2008-02-29,795.9221
2008-03-03,837.9623
2008-03-04,813.5335
2008-03-05,820.3509
2008-03-06,812.3973
2008-03-07,765.8123
2008-03-10,720.9316
2008-03-11,728.317
2008-03-12,694.2304
2008-03-13,595.9474
2008-03-14,607.8777
2008-03-17,640.8281
2008-03-18,670.3698
2008-03-19,653.3265
2008-03-20,726.0446
2008-03-24,794.7859
2008-03-25,853.3012
2008-03-26,832.2812
2008-03-27,822.0552
2008-03-28,796.4902
2008-03-31,797.6265
2008-04-01,813.5335
2008-04-02,794.2178
2008-04-03,799.3308
2008-04-04,785.128
2008-04-07,768.0847
2008-04-08,805.58
2008-04-09,780.015
2008-04-10,847.052
2008-04-11,812.3973
2008-04-14,818.6465
2008-04-15,807.8524
2008-04-16,804.7793
2008-04-17,797.9398
2008-04-18,803.6394
2008-04-21,800.2196
2008-04-22,756.333
2008-04-23,757.4729
2008-04-24,763.7424
2008-04-25,791.1003
2008-04-28,787.1106
2008-04-29,807.6291
2008-04-30,806.4892
2008-05-01,852.6557
2008-05-02,846.3862
2008-05-05,829.2874
2008-05-06,819.0282
2008-05-07,826.4377
2008-05-08,817.8883
2008-05-09,809.9089
2008-05-12,813.3287
2008-05-13,832.1372
2008-05-14,837.2668
2008-05-15,850.3759
2008-05-16,833.2771
2008-05-19,807.0591
2008-05-20,793.3802
2008-05-21,817.3183
2008-05-22,814.4686
2008-05-23,784.2608
2008-05-27,819.0282
2008-05-28,854.3656
2008-05-29,849.2359
2008-05-30,812.7587
2008-06-02,814.4686
2008-06-03,796.7999
2008-06-04,759.7527
2008-06-05,815.6085
2008-06-06,788.8205
2008-06-09,760.8926
2008-06-10,799.0797
2008-06-11,745.5038
2008-06-12,717.0059
2008-06-13,738.0943
2008-06-16,766.5922
2008-06-17,749.883
2008-06-18,702.1893
2008-06-19,702.7639
2008-06-20,727.4727
2008-06-23,665.4134
2008-06-24,667.7119
2008-06-25,648.7494
2008-06-26,602.7795
2008-06-27,647.6001
2008-06-30,645.8762
2008-07-01,649.324
2008-07-02,620.0182
2008-07-03,579.22
2008-07-07,552.7873
2008-07-08,577.4961
2008-07-09,560.2574
2008-07-10,560.2574
2008-07-11,542.4441
2008-07-14,549.9142
2008-07-15,551.0635
2008-07-16,574.623
2008-07-17,594.7348
2008-07-18,568.3021
2008-07-21,595.3094
2008-07-22,616.5705
2008-07-23,660.2418
2008-07-24,658.518
2008-07-25,654.4956
2008-07-28,609.1004
2008-07-29,634.3838
2008-07-30,628.0629
2008-07-31,541.8695
2008-08-01,543.0187
2008-08-04,538.9964
2008-08-05,545.8918
2008-08-06,567.1529
2008-08-07,587.2647
2008-08-08,638.4061
2008-08-11,665.4134
2008-08-12,675.7566
2008-08-13,684.376
2008-08-14,688.3983
2008-08-15,699.3162
2008-08-18,702.7639
2008-08-19,682.6521
2008-08-20,690.1222
2008-08-21,666.5627
2008-08-22,691.2715
2008-08-25,657.3687
2008-08-26,686.6745
2008-08-27,643.5778
2008-08-28,657.9433
2008-08-29,625.1898
2008-09-02,658.518
2008-09-03,653.921
2008-09-04,635.533
2008-09-05,725.7488
2008-09-08,790.6812
2008-09-09,772.2933
2008-09-10,787.2335
2008-09-11,800.8065
2008-09-12,805.4088
2008-09-15,789.8759
2008-09-16,801.3818
2008-09-17,797.3547
2008-09-18,802.5324
2008-09-19,845.6793
2008-09-22,738.6749
2008-09-23,730.0456
2008-09-24,700.1304
2008-09-25,723.7174
2008-09-26,753.0572
2008-09-29,752.482
2008-09-30,763.9878
2008-10-01,757.0843
2008-10-02,726.0185
2008-10-03,699.5551
2008-10-06,678.2693
2008-10-07,627.0683
2008-10-08,638.5741
2008-10-09,594.8519
2008-10-10,684.0222
2008-10-13,658.7094
2008-10-14,663.3117
2008-10-15,593.1261
2008-10-16,601.1802
2008-10-17,608.0837
2008-10-20,609.8095
2008-10-21,588.5237
2008-10-22,539.6239
2008-10-23,536.1722
2008-10-24,516.0369
2008-10-27,463.1101
2008-10-28,526.3922
2008-10-29,568.1009
2008-10-30,533.871
2008-10-31,507.4076
2008-11-03,517.7628
2008-11-04,577.5932
2008-11-05,508.5581
2008-11-06,496.477
2008-11-07,502.8052
2008-11-10,520.064
2008-11-11,488.9982
2008-11-12,459.083
2008-11-13,463.1101
2008-11-14,437.2219
2008-11-17,448.1525
2008-11-18,435.4961
2008-11-19,433.1949
2008-11-20,413.0597
2008-11-21,426.8667
2008-11-24,502.8052
2008-11-25,404.4303
2008-11-26,406.7315
2008-11-28,413.0597
2008-12-01,331.3682
2008-12-02,361.2834
2008-12-03,402.1291
2008-12-04,437.2219
2008-12-05,487.2723
2008-12-08,562.6356
2008-12-09,556.3074
2008-12-10,489.6276
2008-12-11,480.977
2008-12-12,531.1508
2008-12-15,519.6166
2008-12-16,557.6795
2008-12-17,548.4522
2008-12-18,569.7905
2008-12-19,594.0123
2008-12-22,557.6795
2008-12-23,534.6111
2008-12-24,526.5371
2008-12-26,522.5002
2008-12-29,444.0675
2008-12-30,464.8291
2008-12-31,477.5167
2009-01-02,478.6701
2009-01-05,504.6221
2009-01-06,518.4632
2009-01-07,506.3523
2009-01-08,401.9676
2009-01-09,398.5073
2009-01-12,391.0101
2009-01-13,392.1635
2009-01-14,373.132
2009-01-15,352.3704
2009-01-16,348.9102
2009-01-20,342.5663
2009-01-21,374.8622
2009-01-22,377.169
2009-01-23,374.8622
2009-01-26,375.4389
2009-01-27,380.0526
2009-01-28,397.3539
2009-01-29,370.8252
2009-01-30,336.2225
2009-02-02,354.6773
2009-02-03,351.7937
2009-02-04,341.4129
2009-02-05,355.8307
2009-02-06,389.2799
2009-02-09,385.8197
2009-02-10,375.4389
2009-02-11,356.4074
2009-02-12,357.5608
2009-02-13,363.3279
2009-02-17,343.7198
2009-02-18,365.6348
2009-02-19,339.6828
2009-02-20,317.7678
2009-02-23,321.8047
2009-02-24,339.6828
2009-02-25,326.9951
2009-02-26,309.6938
2009-02-27,322.9582
2009-03-02,315.4609
2009-03-03,297.5829
2009-03-04,283.7418
2009-03-05,266.4405
2009-03-06,253.7528
2009-03-09,247.409
2009-03-10,260.0967
2009-03-11,269.324
2009-03-12,314.3075
2009-03-13,324.1116
2009-03-16,320.0746
2009-03-17,355.254
2009-03-18,371.9786
2009-03-19,362.1745
2009-03-20,361.5978
2009-03-23,373.7087
2009-03-24,361.0211
2009-03-25,373.132
2009-03-26,401.9676
2009-03-27,400.8141
2009-03-30,381.7827
2009-03-31,381.7827
2009-04-01,387.5498
2009-04-02,382.3594
2009-04-03,405.3664
2009-04-06,400.1694
2009-04-07,379.9588
2009-04-08,392.6626
2009-04-09,411.7183
2009-04-13,458.4913
2009-04-14,431.3514
2009-04-15,437.1259
2009-04-16,444.0552
2009-04-17,463.6883
2009-04-20,443.4778
2009-04-21,474.0823
2009-04-22,493.7155
2009-04-23,482.744
2009-04-24,482.1666
2009-04-27,472.9274
2009-04-28,477.547
2009-04-29,494.2929
2009-04-30,505.2644
2009-05-01,494.2929
2009-05-04,511.0388
2009-05-05,515.0809
2009-05-06,510.4614
2009-05-07,482.744
2009-05-08,510.4614
2009-05-11,515.6584
2009-05-12,503.532
2009-05-13,482.744
2009-05-14,491.4057
2009-05-15,491.9831
2009-05-18,520.8554
2009-05-19,513.926
2009-05-20,520.8554
2009-05-21,512.1937
2009-05-22,495.4478
2009-05-26,516.2358
2009-05-27,499.4899
2009-05-28,485.0538
2009-05-29,494.2929
2009-06-01,522.0103
2009-06-02,557.2344
2009-06-03,560.1216
2009-06-04,554.3472
2009-06-05,665.2166
2009-06-08,667.5264
2009-06-09,597.0781
2009-06-10,587.839
2009-06-11,566.242
2009-06-12,604.3767
2009-06-15,564.5087
2009-06-16,565.0864
2009-06-17,563.3531
2009-06-18,537.9299
2009-06-19,541.3967
2009-06-22,556.4195
