Date,CUR_MKT_CAP
2006-01-03,6899.1465
2006-01-04,6967.6909
2006-01-05,6961.7305
2006-01-06,6860.404
2006-01-09,6851.4634
2006-01-10,6839.5426
2006-01-11,6878.2851
2006-01-12,6896.1663
2006-01-13,6878.2851
2006-01-17,6830.6021
2006-01-18,6735.2359
2006-01-19,6729.2755
2006-01-20,6619.0084
2006-01-23,6639.8697
2006-01-24,6705.434
2006-01-25,6765.0378
2006-01-26,7071.9977
2006-01-27,7167.3639
2006-01-30,7161.4035
2006-01-31,6069.6801
2006-02-01,6236.8724
2006-02-02,6269.7138
2006-02-03,6230.9013
2006-02-06,6308.5263
2006-02-07,6263.7427
2006-02-08,6251.8003
2006-02-09,6254.7859
2006-02-10,6269.7138
2006-02-13,6233.8869
2006-02-14,6290.6129
2006-02-15,6305.5407
2006-02-16,6341.3677
2006-02-17,6329.4254
2006-02-21,6269.7138
2006-02-22,6317.4831
2006-02-23,6272.6994
2006-02-24,6287.6273
2006-02-27,6299.5696
2006-02-28,6177.1609
2006-03-01,6201.0455
2006-03-02,6150.2907
2006-03-03,6116.135
2006-03-06,6137.0398
2006-03-07,6157.9445
2006-03-08,6166.9037
2006-03-09,6113.1486
2006-03-10,6169.8901
2006-03-13,6137.0398
2006-03-14,6244.5499
2006-03-15,6295.3186
2006-03-16,6229.618
2006-03-17,6298.305
2006-03-20,6283.3731
2006-03-21,6190.7949
2006-03-22,6163.9173
2006-03-23,6175.8629
2006-03-24,6169.8901
2006-03-27,6131.067
2006-03-28,6107.1758
2006-03-29,6193.7812
2006-03-30,6175.8629
2006-03-31,6116.135
2006-04-03,6157.9445
2006-04-04,6166.9037
2006-04-05,6181.8357
2006-04-06,5883.1963
2006-04-07,5739.8494
2006-04-10,5817.4956
2006-04-11,5757.7677
2006-04-12,5736.863
2006-04-13,5677.1351
2006-04-17,5692.067
2006-04-18,5689.0807
2006-04-19,5799.5772
2006-04-20,5704.0126
2006-04-21,5778.6725
2006-04-24,5823.4684
2006-04-25,5919.033
2006-04-26,6008.6248
2006-04-27,6077.3119
2006-04-28,6065.3663
2006-05-01,5910.0738
2006-05-02,6035.5024
2006-05-03,5972.7881
2006-05-04,5551.7065
2006-05-05,5611.4344
2006-05-08,5428.4428
2006-05-09,5476.3496
2006-05-10,5497.3089
2006-05-11,5425.4486
2006-05-12,5338.6175
2006-05-15,5329.635
2006-05-16,5380.536
2006-05-17,5206.8737
2006-05-18,5221.8446
2006-05-19,5164.9552
2006-05-22,5215.8562
2006-05-23,5212.8621
2006-05-24,5221.8446
2006-05-25,5221.8446
2006-05-26,5350.5942
2006-05-30,5299.6932
2006-05-31,5377.5418
2006-06-01,5443.4137
2006-06-02,5443.4137
2006-06-05,5326.6408
2006-06-06,5329.635
2006-06-07,5419.4603
2006-06-08,5461.3787
2006-06-09,5440.4195
2006-06-12,5431.437
2006-06-13,5383.5301
2006-06-14,5308.6757
2006-06-15,5488.3263
2006-06-16,5437.4253
2006-06-19,5371.5534
2006-06-20,5440.4195
2006-06-21,5404.4894
2006-06-22,5344.6058
2006-06-23,5365.5651
2006-06-26,5401.4952
2006-06-27,5308.6757
2006-06-28,5317.6582
2006-06-29,5416.4661
2006-06-30,5428.4428
2006-07-03,5431.437
2006-07-05,5293.7048
2006-07-06,5197.8912
2006-07-07,5149.9843
2006-07-10,5114.0542
2006-07-11,5090.1008
2006-07-12,4985.3046
2006-07-13,4937.3978
2006-07-14,4928.4152
2006-07-17,4913.4444
2006-07-18,4910.4502
2006-07-19,5057.1649
2006-07-20,5051.1765
2006-07-21,5024.2289
2006-07-24,4994.2871
2006-07-25,4973.3279
2006-07-26,5015.2464
2006-07-27,4895.4793
2006-07-28,4874.5201
2006-07-31,4859.5492
2006-08-01,4964.3454
2006-08-02,4970.3337
2006-08-03,4991.293
2006-08-04,4925.4211
2006-08-07,5579.6233
2006-08-08,5593.324
2006-08-09,5788.5594
2006-08-10,5877.6142
2006-08-11,5836.512
2006-08-14,5798.835
2006-08-15,6014.6215
2006-08-16,6141.3533
2006-08-17,6244.1088
2006-08-18,6226.9829
2006-08-21,6226.9829
2006-08-22,6261.2347
2006-08-23,6292.0614
2006-08-24,6340.0139
2006-08-25,6357.1398
2006-08-28,6422.2183
2006-08-29,6463.3205
2006-08-30,6463.3205
2006-08-31,6490.722
2006-09-01,6514.6983
2006-09-05,6504.4227
2006-09-06,6425.6435
2006-09-07,6435.9191
2006-09-08,6477.0213
2006-09-11,6470.1709
2006-09-12,6576.3516
2006-09-13,6531.8242
2006-09-14,6507.8479
2006-09-15,6610.6034
2006-09-18,6518.1234
2006-09-19,6507.8479
2006-09-20,6614.0286
2006-09-21,6576.3516
2006-09-22,6569.5012
2006-09-25,6638.0049
2006-09-26,6768.1618
2006-09-27,6672.2567
2006-09-28,6713.3589
2006-09-29,6641.43
2006-10-02,6627.7293
2006-10-03,6665.4063
2006-10-04,6812.6892
2006-10-05,6798.9885
2006-10-06,6853.7914
2006-10-09,6864.0669
2006-10-10,6730.4848
2006-10-11,6816.1144
2006-10-12,6809.264
2006-10-13,7439.4977
2006-10-16,7237.4119
2006-10-17,7138.0816
2006-10-18,7134.6564
2006-10-19,7073.0031
2006-10-20,7062.7276
2006-10-23,7124.3809
2006-10-24,6956.5469
2006-10-25,6953.1217
2006-10-26,7014.775
2006-10-27,6877.7677
2006-10-30,6922.2951
2006-10-31,6775.0122
2006-11-01,6836.6655
2006-11-02,7066.1527
2006-11-03,6935.9958
2006-11-06,7114.1053
2006-11-07,7021.6254
2006-11-08,7087.1875
2006-11-09,7004.9775
2006-11-10,7022.1046
2006-11-13,7032.3808
2006-11-14,7032.3808
