Date,CUR_MKT_CAP
2006-01-03,1991.1338
2006-01-04,2012.4571
2006-01-05,2053.951
2006-01-06,2062.5956
2006-01-09,2091.9872
2006-01-10,2104.6659
2006-01-11,2101.7844
2006-01-12,2108.7
2006-01-13,2087.953
2006-01-17,2086.2241
2006-01-18,2106.9711
2006-01-19,2132.3285
2006-01-20,2103.5133
2006-01-23,2119.6498
2006-01-24,2127.7181
2006-01-25,2138.6679
2006-01-26,2154.2281
2006-01-27,2130.5996
2006-01-30,2125.9892
2006-01-31,2143.2783
2006-02-01,2124.8366
2006-02-02,2104.0896
2006-02-03,2086.2241
2006-02-06,2096.5976
2006-02-07,2087.953
2006-02-08,2048.7643
2006-02-09,2040.696
2006-02-10,2051.6458
2006-02-13,2047.0354
2006-02-14,2051.6458
2006-02-15,2077.5796
2006-02-16,2096.5976
2006-02-17,2110.4289
2006-02-21,2125.4129
2006-02-22,2153.6518
2006-02-23,2136.939
2006-02-24,2117.9209
2006-02-27,2116.7683
2006-02-28,2100.6318
2006-03-01,2087.3767
2006-03-02,2069.5113
2006-03-03,2050.4932
2006-03-06,2094.2924
2006-03-07,2078.7322
2006-03-08,2079.8848
2006-03-09,2100.6318
2006-03-10,2113.8868
2006-03-13,2139.5766
2006-03-14,2159.5124
2006-03-15,2204.661
2006-03-16,2222.8377
2006-03-17,2245.7052
2006-03-20,2256.8458
2006-03-21,2198.2112
2006-03-22,2195.8658
2006-03-23,2213.4562
2006-03-24,2192.3478
2006-03-27,2177.1028
2006-03-28,2169.4803
2006-03-29,2214.0426
2006-03-30,2204.0747
2006-03-31,2233.9783
2006-04-03,2159.5124
2006-04-04,2156.5806
2006-04-05,2170.0666
2006-04-06,2110.8457
2006-04-07,2193.7654
2006-04-10,2159.5356
2006-04-11,2156.4794
2006-04-12,2134.4745
2006-04-13,2121.027
2006-04-17,2130.1957
2006-04-18,2148.5332
2006-04-19,2171.7605
2006-04-20,2161.9806
2006-04-21,2141.8094
2006-04-24,2143.0319
2006-04-25,2142.4207
2006-04-26,2091.6872
2006-04-27,2122.2495
2006-04-28,2127.1395
2006-05-01,2088.0197
2006-05-02,2099.0222
2006-05-03,2108.8021
2006-05-04,2135.0857
2006-05-05,2143.0319
2006-05-08,2160.1468
2006-05-09,2114.9146
2006-05-10,2143.0227
2006-05-11,2111.9644
2006-05-12,2087.1178
2006-05-15,2133.084
2006-05-16,2123.1454
2006-05-17,2093.3294
2006-05-18,2088.3601
2006-05-19,2101.4046
2006-05-22,2082.1484
2006-05-23,2042.3938
2006-05-24,2061.0288
2006-05-25,2104.5104
2006-05-26,2123.1454
2006-05-30,2105.1316
2006-05-31,2105.1316
2006-06-01,2135.5687
2006-06-02,2180.2927
2006-06-05,2182.7773
2006-06-06,2154.8249
2006-06-07,2175.3233
2006-06-08,2164.7635
2006-06-09,2177.1868
