Date,CUR_MKT_CAP
2011-12-15,4617.188
2011-12-16,4598.1113
2011-12-19,4746.9298
2011-12-20,4855.6818
2011-12-21,5065.5513
2011-12-22,5202.9222
2011-12-23,5151.4081
2011-12-27,5189.5667
2011-12-28,5229.6332
2011-12-29,5193.3825
2011-12-30,5199.1063
2012-01-03,5180.027
2012-01-04,5036.9324
2012-01-05,5046.472
2012-01-06,4960.6152
2012-01-09,4998.7738
2012-01-10,5040.7482
2012-01-11,4987.3262
2012-01-12,4979.6945
2012-01-13,5067.4592
2012-01-17,5351.7406
2012-01-18,5418.5181
2012-01-19,5471.9402
2012-01-20,5599.7714
2012-01-23,5677.9965
2012-01-24,5628.3903
2012-01-25,5819.1832
2012-01-26,5681.8123
2012-01-27,5695.1678
2012-01-30,5693.2599
2012-01-31,5905.04
2012-02-01,5971.8175
2012-02-02,6042.4109
2012-02-03,6202.6769
2012-02-06,6320.9685
2012-02-07,6231.2959
2012-02-08,6336.232
2012-02-09,6481.2346
2012-02-10,6385.8381
2012-02-13,6412.5491
2012-02-14,8175.4754
2012-02-15,8175.4754
2012-02-16,8060.9997
2012-02-17,7978.9588
2012-02-21,7841.5879
2012-02-22,7832.0482
2012-02-23,7776.7183
2012-02-24,7919.813
2012-02-27,8330.0177
2012-02-28,8144.9486
2012-02-29,8251.7926
2012-03-01,8724.959
2012-03-02,9148.5192
2012-03-05,9278.2584
2012-03-06,8931.0153
2012-03-07,8795.5523
2012-03-08,8982.5294
2012-03-09,9461.4195
2012-03-12,9266.8108
2012-03-13,9301.1535
2012-03-14,9076.0179
2012-03-15,9091.2813
2012-03-16,8829.8951
2012-03-19,8646.7339
2012-03-20,9175.2302
2012-03-21,9278.2584
2012-03-22,9295.4297
2012-03-23,8967.2659
2012-03-26,9070.7297
2012-03-27,8964.7632
2012-03-28,8673.8371
2012-03-29,8802.9235
2012-03-30,8976.3232
2012-04-02,8891.55
2012-04-03,9057.243
2012-04-04,9142.0162
2012-04-05,9157.4295
2012-04-09,9016.7831
2012-04-10,8317.4044
2012-04-11,8265.3845
2012-04-12,8473.4641
2012-04-13,8404.1042
2012-04-16,8111.2515
2012-04-17,8261.5312
2012-04-18,8280.7978
2012-04-19,8072.7182
2012-04-20,7953.2651
2012-04-23,8359.791
2012-04-24,7960.9717
2012-04-25,8199.878
2012-04-26,8546.6773
2012-04-27,8843.3834
2012-04-30,8799.0702
2012-05-01,9269.176
2012-05-02,9367.4358
2012-05-03,8854.9434
2012-05-04,8438.7842
2012-05-07,8496.5841
2012-05-08,8043.8183
2012-05-09,7995.6517
2012-05-10,7741.3322
2012-05-11,7826.1053
2012-05-14,7745.1855
2012-05-15,7851.152
2012-05-16,7733.6255
2012-05-17,7280.8597
2012-05-18,7234.6198
2012-05-21,7843.4453
2012-05-22,8049.5982
2012-05-23,8084.2782
2012-05-24,7887.7585
2012-05-25,7937.8518
2012-05-29,8082.3515
2012-05-30,7706.6522
2012-05-31,7587.1991
2012-06-01,7275.0797
2012-06-04,7199.9398
2012-06-05,7461.966
2012-06-06,7434.9927
2012-06-07,6943.6937
2012-06-08,7392.6061
2012-06-11,7355.9995
2012-06-12,7918.5852
2012-06-13,7483.1593
2012-06-14,7261.5931
2012-06-15,7562.1525
2012-06-18,7592.9791
2012-06-19,7920.5118
2012-06-20,8086.2048
2012-06-21,7966.7517
2012-06-22,8257.6779
2012-06-25,8198.7937
2012-06-26,8468.6177
