Date,Firm Name,Period,Rating,Recommendation,Target Price
2005-11-28,Lehman Brothers,Not Provided,3,equalwt/negative,-0.0
2005-11-23,Credit Suisse,Not Provided,5,outperform,3.79
2005-11-10,UBS,Not Provided,5,buy 1,4.89
2005-11-04,J.P. Morgan,Not Provided,5,overweight,-0.0
2005-11-03,Seymour Pierce,Not Provided,3,hold,-0.0
2005-09-09,Morgan Stanley,Not Provided,5,Overwt/In-Line,4.6
2005-07-11,Goldman Sachs,Not Provided,3,in-line,-0.0
2005-06-10,Numis,Not Provided,4,add,3.41
2005-05-04,Goldman Sachs,Not Provided,3,in-line,-0.0
2002-09-05,Societe Generale,Not Provided,5,buy,-0.0
2006-01-23,Goldman Sachs,Not Provided,1,underperf/neutral,-0.0
2006-01-16,Morgan Stanley,Not Provided,3,Equalwt/Cautious,3.89
2006-01-13,Credit Suisse,Not Provided,5,outperform,3.91
2006-01-13,J.P. Morgan,Not Provided,5,overweight,-0.0
2006-01-12,Panmure Gordon & Co Limited,Not Provided,3,hold,4.05
2005-11-28,Lehman Brothers,Not Provided,3,equalwt/negative,-0.0
2005-11-10,UBS,Not Provided,5,buy 1,4.89
2005-11-03,Seymour Pierce,Not Provided,3,hold,-0.0
2005-06-10,Numis,Not Provided,4,add,3.41
2005-05-04,Goldman Sachs,Not Provided,3,in-line,-0.0
2002-09-05,Societe Generale,Not Provided,5,buy,-0.0
2006-02-03,Seymour Pierce,Not Provided,3,hold,-0.0
2006-01-23,Goldman Sachs,Not Provided,1,underperf/neutral,-0.0
2006-01-16,Morgan Stanley,Not Provided,3,Equalwt/Cautious,3.89
2006-01-13,Credit Suisse,Not Provided,5,outperform,3.91
2006-01-12,Panmure Gordon & Co Limited,Not Provided,3,hold,4.05
2005-11-28,Lehman Brothers,Not Provided,3,equalwt/negative,-0.0
2005-11-10,UBS,Not Provided,5,buy 1,4.89
2005-06-10,Numis,Not Provided,4,add,3.41
2005-05-04,Goldman Sachs,Not Provided,3,in-line,-0.0
2002-09-05,Societe Generale,Not Provided,5,buy,-0.0
2006-02-03,Seymour Pierce,Not Provided,3,hold,-0.0
2006-01-23,Goldman Sachs,Not Provided,1,underperf/neutral,-0.0
2006-01-16,Morgan Stanley,Not Provided,3,Equalwt/Cautious,3.89
2006-01-13,Credit Suisse,Not Provided,5,outperform,3.91
2006-01-12,Panmure Gordon & Co Limited,Not Provided,3,hold,4.05
2005-11-28,Lehman Brothers,Not Provided,3,equalwt/negative,-0.0
2005-11-10,UBS,Not Provided,5,buy 1,4.89
2005-06-10,Numis,Not Provided,4,add,3.41
2005-05-04,Goldman Sachs,Not Provided,3,in-line,-0.0
2002-09-05,Societe Generale,Not Provided,5,buy,-0.0
2006-04-07,Credit Suisse,12 month,5,outperform,4.18
2006-04-05,Seymour Pierce,Not Provided,5,outperform,-0.0
2006-01-23,Goldman Sachs,Not Provided,1,underperf/neutral,-0.0
2006-01-16,Morgan Stanley,Not Provided,3,Equalwt/Cautious,3.89
2006-01-12,Panmure Gordon & Co Limited,Not Provided,3,hold,4.05
2005-11-28,Lehman Brothers,Not Provided,3,equalwt/negative,-0.0
2005-11-10,UBS,Not Provided,5,buy 1,4.89
2005-05-04,Goldman Sachs,Not Provided,3,in-line,-0.0
2002-09-05,Societe Generale,Not Provided,5,buy,-0.0
2006-05-31,Lehman Brothers,Not Provided,1,underwt/neutral,3.63
2006-05-30,Seymour Pierce,Not Provided,5,outperform,-0.0
2006-05-04,Credit Suisse,12 month,5,outperform,4.43
2006-01-23,Goldman Sachs,Not Provided,1,underperf/neutral,-0.0
2006-01-16,Morgan Stanley,Not Provided,3,Equalwt/Cautious,3.89
2006-01-12,Panmure Gordon & Co Limited,Not Provided,3,hold,4.05
2005-11-10,UBS,Not Provided,5,buy 1,4.89
2005-05-04,Goldman Sachs,Not Provided,3,in-line,-0.0
2002-09-05,Societe Generale,Not Provided,5,buy,-0.0
2006-06-26,Goldman Sachs,Not Provided,1,underperf/neutral,3.17
2006-06-12,Credit Suisse,12 month,5,outperform,4.24
2006-06-09,Seymour Pierce,Not Provided,5,outperform,-0.0
2006-06-09,Panmure Gordon & Co Limited,Not Provided,3,hold,3.87
2006-05-31,Lehman Brothers,Not Provided,1,underwt/neutral,3.63
2006-01-16,Morgan Stanley,Not Provided,3,Equalwt/Cautious,3.89
2005-11-10,UBS,Not Provided,5,buy 1,4.89
2002-09-05,Societe Generale,Not Provided,5,buy,-0.0
2006-07-10,Morgan Stanley,Not Provided,3,Equalwt/Cautious,3.87
2006-06-26,Goldman Sachs,Not Provided,1,underperf/neutral,3.17
2006-06-12,Credit Suisse,12 month,5,outperform,4.24
2006-06-09,Seymour Pierce,Not Provided,5,outperform,-0.0
2006-05-31,Lehman Brothers,Not Provided,1,underwt/neutral,3.63
2005-11-10,UBS,Not Provided,5,buy 1,4.89
2002-09-05,Societe Generale,Not Provided,5,buy,-0.0
2006-08-29,Seymour Pierce,Not Provided,5,outperform,-0.0
2006-08-21,Credit Suisse,Not Provided,3,neutral,4.36
2006-08-10,Societe Generale,Not Provided,5,buy,5.33
2006-08-03,Numis,Not Provided,2,reduce,3.62
2006-08-03,Panmure Gordon & Co Limited,Not Provided,3,hold,3.96
2006-07-10,Morgan Stanley,Not Provided,3,Equalwt/Cautious,3.87
2006-06-26,Goldman Sachs,Not Provided,1,underperf/neutral,3.17
2006-05-31,Lehman Brothers,Not Provided,1,underwt/neutral,3.63
2005-11-10,UBS,Not Provided,5,buy 1,4.89
2006-09-14,Lehman Brothers,Not Provided,1,underwt/neutral,4.04
2006-09-13,Societe Generale,Not Provided,5,buy,5.29
2006-09-04,Goldman Sachs,Not Provided,1,Sell/Cautious,3.55
2006-08-29,Seymour Pierce,Not Provided,5,outperform,-0.0
2006-08-21,Credit Suisse,Not Provided,3,neutral,4.36
2006-08-03,Numis,Not Provided,2,reduce,3.62
2006-08-03,Panmure Gordon & Co Limited,Not Provided,3,hold,3.96
2006-07-10,Morgan Stanley,Not Provided,3,Equalwt/Cautious,3.87
2005-11-10,UBS,Not Provided,5,buy 1,4.89
2006-10-02,Seymour Pierce,Not Provided,5,outperform,-0.0
2006-09-14,Lehman Brothers,Not Provided,1,underwt/neutral,4.04
2006-09-13,Societe Generale,Not Provided,5,buy,5.29
2006-09-04,Goldman Sachs,Not Provided,1,Sell/Cautious,3.55
2006-08-21,Credit Suisse,Not Provided,3,neutral,4.36
2006-08-03,Numis,Not Provided,2,reduce,3.62
2006-08-03,Panmure Gordon & Co Limited,Not Provided,3,hold,3.96
2006-07-10,Morgan Stanley,Not Provided,3,Equalwt/Cautious,3.87
2005-11-10,UBS,Not Provided,5,buy 1,4.89
2006-11-22,Panmure Gordon & Co Limited,Not Provided,1,sell,4.02
2006-11-21,Seymour Pierce,Not Provided,3,hold,-0.0
2006-11-15,Credit Suisse,Not Provided,3,neutral,4.35
2006-11-03,Societe Generale,Not Provided,5,buy,5.36
2006-09-14,Lehman Brothers,Not Provided,1,underwt/neutral,4.04
2006-09-04,Goldman Sachs,Not Provided,1,Sell/Cautious,3.55
2006-08-03,Numis,Not Provided,2,reduce,3.62
2006-07-10,Morgan Stanley,Not Provided,3,Equalwt/Cautious,3.87
2005-11-10,UBS,Not Provided,5,buy 1,4.89
2006-12-04,Societe Generale,Not Provided,5,buy,5.58
2006-11-22,Panmure Gordon & Co Limited,Not Provided,1,sell,4.02
2006-11-21,Seymour Pierce,Not Provided,3,hold,-0.0
2006-11-15,Credit Suisse,Not Provided,3,neutral,4.35
2006-09-14,Lehman Brothers,Not Provided,1,underwt/neutral,4.04
2006-09-04,Goldman Sachs,Not Provided,1,Sell/Cautious,3.55
2006-08-03,Numis,Not Provided,2,reduce,3.62
2006-07-10,Morgan Stanley,Not Provided,3,Equalwt/Cautious,3.87
2005-11-10,UBS,Not Provided,5,buy 1,4.89
2007-01-25,S&P Capital IQ,Not Provided,1,sell,4.22
2007-01-12,Societe Generale,Not Provided,5,buy,5.52
2007-01-12,Credit Suisse,Not Provided,3,neutral,4.5
2007-01-12,Numis,Not Provided,1,sell,3.76
2007-01-11,Seymour Pierce,Not Provided,3,hold,-0.0
2007-01-03,Goldman Sachs,Not Provided,1,Sell/Cautious,4.02
2006-11-22,Panmure Gordon & Co Limited,Not Provided,1,sell,4.02
2006-09-14,Lehman Brothers,Not Provided,1,underwt/neutral,4.04
2006-07-10,Morgan Stanley,Not Provided,3,Equalwt/Cautious,3.87
2005-11-10,UBS,Not Provided,5,buy 1,4.89
2007-02-22,Societe Generale,Not Provided,3,hold,5.17
2007-02-08,Seymour Pierce,Not Provided,3,hold,-0.0
2007-01-25,S&P Capital IQ,Not Provided,1,sell,4.22
2007-01-12,Credit Suisse,Not Provided,3,neutral,4.5
2007-01-03,Goldman Sachs,Not Provided,1,Sell/Cautious,4.02
2006-11-22,Panmure Gordon & Co Limited,Not Provided,1,sell,4.02
2006-09-14,Lehman Brothers,Not Provided,1,underwt/neutral,4.04
2006-07-10,Morgan Stanley,Not Provided,3,Equalwt/Cautious,3.87
2005-11-10,UBS,Not Provided,5,buy 1,4.89
2007-03-27,S&P Capital IQ,Not Provided,1,strong sell,4.05
2007-03-26,Morgan Stanley,Not Provided,5,Overwt/Cautious,5.32
2007-02-22,Societe Generale,Not Provided,3,hold,5.17
2007-02-08,Seymour Pierce,Not Provided,3,hold,-0.0
2007-01-12,Credit Suisse,Not Provided,3,neutral,4.5
2007-01-03,Goldman Sachs,Not Provided,1,Sell/Cautious,4.02
2006-11-22,Panmure Gordon & Co Limited,Not Provided,1,sell,4.02
2006-09-14,Lehman Brothers,Not Provided,1,underwt/neutral,4.04
2005-11-10,UBS,Not Provided,5,buy 1,4.89
2007-04-20,Societe Generale,Not Provided,3,hold,5.05
2007-04-20,Goldman Sachs,Not Provided,1,Sell/Cautious,4.01
2007-04-20,Credit Suisse,Not Provided,3,neutral,4.61
2007-04-19,Panmure Gordon & Co Limited,Not Provided,1,sell,4.21
2007-04-18,Seymour Pierce,Not Provided,3,hold,-0.0
2007-03-27,S&P Capital IQ,Not Provided,1,strong sell,4.05
2007-03-26,Morgan Stanley,Not Provided,5,Overwt/Cautious,5.32
2005-11-10,UBS,Not Provided,5,buy 1,4.89
2007-04-20,Societe Generale,Not Provided,3,hold,5.05
2007-04-20,Goldman Sachs,Not Provided,1,Sell/Cautious,4.01
2007-04-20,Credit Suisse,Not Provided,3,neutral,4.61
2007-04-19,Panmure Gordon & Co Limited,Not Provided,1,sell,4.21
2007-04-18,Seymour Pierce,Not Provided,3,hold,-0.0
2007-03-27,S&P Capital IQ,Not Provided,1,strong sell,4.05
2007-03-26,Morgan Stanley,Not Provided,5,Overwt/Cautious,5.32
2005-11-10,UBS,Not Provided,5,buy 1,4.89
2007-06-29,Seymour Pierce,Not Provided,3,hold,-0.0
2007-06-22,Goldman Sachs,12 month,1,Sell/Cautious,4.0
2007-06-12,UBS,Not Provided,5,buy,5.13
