Date,Firm Name,Period,Rating,Recommendation,Target Price
2005-12-22,UBS,12 month,5,buy 2,12.58
2005-11-28,Wells Fargo Securities,Not Provided,5,outperform,-0.0
2005-11-10,FBR Capital Markets,Not Provided,5,outperform,10.92
2005-11-03,RBC Capital Markets,Not Provided,1,underperform,10.92
2005-11-03,Credit Suisse,12 month,3,neutral,10.92
2005-11-03,"Capital One Securities, Inc.",Not Provided,5,buy,11.39
2005-11-03,Raymond James,Not Provided,5,outperform,10.44
2005-11-03,Stanford Group,12 month,3,hold,8.78
2005-11-03,Barclays,Not Provided,3,equalwt/positive,10.92
2005-11-02,Morgan Stanley,Not Provided,5,Overwt/Attractive,11.15
2005-07-06,Goldman Sachs,Not Provided,3,in-line,-0.0
2005-05-12,"Miller Tabak + Co., LLC",Not Provided,5,buy,-0.0
2004-06-25,J.P. Morgan,Not Provided,5,overweight,-0.0
2006-02-01,Scotia Howard Weil Inc,Not Provided,3,hold,12.1
2006-01-31,Wells Fargo Securities,Not Provided,5,outperform,-0.0
2006-01-30,Stanford Group,12 month,3,hold,11.87
2006-01-26,"Capital One Securities, Inc.",Not Provided,5,buy,13.05
2006-01-26,Raymond James,Not Provided,3,market perform,-0.0
2006-01-19,Morgan Stanley,12 month,3,Equalwt/Attractive,14.0
2006-01-10,Barclays,Not Provided,3,equalwt/positive,11.87
2006-01-09,FBR Capital Markets,Not Provided,5,outperform,13.53
2006-01-04,RBC Capital Markets,Not Provided,5,outperform,14.48
2005-12-22,UBS,12 month,5,buy 2,12.58
2005-11-03,Credit Suisse,12 month,3,neutral,10.92
2005-07-06,Goldman Sachs,Not Provided,3,in-line,-0.0
2005-05-12,"Miller Tabak + Co., LLC",Not Provided,5,buy,-0.0
2004-06-25,J.P. Morgan,Not Provided,5,overweight,-0.0
2006-02-23,FBR Capital Markets,Not Provided,5,outperform,14.24
2006-02-17,Credit Suisse,12 month,1,underperform,12.58
2006-02-16,"Capital One Securities, Inc.",Not Provided,5,buy,13.76
2006-02-16,Wells Fargo Securities,Not Provided,5,outperform,-0.0
2006-02-15,UBS,12 month,5,buy 2,14.48
2006-02-15,Stanford Group,12 month,3,hold,11.87
2006-02-01,Scotia Howard Weil Inc,Not Provided,3,hold,12.1
2006-01-26,Raymond James,Not Provided,3,market perform,-0.0
2006-01-19,Morgan Stanley,12 month,3,Equalwt/Attractive,14.0
2006-01-10,Barclays,Not Provided,3,equalwt/positive,11.87
2006-01-04,RBC Capital Markets,Not Provided,5,outperform,14.48
2005-07-06,Goldman Sachs,Not Provided,3,in-line,-0.0
2005-05-12,"Miller Tabak + Co., LLC",Not Provided,5,buy,-0.0
2004-06-25,J.P. Morgan,Not Provided,5,overweight,-0.0
2006-03-28,Goldman Sachs,Not Provided,3,in-line/attractive,-0.0
2006-03-28,Wells Fargo Securities,Not Provided,3,market perform,-0.0
2006-03-15,Barclays,Not Provided,3,equalwt/positive,12.34
2006-02-23,FBR Capital Markets,Not Provided,5,outperform,14.24
2006-02-17,Credit Suisse,12 month,1,underperform,12.58
2006-02-16,"Capital One Securities, Inc.",Not Provided,5,buy,13.76
2006-02-15,UBS,12 month,5,buy 2,14.48
2006-02-15,Stanford Group,12 month,3,hold,11.87
2006-02-01,Scotia Howard Weil Inc,Not Provided,3,hold,12.1
2006-01-26,Raymond James,Not Provided,3,market perform,-0.0
2006-01-19,Morgan Stanley,12 month,3,Equalwt/Attractive,14.0
2006-01-04,RBC Capital Markets,Not Provided,5,outperform,14.48
2005-05-12,"Miller Tabak + Co., LLC",Not Provided,5,buy,-0.0
2004-06-25,J.P. Morgan,Not Provided,5,overweight,-0.0
2006-04-03,"Capital One Securities, Inc.",Not Provided,5,buy,13.76
2006-03-28,Goldman Sachs,Not Provided,3,in-line/attractive,-0.0
2006-03-28,Wells Fargo Securities,Not Provided,3,market perform,-0.0
2006-03-15,Barclays,Not Provided,3,equalwt/positive,12.34
2006-02-23,FBR Capital Markets,Not Provided,5,outperform,14.24
2006-02-17,Credit Suisse,12 month,1,underperform,12.58
2006-02-15,UBS,12 month,5,buy 2,14.48
2006-02-15,Stanford Group,12 month,3,hold,11.87
2006-02-01,Scotia Howard Weil Inc,Not Provided,3,hold,12.1
2006-01-26,Raymond James,Not Provided,3,market perform,-0.0
2006-01-19,Morgan Stanley,12 month,3,Equalwt/Attractive,14.0
2006-01-04,RBC Capital Markets,Not Provided,5,outperform,14.48
2005-05-12,"Miller Tabak + Co., LLC",Not Provided,5,buy,-0.0
2004-06-25,J.P. Morgan,Not Provided,5,overweight,-0.0
2006-05-17,Scotia Howard Weil Inc,12 month,3,hold,17.32
2006-05-10,RBC Capital Markets,Not Provided,5,outperform,16.14
2006-05-10,Credit Suisse,12 month,1,underperform,14.95
2006-05-10,"Capital One Securities, Inc.",Not Provided,5,buy,18.99
2006-05-10,Raymond James,Not Provided,3,market perform,-0.0
2006-05-10,FBR Capital Markets,Not Provided,5,outperform,19.46
2006-05-10,Wells Fargo Securities,Not Provided,3,market perform,-0.0
2006-05-10,Stanford Group,12 month,3,hold,15.43
2006-05-10,Barclays,Not Provided,3,equalwt/positive,15.43
2006-05-09,Morgan Stanley,12 month,3,Equalwt/Attractive,17.56
2006-05-09,UBS,12 month,5,buy 2,19.46
2006-03-28,Goldman Sachs,Not Provided,3,in-line/attractive,-0.0
2005-05-12,"Miller Tabak + Co., LLC",Not Provided,5,buy,-0.0
2004-06-25,J.P. Morgan,Not Provided,5,overweight,-0.0
2006-06-26,Goldman Sachs,Not Provided,3,in-line/attractive,17.32
2006-06-20,Tudor Pickering & Co,Not Provided,4,accumulate,-0.0
2006-05-17,Scotia Howard Weil Inc,12 month,3,hold,17.32
2006-05-10,RBC Capital Markets,Not Provided,5,outperform,16.14
2006-05-10,Credit Suisse,12 month,1,underperform,14.95
2006-05-10,"Capital One Securities, Inc.",Not Provided,5,buy,18.99
2006-05-10,Raymond James,Not Provided,3,market perform,-0.0
2006-05-10,FBR Capital Markets,Not Provided,5,outperform,19.46
2006-05-10,Wells Fargo Securities,Not Provided,3,market perform,-0.0
2006-05-10,Stanford Group,12 month,3,hold,15.43
2006-05-10,Barclays,Not Provided,3,equalwt/positive,15.43
2006-05-09,Morgan Stanley,12 month,3,Equalwt/Attractive,17.56
2006-05-09,UBS,12 month,5,buy 2,19.46
2005-05-12,"Miller Tabak + Co., LLC",Not Provided,5,buy,-0.0
2004-06-25,J.P. Morgan,Not Provided,5,overweight,-0.0
2006-07-28,Wells Fargo Securities,Not Provided,3,market perform,-0.0
2006-07-28,Barclays,Not Provided,3,equalwt/positive,16.14
2006-07-27,Goldman Sachs,Not Provided,3,neutral/attractive,17.56
2006-07-27,Credit Suisse,12 month,1,underperform,15.19
2006-07-27,"Capital One Securities, Inc.",Not Provided,5,buy,18.99
2006-07-27,Raymond James,Not Provided,3,market perform,-0.0
2006-07-27,FBR Capital Markets,Not Provided,5,outperform,19.94
2006-07-26,RBC Capital Markets,Not Provided,5,outperform,18.99
2006-07-24,J.P. Morgan,Not Provided,3,neutral,-0.0
2006-07-10,Morgan Stanley,12 month,3,Equalwt/Attractive,20.17
2006-06-20,Tudor Pickering & Co,Not Provided,4,accumulate,-0.0
2006-05-17,Scotia Howard Weil Inc,12 month,3,hold,17.32
2006-05-10,Stanford Group,12 month,3,hold,15.43
2006-05-09,UBS,12 month,5,buy 2,19.46
2005-05-12,"Miller Tabak + Co., LLC",Not Provided,5,buy,-0.0
2006-08-18,"Capital One Securities, Inc.",Not Provided,5,buy,18.99
2006-07-28,Wells Fargo Securities,Not Provided,3,market perform,-0.0
2006-07-28,Barclays,Not Provided,3,equalwt/positive,16.14
2006-07-27,Goldman Sachs,Not Provided,3,neutral/attractive,17.56
2006-07-27,Credit Suisse,12 month,1,underperform,15.19
2006-07-27,Raymond James,Not Provided,3,market perform,-0.0
2006-07-27,FBR Capital Markets,Not Provided,5,outperform,19.94
2006-07-26,RBC Capital Markets,Not Provided,5,outperform,18.99
2006-07-24,J.P. Morgan,Not Provided,3,neutral,-0.0
2006-07-10,Morgan Stanley,12 month,3,Equalwt/Attractive,20.17
2006-06-20,Tudor Pickering & Co,Not Provided,4,accumulate,-0.0
2006-05-17,Scotia Howard Weil Inc,12 month,3,hold,17.32
2006-05-10,Stanford Group,12 month,3,hold,15.43
2006-05-09,UBS,12 month,5,buy 2,19.46
2005-05-12,"Miller Tabak + Co., LLC",Not Provided,5,buy,-0.0
2006-09-19,"Capital One Securities, Inc.",Not Provided,5,buy,18.99
2006-09-18,Wells Fargo Securities,Not Provided,3,market perform,-0.0
2006-09-07,EVA Dimensions,Not Provided,3,hold,-0.0
2006-07-28,Barclays,Not Provided,3,equalwt/positive,16.14
2006-07-27,Goldman Sachs,Not Provided,3,neutral/attractive,17.56
2006-07-27,Credit Suisse,12 month,1,underperform,15.19
2006-07-27,Raymond James,Not Provided,3,market perform,-0.0
2006-07-27,FBR Capital Markets,Not Provided,5,outperform,19.94
2006-07-26,RBC Capital Markets,Not Provided,5,outperform,18.99
2006-07-24,J.P. Morgan,Not Provided,3,neutral,-0.0
2006-07-10,Morgan Stanley,12 month,3,Equalwt/Attractive,20.17
2006-06-20,Tudor Pickering & Co,Not Provided,4,accumulate,-0.0
2006-05-17,Scotia Howard Weil Inc,12 month,3,hold,17.32
2006-05-10,Stanford Group,12 month,3,hold,15.43
2006-05-09,UBS,12 month,5,buy 2,19.46
2005-05-12,"Miller Tabak + Co., LLC",Not Provided,5,buy,-0.0
2006-10-31,Barclays,Not Provided,3,equalwt/positive,16.14
2006-10-26,Credit Suisse,12 month,1,underperform,15.66
2006-10-26,Raymond James,Not Provided,3,market perform,-0.0
2006-10-26,FBR Capital Markets,Not Provided,5,outperform,19.94
2006-10-25,RBC Capital Markets,Not Provided,5,outperform,18.99
2006-10-25,UBS,12 month,5,buy 2,18.51
2006-10-25,Stifel,12 month,5,buy,15.19
2006-10-25,Wells Fargo Securities,Not Provided,3,market perform,-0.0
2006-10-25,Stanford Group,12 month,3,hold,15.43
2006-10-24,"Capital One Securities, Inc.",Not Provided,5,buy,18.99
2006-10-16,Morgan Stanley,12 month,3,Equalwt/Attractive,18.51
2006-10-03,J.P. Morgan,Not Provided,5,overweight,-0.0
2006-09-07,EVA Dimensions,Not Provided,3,hold,-0.0
2006-07-27,Goldman Sachs,Not Provided,3,neutral/attractive,17.56
2006-06-20,Tudor Pickering & Co,Not Provided,4,accumulate,-0.0
2006-05-17,Scotia Howard Weil Inc,12 month,3,hold,17.32
2005-05-12,"Miller Tabak + Co., LLC",Not Provided,5,buy,-0.0
2006-11-30,"Capital One Securities, Inc.",Not Provided,5,buy,18.99
2006-11-30,Barclays,Not Provided,3,equalwt/positive,16.14
2006-11-29,Wells Fargo Securities,Not Provided,3,market perform,-0.0
2006-11-22,FBR Capital Markets,Not Provided,5,outperform,19.94
2006-11-02,EVA Dimensions,Not Provided,5,buy,-0.0
2006-10-26,Credit Suisse,12 month,1,underperform,15.66
2006-10-26,Raymond James,Not Provided,3,market perform,-0.0
2006-10-25,RBC Capital Markets,Not Provided,5,outperform,18.99
2006-10-25,UBS,12 month,5,buy 2,18.51
2006-10-25,Stifel,12 month,5,buy,15.19
2006-10-25,Stanford Group,12 month,3,hold,15.43
2006-10-16,Morgan Stanley,12 month,3,Equalwt/Attractive,18.51
2006-10-03,J.P. Morgan,Not Provided,5,overweight,-0.0
2006-07-27,Goldman Sachs,Not Provided,3,neutral/attractive,17.56
2006-06-20,Tudor Pickering & Co,Not Provided,4,accumulate,-0.0
2006-05-17,Scotia Howard Weil Inc,12 month,3,hold,17.32
2005-05-12,"Miller Tabak + Co., LLC",Not Provided,5,buy,-0.0
2006-12-31,Tudor Pickering & Co,Not Provided,4,accumulate,-0.0
2006-12-20,"Capital One Securities, Inc.",Not Provided,5,buy,18.99
2006-12-06,Barclays,Not Provided,3,equalwt/positive,16.14
2006-12-04,Wells Fargo Securities,Not Provided,3,market perform,-0.0
2006-11-22,FBR Capital Markets,Not Provided,5,outperform,19.94
2006-11-02,EVA Dimensions,Not Provided,5,buy,-0.0
2006-10-26,Credit Suisse,12 month,1,underperform,15.66
2006-10-26,Raymond James,Not Provided,3,market perform,-0.0
2006-10-25,RBC Capital Markets,Not Provided,5,outperform,18.99
2006-10-25,UBS,12 month,5,buy 2,18.51
2006-10-25,Stifel,12 month,5,buy,15.19
2006-10-25,Stanford Group,12 month,3,hold,15.43
2006-10-16,Morgan Stanley,12 month,3,Equalwt/Attractive,18.51
2006-10-03,J.P. Morgan,Not Provided,5,overweight,-0.0
2006-07-27,Goldman Sachs,Not Provided,3,neutral/attractive,17.56
2006-05-17,Scotia Howard Weil Inc,12 month,3,hold,17.32
2005-05-12,"Miller Tabak + Co., LLC",Not Provided,5,buy,-0.0
2007-01-24,UBS,12 month,5,buy 2,16.85
2007-01-17,Stifel,12 month,5,buy,15.19
2007-01-16,"Capital One Securities, Inc.",Not Provided,5,buy,18.99
