Date,Firm Name,Period,Rating,Recommendation,Target Price
2012-10-01,Spin-Off Research,Not Provided,5,buy,41.5
2012-09-20,Barclays,Not Provided,3,equalweight,38.0
2012-10-29,Barclays,Not Provided,3,equalweight,38.0
2012-10-25,Morgan Stanley,12 month,3,Equalwt/In-Line,40.0
2012-10-17,Credit Suisse,Not Provided,5,outperform,45.0
2012-10-15,Argus Research Corp,Not Provided,3,hold,-0.0
2012-10-03,Spin-Off Research,Not Provided,5,buy,41.5
2012-10-02,Imperial Capital LLC,12 month,5,outperform,41.0
2012-10-02,EVA Dimensions,Not Provided,3,hold,-0.0
2012-11-29,Morgan Stanley,12 month,3,Equalwt/In-Line,46.0
2012-11-29,Credit Suisse,Not Provided,5,outperform,50.0
2012-11-29,Spin-Off Research,Not Provided,3,hold,47.0
2012-11-28,Imperial Capital LLC,12 month,5,outperform,48.0
2012-11-28,Barclays,Not Provided,3,equalweight,43.0
2012-11-27,Oppenheimer & Co,18 month,5,outperform,50.0
2012-10-15,Argus Research Corp,Not Provided,3,hold,-0.0
2012-10-02,EVA Dimensions,Not Provided,3,hold,-0.0
2012-12-19,EVA Dimensions,Not Provided,1,underweight,-0.0
2012-12-07,Argus Research Corp,Not Provided,3,hold,-0.0
2012-11-29,Morgan Stanley,12 month,3,Equalwt/In-Line,46.0
2012-11-29,Credit Suisse,Not Provided,5,outperform,50.0
2012-11-29,Spin-Off Research,Not Provided,3,hold,47.0
2012-11-28,Imperial Capital LLC,12 month,5,outperform,48.0
2012-11-28,Barclays,Not Provided,3,equalweight,43.0
2012-11-27,Oppenheimer & Co,18 month,5,outperform,50.0
2013-02-01,Morgan Stanley,12 month,3,Equalwt/In-Line,50.0
2013-01-31,William Blair & Co,12 month,5,outperform,60.0
2013-01-31,Stifel,12 month,5,buy,56.0
2013-01-31,Imperial Capital LLC,12 month,5,outperform,54.0
2013-01-31,Spin-Off Research,Not Provided,5,buy,53.5
2013-01-30,Credit Suisse,Not Provided,5,outperform,55.0
2013-01-30,Oppenheimer & Co,12 month,5,outperform,55.0
2013-01-30,Barclays,Not Provided,3,equalweight,47.0
2013-01-17,EVA Dimensions,Not Provided,3,hold,-0.0
2012-12-07,Argus Research Corp,Not Provided,3,hold,-0.0
2013-02-25,Oppenheimer & Co,12 month,5,outperform,55.0
2013-02-21,Morgan Stanley,12 month,3,Equalwt/In-Line,50.0
2013-01-31,William Blair & Co,12 month,5,outperform,60.0
2013-01-31,Stifel,12 month,5,buy,56.0
2013-01-31,Imperial Capital LLC,12 month,5,outperform,54.0
2013-01-31,Spin-Off Research,Not Provided,5,buy,53.5
2013-01-30,Credit Suisse,Not Provided,5,outperform,55.0
2013-01-30,Barclays,Not Provided,3,equalweight,47.0
2013-01-17,EVA Dimensions,Not Provided,3,hold,-0.0
2012-12-07,Argus Research Corp,Not Provided,3,hold,-0.0
2013-04-01,Stifel,12 month,5,buy,56.0
2013-03-28,William Blair & Co,12 month,5,outperform,60.0
2013-03-25,Credit Suisse,Not Provided,5,outperform,55.0
2013-03-20,Imperial Capital LLC,12 month,5,outperform,54.0
2013-03-19,Argus Research Corp,Not Provided,3,hold,-0.0
2013-03-08,Spin-Off Research,Not Provided,5,buy,53.5
2013-02-25,Oppenheimer & Co,12 month,5,outperform,55.0
2013-02-21,Morgan Stanley,12 month,3,Equalwt/In-Line,50.0
2013-01-30,Barclays,Not Provided,3,equalweight,47.0
2013-01-17,EVA Dimensions,Not Provided,3,hold,-0.0
2013-05-01,Morgan Stanley,12 month,1,Underwt/In-Line,48.0
2013-05-01,Credit Suisse,Not Provided,5,outperform,55.0
2013-05-01,Stifel,12 month,5,buy,56.0
2013-05-01,Imperial Capital LLC,12 month,5,outperform,53.0
2013-05-01,Oppenheimer & Co,12 month,5,outperform,49.0
2013-05-01,Barclays,Not Provided,3,equalweight,44.0
2013-03-28,William Blair & Co,12 month,5,outperform,60.0
2013-03-19,Argus Research Corp,Not Provided,3,hold,-0.0
2013-03-08,Spin-Off Research,Not Provided,5,buy,53.5
2013-01-17,EVA Dimensions,Not Provided,3,hold,-0.0
2013-05-22,William Blair & Co,12 month,5,outperform,59.0
2013-05-06,Morgan Stanley,12 month,3,Equalwt/In-Line,47.0
2013-05-06,Imperial Capital LLC,12 month,5,outperform,53.0
2013-05-06,EVA Dimensions,Not Provided,3,hold,-0.0
2013-05-02,Credit Suisse,Not Provided,5,outperform,55.0
2013-05-02,Spin-Off Research,12 month,5,buy,54.5
2013-05-01,Stifel,12 month,5,buy,56.0
2013-05-01,Oppenheimer & Co,12 month,5,outperform,49.0
2013-05-01,Barclays,Not Provided,3,equalweight,44.0
2013-03-19,Argus Research Corp,Not Provided,3,hold,-0.0
2013-06-21,Imperial Capital LLC,12 month,5,outperform,53.0
2013-06-17,Stifel,12 month,5,buy,56.0
2013-06-14,Argus Research Corp,Not Provided,3,hold,-0.0
2013-06-14,William Blair & Co,12 month,5,outperform,59.0
2013-06-03,Credit Suisse,Not Provided,5,outperform,55.0
2013-05-06,Morgan Stanley,12 month,3,Equalwt/In-Line,47.0
2013-05-06,EVA Dimensions,Not Provided,3,hold,-0.0
2013-05-02,Spin-Off Research,12 month,5,buy,54.5
2013-05-01,Oppenheimer & Co,12 month,5,outperform,49.0
2013-05-01,Barclays,Not Provided,3,equalweight,44.0
2013-08-01,William Blair & Co,12 month,5,outperform,59.0
2013-08-01,Imperial Capital LLC,12 month,5,outperform,53.0
2013-08-01,Spin-Off Research,12 month,5,buy,48.5
2013-07-31,Morgan Stanley,12 month,3,Equalwt/In-Line,46.0
2013-07-31,Credit Suisse,Not Provided,5,outperform,55.0
2013-07-31,Stifel,12 month,5,buy,56.0
2013-07-31,Oppenheimer & Co,18 month,5,outperform,49.0
2013-07-31,Barclays,Not Provided,3,equalweight,44.0
2013-06-14,Argus Research Corp,Not Provided,3,hold,-0.0
2013-05-06,EVA Dimensions,Not Provided,3,hold,-0.0
2013-08-09,William Blair & Co,12 month,5,outperform,59.0
2013-08-08,Morgan Stanley,12 month,3,Equalwt/In-Line,43.0
2013-08-08,Argus Research Corp,Not Provided,3,hold,-0.0
2013-08-02,Credit Suisse,Not Provided,5,outperform,55.0
2013-08-01,Imperial Capital LLC,12 month,5,outperform,53.0
2013-08-01,Spin-Off Research,12 month,5,buy,48.5
2013-07-31,Stifel,12 month,5,buy,56.0
2013-07-31,Oppenheimer & Co,18 month,5,outperform,49.0
2013-07-31,Barclays,Not Provided,3,equalweight,44.0
2013-05-06,EVA Dimensions,Not Provided,3,hold,-0.0
2013-09-23,Morgan Stanley,12 month,3,Equalwt/In-Line,43.0
2013-09-23,Stifel,12 month,5,buy,56.0
2013-09-18,Imperial Capital LLC,12 month,5,outperform,53.0
2013-08-09,William Blair & Co,12 month,5,outperform,59.0
2013-08-08,Argus Research Corp,Not Provided,3,hold,-0.0
2013-08-02,Credit Suisse,Not Provided,5,outperform,55.0
2013-08-01,Spin-Off Research,12 month,5,buy,48.5
2013-07-31,Oppenheimer & Co,18 month,5,outperform,49.0
2013-07-31,Barclays,Not Provided,3,equalweight,44.0
2013-05-06,EVA Dimensions,Not Provided,3,hold,-0.0
2013-11-01,Imperial Capital LLC,12 month,5,outperform,53.0
2013-10-21,William Blair & Co,12 month,5,outperform,59.0
2013-10-07,Credit Suisse,Not Provided,5,outperform,55.0
2013-10-07,Barclays,Not Provided,3,equalweight,43.0
2013-09-23,Morgan Stanley,12 month,3,Equalwt/In-Line,43.0
2013-09-23,Stifel,12 month,5,buy,56.0
2013-08-08,Argus Research Corp,Not Provided,3,hold,-0.0
2013-08-01,Spin-Off Research,12 month,5,buy,48.5
2013-07-31,Oppenheimer & Co,18 month,5,outperform,49.0
2013-05-06,EVA Dimensions,Not Provided,3,hold,-0.0
2013-11-25,Credit Suisse,Not Provided,5,outperform,55.0
2013-11-25,William Blair & Co,Not Provided,5,outperform,68.0
2013-11-25,Stifel,12 month,5,buy,55.0
2013-11-25,Imperial Capital LLC,12 month,5,outperform,53.0
2013-11-22,Spin-Off Research,12 month,5,buy,49.25
2013-11-21,Morgan Stanley,12 month,3,Equalwt/In-Line,43.0
2013-11-21,R.F. Lafferty & Co,12 month,5,buy,55.0
2013-11-21,EVA Dimensions,Not Provided,1,underweight,-0.0
2013-11-20,Oppenheimer & Co,18 month,5,outperform,49.0
2013-11-20,Barclays,Not Provided,3,equalweight,45.0
2013-08-08,Argus Research Corp,Not Provided,3,hold,-0.0
2013-12-16,Imperial Capital LLC,12 month,5,outperform,53.0
2013-12-10,R.F. Lafferty & Co,12 month,5,buy,55.0
2013-12-09,Morgan Stanley,12 month,3,Equalwt/In-Line,43.0
2013-12-09,Stifel,12 month,5,buy,55.0
2013-12-09,Barclays,Not Provided,3,equalweight,45.0
2013-12-08,William Blair & Co,Not Provided,5,outperform,-0.0
2013-12-06,Credit Suisse,Not Provided,5,outperform,55.0
2013-12-06,Oppenheimer & Co,12 month,5,outperform,44.0
2013-12-05,Spin-Off Research,Not Provided,5,buy,49.25
2013-11-21,EVA Dimensions,Not Provided,1,underweight,-0.0
2013-08-08,Argus Research Corp,Not Provided,3,hold,-0.0
2014-01-31,Morgan Stanley,12 month,3,Equalwt/In-Line,35.0
2014-01-31,R.F. Lafferty & Co,12 month,5,buy,39.0
2014-01-31,EVA Dimensions,Not Provided,1,underweight,-0.0
2014-01-30,Stifel,Not Provided,3,hold,-0.0
2014-01-30,Imperial Capital LLC,12 month,5,outperform,50.0
2014-01-30,Oppenheimer & Co,Not Provided,3,market perform,-0.0
2014-01-30,S&P Capital IQ,Not Provided,5,buy,37.0
2014-01-30,Barclays,Not Provided,3,equalweight,37.0
2014-01-15,Credit Suisse,Not Provided,5,outperform,55.0
2014-01-02,Argus Research Corp,Not Provided,3,hold,-0.0
2013-12-08,William Blair & Co,Not Provided,5,outperform,-0.0
2013-12-05,Spin-Off Research,Not Provided,5,buy,49.25
2014-02-25,William Blair & Co,Not Provided,5,outperform,59.0
2014-02-17,Oppenheimer & Co,Not Provided,3,market perform,-0.0
2014-02-11,Imperial Capital LLC,12 month,5,outperform,46.0
2014-02-10,Credit Suisse,Not Provided,5,outperform,42.0
2014-02-03,Argus Research Corp,Not Provided,3,hold,-0.0
2014-02-03,Spin-Off Research,12 month,5,buy,40.5
2014-01-31,Morgan Stanley,12 month,3,Equalwt/In-Line,35.0
2014-01-31,R.F. Lafferty & Co,12 month,5,buy,39.0
2014-01-31,EVA Dimensions,Not Provided,1,underweight,-0.0
2014-01-30,Stifel,Not Provided,3,hold,-0.0
2014-01-30,S&P Capital IQ,Not Provided,5,buy,37.0
2014-01-30,Barclays,Not Provided,3,equalweight,37.0
2014-04-01,William Blair & Co,12 month,5,outperform,59.0
2014-04-01,EVA Dimensions,Not Provided,1,underweight,-0.0
2014-03-25,Imperial Capital LLC,12 month,5,outperform,46.0
2014-03-20,Morgan Stanley,12 month,3,Equalwt/In-Line,35.0
2014-02-17,Oppenheimer & Co,Not Provided,3,market perform,-0.0
2014-02-10,Credit Suisse,Not Provided,5,outperform,42.0
2014-02-03,Argus Research Corp,Not Provided,3,hold,-0.0
2014-02-03,Spin-Off Research,12 month,5,buy,40.5
2014-01-31,R.F. Lafferty & Co,12 month,5,buy,39.0
2014-01-30,Stifel,Not Provided,3,hold,-0.0
2014-01-30,S&P Capital IQ,Not Provided,5,buy,37.0
2014-01-30,Barclays,Not Provided,3,equalweight,37.0
2014-05-01,R.F. Lafferty & Co,12 month,5,buy,38.0
2014-05-01,"Morningstar, Inc",Not Provided,3,hold,-0.0
2014-05-01,Barclays,Not Provided,3,equalweight,37.0
2014-04-30,Morgan Stanley,12 month,3,Equalwt/In-Line,33.0
2014-04-30,William Blair & Co,12 month,5,outperform,59.0
2014-04-30,Stifel,Not Provided,3,hold,-0.0
2014-04-30,Imperial Capital LLC,12 month,5,outperform,46.0
2014-04-30,Oppenheimer & Co,Not Provided,3,market perform,-0.0
2014-04-29,EVA Dimensions,Not Provided,1,underweight,-0.0
2014-04-14,Credit Suisse,Not Provided,5,outperform,42.0
2014-02-03,Argus Research Corp,Not Provided,3,hold,-0.0
2014-02-03,Spin-Off Research,12 month,5,buy,40.5
2014-01-30,S&P Capital IQ,Not Provided,5,buy,37.0
2014-05-27,William Blair & Co,12 month,5,outperform,59.0
2014-05-27,Stifel,Not Provided,3,hold,-0.0
2014-05-27,Imperial Capital LLC,Not Provided,5,outperform,43.0
2014-05-15,Barclays,Not Provided,3,equalweight,37.0
2014-05-13,Morgan Stanley,12 month,3,Equalwt/In-Line,33.0
2014-05-12,Credit Suisse,Not Provided,5,outperform,43.0
2014-05-02,Spin-Off Research,12 month,5,buy,35.0
2014-05-02,"Morningstar, Inc",Not Provided,3,hold,-0.0
2014-05-01,R.F. Lafferty & Co,12 month,5,buy,38.0
2014-04-30,Oppenheimer & Co,Not Provided,3,market perform,-0.0
2014-04-29,EVA Dimensions,Not Provided,1,underweight,-0.0
2014-02-03,Argus Research Corp,Not Provided,3,hold,-0.0
2014-01-30,S&P Capital IQ,Not Provided,5,buy,37.0
2014-07-01,William Blair & Co,12 month,5,outperform,59.0
2014-06-30,Imperial Capital LLC,Not Provided,5,outperform,43.0
2014-06-27,M Science,Not Provided,-2147483648,no rating system,-0.0
2014-06-18,EVA Dimensions,Not Provided,1,underweight,-0.0
2014-06-12,Stifel,Not Provided,3,hold,-0.0
2014-05-15,Barclays,Not Provided,3,equalweight,37.0
2014-05-13,Morgan Stanley,12 month,3,Equalwt/In-Line,33.0
2014-05-12,Credit Suisse,Not Provided,5,outperform,43.0
2014-05-02,Spin-Off Research,12 month,5,buy,35.0
2014-05-02,"Morningstar, Inc",Not Provided,3,hold,-0.0
2014-05-01,R.F. Lafferty & Co,12 month,5,buy,38.0
2014-04-30,Oppenheimer & Co,Not Provided,3,market perform,-0.0
2014-02-03,Argus Research Corp,Not Provided,3,hold,-0.0
2014-01-30,S&P Capital IQ,Not Provided,5,buy,37.0
2014-08-01,EVA Dimensions,Not Provided,1,underweight,-0.0
2014-07-31,Credit Suisse,Not Provided,5,outperform,43.0
2014-07-31,Imperial Capital LLC,12 month,5,outperform,43.0
2014-07-31,R.F. Lafferty & Co,12 month,5,buy,44.0
2014-07-30,Morgan Stanley,12 month,3,Equalwt/In-Line,33.0
2014-07-30,William Blair & Co,12 month,5,outperform,60.0
2014-07-30,Stifel,Not Provided,3,hold,-0.0
2014-07-30,Oppenheimer & Co,Not Provided,3,market perform,-0.0
2014-07-30,"Morningstar, Inc",Not Provided,3,hold,-0.0
2014-07-30,Barclays,Not Provided,3,equalweight,37.0
2014-07-25,M Science,Not Provided,-2147483648,no rating system,-0.0
2014-05-02,Spin-Off Research,12 month,5,buy,35.0
2014-02-03,Argus Research Corp,Not Provided,3,hold,-0.0
2014-01-30,S&P Capital IQ,Not Provided,5,buy,37.0
2014-08-06,EVA Dimensions,Not Provided,3,hold,-0.0
2014-08-05,William Blair & Co,12 month,5,outperform,60.0
