Date,Firm Name,Period,Rating,Recommendation,Target Price
2005-11-21,EVA Dimensions,Not Provided,1,sell,-0.0
2005-10-31,Stanford Group,12 month,3,hold,12.0
2005-10-28,Morgan Keegan,Not Provided,3,market perform,-0.0
2005-10-27,Morgan Stanley,Not Provided,1,Underwt/In-Line,-0.0
2005-10-27,Pacific Growth Equities,Not Provided,5,buy,-0.0
2005-10-27,Thomas Weisel Partners,Not Provided,3,peerperform,-0.0
2005-10-27,Cowen,Not Provided,-2147483648,no rating system,-0.0
2005-10-27,Susquehanna Financial,Not Provided,4,Positive,-0.0
2005-10-04,Goldman Sachs,Not Provided,3,in-line/neutral,-0.0
2005-07-28,Wells Fargo Securities,Not Provided,3,market perform,-0.0
2005-06-21,Lehman Brothers,Not Provided,1,underwt/positive,12.0
2005-05-27,CIBC World Markets,Not Provided,3,sector perform,-0.0
2006-01-27,Rochdale Securities,Not Provided,5,buy,14.0
2006-01-26,Morgan Keegan,Not Provided,3,market perform,-0.0
2006-01-26,Pacific Growth Equities,Not Provided,5,buy,-0.0
2006-01-26,CIBC World Markets,Not Provided,3,sector perform,-0.0
2006-01-26,Thomas Weisel Partners,Not Provided,3,peerperform,-0.0
2006-01-26,Wells Fargo Securities,Not Provided,3,market perform,-0.0
2006-01-26,Cowen,Not Provided,-2147483648,no rating system,-0.0
2006-01-23,Stanford Group,12 month,3,hold,12.0
2006-01-10,EVA Dimensions,Not Provided,1,strong sell,-0.0
2005-10-27,Morgan Stanley,Not Provided,1,Underwt/In-Line,-0.0
2005-10-04,Goldman Sachs,Not Provided,3,in-line/neutral,-0.0
2005-06-21,Lehman Brothers,Not Provided,1,underwt/positive,12.0
2006-02-21,Cowen,Not Provided,3,neutral,-0.0
2006-02-15,EVA Dimensions,Not Provided,1,sell,-0.0
2006-02-08,Thomas Weisel Partners,Not Provided,3,peerperform,-0.0
2006-01-27,Rochdale Securities,Not Provided,5,buy,14.0
2006-01-26,Morgan Keegan,Not Provided,3,market perform,-0.0
2006-01-26,Pacific Growth Equities,Not Provided,5,buy,-0.0
2006-01-26,CIBC World Markets,Not Provided,3,sector perform,-0.0
2006-01-26,Wells Fargo Securities,Not Provided,3,market perform,-0.0
2006-01-23,Stanford Group,12 month,3,hold,12.0
2005-10-27,Morgan Stanley,Not Provided,1,Underwt/In-Line,-0.0
2005-10-04,Goldman Sachs,Not Provided,3,in-line/neutral,-0.0
2005-06-21,Lehman Brothers,Not Provided,1,underwt/positive,12.0
2006-03-28,Rochdale Securities,Not Provided,5,buy,20.0
2006-02-21,Cowen,Not Provided,3,neutral,-0.0
2006-02-15,EVA Dimensions,Not Provided,1,sell,-0.0
2006-02-08,Thomas Weisel Partners,Not Provided,3,peerperform,-0.0
2006-01-26,Pacific Growth Equities,Not Provided,5,buy,-0.0
2006-01-26,CIBC World Markets,Not Provided,3,sector perform,-0.0
2006-01-26,Wells Fargo Securities,Not Provided,3,market perform,-0.0
2006-01-23,Stanford Group,12 month,3,hold,12.0
2005-10-27,Morgan Stanley,Not Provided,1,Underwt/In-Line,-0.0
2005-10-04,Goldman Sachs,Not Provided,3,in-line/neutral,-0.0
2005-06-21,Lehman Brothers,Not Provided,1,underwt/positive,12.0
2006-05-01,Lehman Brothers,Not Provided,1,underwt/positive,14.0
2006-05-01,Rochdale Securities,Not Provided,5,buy,20.0
2006-04-28,Stanford Group,Not Provided,3,hold,-0.0
2006-04-27,Pacific Growth Equities,Not Provided,5,buy,-0.0
2006-02-15,EVA Dimensions,Not Provided,1,sell,-0.0
2006-02-08,Thomas Weisel Partners,Not Provided,3,peerperform,-0.0
2006-01-26,CIBC World Markets,Not Provided,3,sector perform,-0.0
2005-10-27,Morgan Stanley,Not Provided,1,Underwt/In-Line,-0.0
2005-10-04,Goldman Sachs,Not Provided,3,in-line/neutral,-0.0
2006-05-30,EVA Dimensions,Not Provided,1,sell,-0.0
2006-05-01,Lehman Brothers,Not Provided,1,underwt/positive,14.0
2006-05-01,Rochdale Securities,Not Provided,5,buy,20.0
2006-04-28,Stanford Group,Not Provided,3,hold,-0.0
2006-04-27,Pacific Growth Equities,Not Provided,5,buy,-0.0
2006-02-08,Thomas Weisel Partners,Not Provided,3,peerperform,-0.0
2006-01-26,CIBC World Markets,Not Provided,3,sector perform,-0.0
