Date,Firm Name,Period,Rating,Recommendation,Target Price
2005-12-28,Stifel,Not Provided,3,hold,-0.0
2005-12-23,Bernstein,Not Provided,5,outperform,41.76
2005-12-12,William Blair & Co,Not Provided,5,outperform,-0.0
2005-12-09,EVA Dimensions,Not Provided,1,sell,-0.0
2005-12-07,Baird,Not Provided,5,outperform,41.76
2005-12-06,Cowen,Not Provided,-2147483648,no rating system,-0.0
2005-11-30,Goldman Sachs,Not Provided,5,outperf/attractive,-0.0
2005-10-27,Morgan Stanley,12 month,5,Overwt/In-Line,48.07
2005-10-27,Credit Suisse,12 month,5,outperform,42.55
2005-10-27,Jefferies,12 month,3,hold,36.25
2005-10-27,Raymond James,Not Provided,5,strong buy,41.76
2005-10-27,FBR Capital Markets,Not Provided,5,outperform,39.4
2005-10-27,Moors & Cabot,12 month,5,buy,43.34
2005-10-27,Barclays,Not Provided,5,overwt/neutral,42.55
2005-10-26,UBS,Not Provided,5,buy 1,40.98
2005-10-26,Prudential Equity Group Inc,Not Provided,5,overweight,43.34
2005-10-25,Thomas Weisel Partners,Not Provided,3,peerperform,-0.0
2005-09-20,Edward Jones,Not Provided,5,buy,-0.0
2005-05-23,CIBC World Markets,Not Provided,3,sector perform,-0.0
2005-05-05,A.G. Edwards & Sons Inc,Not Provided,3,hold,-0.0
2005-04-21,Bear Stearns & Co,Not Provided,3,peerperform,-0.0
2004-07-28,J.P. Morgan,Not Provided,3,neutral,-0.0
2003-02-07,Argus Research Corp,Not Provided,5,buy,-0.0
2001-04-27,FTN Equity Capital Markets Corp.,12 month,3,neutral,45.7
2006-01-31,Baird,Not Provided,5,outperform,41.76
2006-01-31,Raymond James,Not Provided,5,strong buy,41.76
2006-01-26,Morgan Stanley,12 month,5,Overwt/In-Line,48.07
2006-01-26,Goldman Sachs,Not Provided,5,outperf/attractive,-0.0
2006-01-26,Credit Suisse,12 month,5,outperform,42.55
2006-01-26,UBS,Not Provided,5,buy 1,44.13
2006-01-26,Moors & Cabot,12 month,5,buy,43.34
2006-01-26,Thomas Weisel Partners,Not Provided,3,peerperform,-0.0
2006-01-26,Cowen,Not Provided,-2147483648,no rating system,-0.0
2006-01-25,FBR Capital Markets,Not Provided,5,outperform,39.4
2006-01-25,Stifel,Not Provided,3,hold,-0.0
2006-01-25,Prudential Equity Group Inc,Not Provided,5,overweight,43.34
2006-01-24,Bernstein,Not Provided,5,outperform,41.76
2005-12-12,William Blair & Co,Not Provided,5,outperform,-0.0
2005-12-09,EVA Dimensions,Not Provided,1,sell,-0.0
2005-10-27,Jefferies,12 month,3,hold,36.25
2005-10-27,Barclays,Not Provided,5,overwt/neutral,42.55
2005-09-20,Edward Jones,Not Provided,5,buy,-0.0
2005-05-23,CIBC World Markets,Not Provided,3,sector perform,-0.0
2005-05-05,A.G. Edwards & Sons Inc,Not Provided,3,hold,-0.0
2005-04-21,Bear Stearns & Co,Not Provided,3,peerperform,-0.0
2004-07-28,J.P. Morgan,Not Provided,3,neutral,-0.0
2003-02-07,Argus Research Corp,Not Provided,5,buy,-0.0
2001-04-27,FTN Equity Capital Markets Corp.,12 month,3,neutral,45.7
2006-02-27,Bernstein,Not Provided,5,outperform,42.95
2006-02-23,Morgan Stanley,12 month,5,Overwt/In-Line,48.07
2006-02-21,Cowen,Not Provided,3,neutral,-0.0
2006-02-10,Raymond James,Not Provided,5,strong buy,41.76
2006-02-10,EVA Dimensions,Not Provided,1,sell,-0.0
2006-02-09,Edward Jones,Not Provided,5,buy,-0.0
2006-02-09,FBR Capital Markets,Not Provided,5,outperform,39.4
2006-02-09,Stifel,Not Provided,5,buy,40.98
2006-02-09,Prudential Equity Group Inc,Not Provided,5,overweight,43.34
2006-02-06,Baird,Not Provided,5,outperform,41.76
2006-01-26,Goldman Sachs,Not Provided,5,outperf/attractive,-0.0
2006-01-26,Credit Suisse,12 month,5,outperform,42.55
2006-01-26,UBS,Not Provided,5,buy 1,44.13
2006-01-26,Moors & Cabot,12 month,5,buy,43.34
2006-01-26,Thomas Weisel Partners,Not Provided,3,peerperform,-0.0
2005-12-12,William Blair & Co,Not Provided,5,outperform,-0.0
2005-10-27,Jefferies,12 month,3,hold,36.25
2005-10-27,Barclays,Not Provided,5,overwt/neutral,42.55
2005-05-23,CIBC World Markets,Not Provided,3,sector perform,-0.0
2005-05-05,A.G. Edwards & Sons Inc,Not Provided,3,hold,-0.0
2005-04-21,Bear Stearns & Co,Not Provided,3,peerperform,-0.0
2004-07-28,J.P. Morgan,Not Provided,3,neutral,-0.0
2003-02-07,Argus Research Corp,Not Provided,5,buy,-0.0
2001-04-27,FTN Equity Capital Markets Corp.,12 month,3,neutral,45.7
2006-03-30,Bernstein,Not Provided,5,outperform,42.95
2006-03-30,EVA Dimensions,Not Provided,3,hold,-0.0
2006-03-15,Baird,Not Provided,5,outperform,41.76
2006-03-15,FBR Capital Markets,Not Provided,5,outperform,39.4
2006-03-15,Stifel,Not Provided,5,buy,40.98
2006-03-15,Moors & Cabot,12 month,5,buy,43.34
2006-03-15,Thomas Weisel Partners,Not Provided,3,peerperform,-0.0
2006-03-15,Cowen,Not Provided,3,neutral,-0.0
2006-03-15,Prudential Equity Group Inc,Not Provided,5,overweight,43.34
2006-03-10,Goldman Sachs,Not Provided,5,outperf/attractive,-0.0
2006-03-09,J.P. Morgan,Not Provided,5,overweight,-0.0
2006-02-10,Raymond James,Not Provided,5,strong buy,41.76
2006-02-09,Edward Jones,Not Provided,5,buy,-0.0
2006-01-26,Credit Suisse,12 month,5,outperform,42.55
2006-01-26,UBS,Not Provided,5,buy 1,44.13
2005-12-12,William Blair & Co,Not Provided,5,outperform,-0.0
2005-10-27,Jefferies,12 month,3,hold,36.25
2005-10-27,Barclays,Not Provided,5,overwt/neutral,42.55
2005-05-23,CIBC World Markets,Not Provided,3,sector perform,-0.0
2005-05-05,A.G. Edwards & Sons Inc,Not Provided,3,hold,-0.0
2005-04-21,Bear Stearns & Co,Not Provided,3,peerperform,-0.0
2003-02-07,Argus Research Corp,Not Provided,5,buy,-0.0
2001-04-27,FTN Equity Capital Markets Corp.,12 month,3,neutral,45.7
2006-05-01,Goldman Sachs,Not Provided,5,outperf/attractive,-0.0
2006-05-01,Credit Suisse,12 month,5,outperform,42.55
2006-05-01,Jefferies,12 month,3,hold,37.82
2006-05-01,Baird,Not Provided,5,outperform,41.76
2006-05-01,Bernstein,Not Provided,5,outperform,42.95
2006-05-01,Raymond James,Not Provided,5,strong buy,41.76
2006-05-01,FBR Capital Markets,Not Provided,5,outperform,39.4
2006-05-01,Stifel,Not Provided,5,buy,40.98
2006-05-01,Moors & Cabot,12 month,5,buy,43.34
2006-05-01,Thomas Weisel Partners,Not Provided,3,peerperform,-0.0
2006-05-01,Barclays,Not Provided,5,overwt/neutral,43.34
2006-05-01,EVA Dimensions,Not Provided,3,hold,-0.0
2006-04-28,Cowen,Not Provided,3,neutral,-0.0
2006-04-28,Prudential Equity Group Inc,Not Provided,5,overweight,43.34
2006-03-09,J.P. Morgan,Not Provided,5,overweight,-0.0
2006-02-09,Edward Jones,Not Provided,5,buy,-0.0
2006-01-26,UBS,Not Provided,5,buy 1,44.13
2005-12-12,William Blair & Co,Not Provided,5,outperform,-0.0
2005-05-23,CIBC World Markets,Not Provided,3,sector perform,-0.0
2005-05-05,A.G. Edwards & Sons Inc,Not Provided,3,hold,-0.0
2005-04-21,Bear Stearns & Co,Not Provided,3,peerperform,-0.0
2003-02-07,Argus Research Corp,Not Provided,5,buy,-0.0
2001-04-27,FTN Equity Capital Markets Corp.,12 month,3,neutral,45.7
2006-05-30,Goldman Sachs,Not Provided,5,outperf/attractive,-0.0
2006-05-23,EVA Dimensions,Not Provided,1,sell,-0.0
2006-05-22,Bernstein,Not Provided,5,outperform,42.95
2006-05-18,Morgan Stanley,Not Provided,5,Overwt/In-Line,39.4
2006-05-17,Bear Stearns & Co,Not Provided,5,outperform,43.34
2006-05-17,UBS,Not Provided,5,buy 1,44.13
2006-05-04,Prudential Equity Group Inc,Not Provided,5,overweight,43.34
2006-05-01,Credit Suisse,12 month,5,outperform,42.55
2006-05-01,Jefferies,12 month,3,hold,37.82
2006-05-01,Baird,Not Provided,5,outperform,41.76
2006-05-01,Raymond James,Not Provided,5,strong buy,41.76
2006-05-01,FBR Capital Markets,Not Provided,5,outperform,39.4
2006-05-01,Moors & Cabot,12 month,5,buy,43.34
2006-05-01,Thomas Weisel Partners,Not Provided,3,peerperform,-0.0
2006-05-01,Barclays,Not Provided,5,overwt/neutral,43.34
2006-04-28,Cowen,Not Provided,3,neutral,-0.0
2006-03-09,J.P. Morgan,Not Provided,5,overweight,-0.0
2006-02-09,Edward Jones,Not Provided,5,buy,-0.0
2005-12-12,William Blair & Co,Not Provided,5,outperform,-0.0
2005-05-23,CIBC World Markets,Not Provided,3,sector perform,-0.0
2005-05-05,A.G. Edwards & Sons Inc,Not Provided,3,hold,-0.0
2003-02-07,Argus Research Corp,Not Provided,5,buy,-0.0
2001-04-27,FTN Equity Capital Markets Corp.,12 month,3,neutral,45.7
2006-06-30,Bernstein,Not Provided,5,outperform,42.95
2006-06-23,CIBC World Markets,Not Provided,3,sector perform,-0.0
2006-06-13,J.P. Morgan,Not Provided,5,overweight,-0.0
2006-06-06,Goldman Sachs,Not Provided,5,buy/attractive,44.92
2006-06-02,Edward Jones,Not Provided,5,buy,-0.0
2006-05-23,EVA Dimensions,Not Provided,1,sell,-0.0
2006-05-18,Morgan Stanley,Not Provided,5,Overwt/In-Line,39.4
2006-05-17,Bear Stearns & Co,Not Provided,5,outperform,43.34
2006-05-17,UBS,Not Provided,5,buy 1,44.13
2006-05-04,Prudential Equity Group Inc,Not Provided,5,overweight,43.34
2006-05-01,Credit Suisse,12 month,5,outperform,42.55
2006-05-01,Jefferies,12 month,3,hold,37.82
2006-05-01,Baird,Not Provided,5,outperform,41.76
2006-05-01,Raymond James,Not Provided,5,strong buy,41.76
2006-05-01,FBR Capital Markets,Not Provided,5,outperform,39.4
2006-05-01,Moors & Cabot,12 month,5,buy,43.34
2006-05-01,Thomas Weisel Partners,Not Provided,3,peerperform,-0.0
2006-05-01,Barclays,Not Provided,5,overwt/neutral,43.34
2006-04-28,Cowen,Not Provided,3,neutral,-0.0
2005-12-12,William Blair & Co,Not Provided,5,outperform,-0.0
2005-05-05,A.G. Edwards & Sons Inc,Not Provided,3,hold,-0.0
2003-02-07,Argus Research Corp,Not Provided,5,buy,-0.0
2001-04-27,FTN Equity Capital Markets Corp.,12 month,3,neutral,45.7
2006-08-01,Bernstein,Not Provided,5,outperform,42.95
2006-07-26,Thomas Weisel Partners,Not Provided,3,peerperform,-0.0
2006-07-17,CIBC World Markets,Not Provided,3,sector perform,-0.0
2006-07-14,Prudential Equity Group Inc,Not Provided,5,overweight,43.34
2006-07-12,Cowen,Not Provided,3,neutral,-0.0
2006-06-13,J.P. Morgan,Not Provided,5,overweight,-0.0
2006-06-06,Goldman Sachs,Not Provided,5,buy/attractive,44.92
2006-06-02,Edward Jones,Not Provided,5,buy,-0.0
2006-05-23,EVA Dimensions,Not Provided,1,sell,-0.0
2006-05-18,Morgan Stanley,Not Provided,5,Overwt/In-Line,39.4
2006-05-17,Bear Stearns & Co,Not Provided,5,outperform,43.34
2006-05-17,UBS,Not Provided,5,buy 1,44.13
2006-05-01,Credit Suisse,12 month,5,outperform,42.55
2006-05-01,Jefferies,12 month,3,hold,37.82
2006-05-01,Baird,Not Provided,5,outperform,41.76
2006-05-01,Raymond James,Not Provided,5,strong buy,41.76
2006-05-01,FBR Capital Markets,Not Provided,5,outperform,39.4
2006-05-01,Moors & Cabot,12 month,5,buy,43.34
2006-05-01,Barclays,Not Provided,5,overwt/neutral,43.34
2005-12-12,William Blair & Co,Not Provided,5,outperform,-0.0
2005-05-05,A.G. Edwards & Sons Inc,Not Provided,3,hold,-0.0
2003-02-07,Argus Research Corp,Not Provided,5,buy,-0.0
2001-04-27,FTN Equity Capital Markets Corp.,12 month,3,neutral,45.7
2006-08-17,CIBC World Markets,Not Provided,3,sector perform,-0.0
2006-08-03,Morgan Stanley,Not Provided,5,Overwt/In-Line,40.19
2006-08-03,Credit Suisse,12 month,5,outperform,43.34
2006-08-03,J.P. Morgan,Not Provided,5,overweight,-0.0
2006-08-03,Jefferies,12 month,3,hold,37.04
2006-08-03,Raymond James,Not Provided,5,strong buy,41.76
2006-08-03,Moors & Cabot,12 month,5,buy,43.34
2006-08-03,Thomas Weisel Partners,Not Provided,3,peerperform,-0.0
2006-08-03,Cowen,Not Provided,3,neutral,-0.0
2006-08-03,Prudential Equity Group Inc,Not Provided,5,overweight,43.34
