Date,Firm Name,Period,Rating,Recommendation,Target Price
2005-12-19,Thomas Weisel Partners,Not Provided,5,outperform,26.5
2005-12-19,Wells Fargo Securities,Not Provided,5,outperform,-0.0
2005-11-10,Raymond James,Not Provided,5,strong buy,30.0
2005-11-02,EVA Dimensions,Not Provided,3,hold,-0.0
2005-11-01,Morgan Stanley,12 month,3,Equalwt/In-Line,22.5
2005-11-01,UBS,12 month,3,neutral 2,29.0
2005-11-01,Jefferies,18 month,3,hold,25.0
2005-10-05,J.P. Morgan,12 month,5,overweight,31.5
2004-11-16,FTN Equity Capital Markets Corp.,Not Provided,3,neutral,-0.0
2006-01-24,Thomas Weisel Partners,Not Provided,5,outperform,26.5
2006-01-18,Wells Fargo Securities,Not Provided,5,outperform,-0.0
2006-01-05,Morgan Stanley,Not Provided,5,Overwt/In-Line,30.0
2005-11-10,Raymond James,Not Provided,5,strong buy,30.0
2005-11-02,EVA Dimensions,Not Provided,3,hold,-0.0
2005-11-01,UBS,12 month,3,neutral 2,29.0
2005-11-01,Jefferies,18 month,3,hold,25.0
2005-10-05,J.P. Morgan,12 month,5,overweight,31.5
2004-11-16,FTN Equity Capital Markets Corp.,Not Provided,3,neutral,-0.0
2006-02-21,Jefferies,18 month,3,hold,27.5
2006-02-16,Thomas Weisel Partners,Not Provided,5,outperform,-0.0
2006-02-16,Wells Fargo Securities,Not Provided,5,outperform,-0.0
2006-02-15,Oppenheimer & Co,Not Provided,3,neutral,-0.0
2006-02-14,Raymond James,Not Provided,5,strong buy,-0.0
2006-02-08,EVA Dimensions,Not Provided,1,sell,-0.0
2006-01-05,Morgan Stanley,Not Provided,5,Overwt/In-Line,30.0
2005-11-01,UBS,12 month,3,neutral 2,29.0
2005-10-05,J.P. Morgan,12 month,5,overweight,31.5
2004-11-16,FTN Equity Capital Markets Corp.,Not Provided,3,neutral,-0.0
2006-03-21,EVA Dimensions,Not Provided,3,hold,-0.0
2006-03-16,Wells Fargo Securities,Not Provided,5,outperform,-0.0
2006-03-13,Thomas Weisel Partners,Not Provided,5,outperform,-0.0
2006-03-07,UBS,12 month,3,neutral 2,30.0
2006-03-06,Oppenheimer & Co,Not Provided,3,neutral,-0.0
2006-02-21,Jefferies,18 month,3,hold,27.5
2006-02-14,Raymond James,Not Provided,5,strong buy,-0.0
2005-10-05,J.P. Morgan,12 month,5,overweight,31.5
2004-11-16,FTN Equity Capital Markets Corp.,Not Provided,3,neutral,-0.0
2006-04-26,J.P. Morgan,12 month,5,overweight,31.5
2006-04-19,Oppenheimer & Co,Not Provided,3,neutral,-0.0
2006-03-21,EVA Dimensions,Not Provided,3,hold,-0.0
2006-03-16,Wells Fargo Securities,Not Provided,5,outperform,-0.0
2006-03-13,Thomas Weisel Partners,Not Provided,5,outperform,-0.0
2006-03-07,UBS,12 month,3,neutral 2,30.0
2006-02-21,Jefferies,18 month,3,hold,27.5
2006-02-14,Raymond James,Not Provided,5,strong buy,-0.0
2004-11-16,FTN Equity Capital Markets Corp.,Not Provided,3,neutral,-0.0
2006-05-31,Jefferies,Not Provided,5,buy,30.0
2006-05-30,Raymond James,Not Provided,5,strong buy,34.5
2006-05-30,Thomas Weisel Partners,Not Provided,5,outperform,-0.0
2006-05-30,Oppenheimer & Co,Not Provided,3,neutral,-0.0
2006-05-08,EVA Dimensions,Not Provided,5,buy,-0.0
2006-04-26,J.P. Morgan,12 month,5,overweight,31.5
2006-03-16,Wells Fargo Securities,Not Provided,5,outperform,-0.0
2006-03-07,UBS,12 month,3,neutral 2,30.0
2004-11-16,FTN Equity Capital Markets Corp.,Not Provided,3,neutral,-0.0
2006-06-02,J.P. Morgan,12 month,5,overweight,31.5
2006-06-02,Raymond James,Not Provided,5,strong buy,32.5
