Date,Firm Name,Period,Rating,Recommendation,Target Price
2005-12-12,Credit Suisse,12 month,3,neutral,65.0
2005-12-07,Bernstein,Not Provided,5,outperform,70.0
2005-11-18,Prudential Equity Group Inc,Not Provided,5,overweight,69.0
2005-10-28,Bear Stearns & Co,Not Provided,5,outperform,75.0
2005-10-28,Oppenheimer & Co,Not Provided,5,buy,-0.0
2005-10-28,Barclays,Not Provided,5,overwt/neutral,63.0
2005-10-27,Jyske Bank,Not Provided,4,accumulate,70.0
2005-10-27,FBR Capital Markets,Not Provided,3,market perform,67.0
2005-09-27,J.P. Morgan,Not Provided,3,neutral,-0.0
2005-09-08,Soleil Securities,Not Provided,5,buy,77.0
2005-08-25,Morgan Stanley,Not Provided,5,Overwt/Attractive,72.0
2005-08-11,A.G. Edwards & Sons Inc,Not Provided,5,buy,69.0
2005-08-09,"Ameriprise Advisor Services, Inc",Not Provided,5,buy,-0.0
2005-08-04,KeyBanc Capital Markets,12 month,5,buy,68.0
2005-06-29,HSH Nordbank AG,Not Provided,3,hold,60.0
2005-06-13,CIBC World Markets,18 month,3,sector perform,70.0
2005-05-31,Edward Jones,Not Provided,5,buy,-0.0
2005-04-04,Argus Research Corp,Not Provided,5,buy,-0.0
2005-03-31,Goldman Sachs,Not Provided,5,outperform,-0.0
2004-12-27,"Burns, Gustus & Company",Not Provided,5,buy,-0.0
2004-10-29,Baird,Not Provided,3,neutral,53.0
2006-02-01,Oppenheimer & Co,Not Provided,5,buy,-0.0
2006-02-01,Prudential Equity Group Inc,Not Provided,5,overweight,75.0
2006-01-31,Morgan Stanley,Not Provided,5,Overwt/Attractive,76.0
2006-01-31,Credit Suisse,12 month,3,neutral,68.0
2006-01-31,CIBC World Markets,18 month,3,sector perform,70.0
2006-01-31,Barclays,Not Provided,5,overwt/neutral,66.0
2006-01-30,FBR Capital Markets,Not Provided,3,market perform,67.0
2006-01-17,UBS,12 month,3,neutral 1,67.0
2006-01-17,"Burns, Gustus & Company",Not Provided,5,buy,-0.0
2006-01-10,Bernstein,Not Provided,5,outperform,70.0
2005-10-28,Bear Stearns & Co,Not Provided,5,outperform,75.0
2005-10-27,Jyske Bank,Not Provided,4,accumulate,70.0
2005-09-27,J.P. Morgan,Not Provided,3,neutral,-0.0
2005-09-08,Soleil Securities,Not Provided,5,buy,77.0
2005-08-11,A.G. Edwards & Sons Inc,Not Provided,5,buy,69.0
2005-08-09,"Ameriprise Advisor Services, Inc",Not Provided,5,buy,-0.0
2005-08-04,KeyBanc Capital Markets,12 month,5,buy,68.0
2005-06-29,HSH Nordbank AG,Not Provided,3,hold,60.0
2005-05-31,Edward Jones,Not Provided,5,buy,-0.0
2005-04-04,Argus Research Corp,Not Provided,5,buy,-0.0
2005-03-31,Goldman Sachs,Not Provided,5,outperform,-0.0
2004-10-29,Baird,Not Provided,3,neutral,53.0
