Date,Firm Name,Period,Rating,Recommendation,Target Price
2005-12-30,Baird,Not Provided,5,outperform,25.62
2005-12-21,EVA Dimensions,Not Provided,3,hold,-0.0
2005-12-07,Barrington Research,Not Provided,5,outperform,25.62
2005-12-01,Stifel,Not Provided,5,buy,23.95
2005-11-18,SunTrust Robinson Humphrey,Not Provided,5,buy,25.07
2005-10-26,Morgan Keegan,Not Provided,3,market perform,-0.0
2005-10-26,Credit Suisse,12 month,3,neutral,21.17
2005-10-25,FBR Capital Markets,Not Provided,3,market perform,21.17
2005-09-19,Oscar Gruss & Son Inc,12 month,5,buy,29.52
2005-09-16,Morgan Stanley,Not Provided,5,Overwt/In-Line,25.07
2005-09-16,Lehman Brothers,Not Provided,5,overwt/neutral,24.51
2005-08-25,A.G. Edwards & Sons Inc,12 month,5,buy,23.4
2005-07-25,Fox-Pitt Kelton Cochran Caronia Waller,12 month,3,in-line,23.95
2005-07-05,First Analysis Corp,Not Provided,3,equalweight,-0.0
2005-04-21,Bear Stearns & Co,Not Provided,3,peerperform,-0.0
2005-04-05,Goldman Sachs,Not Provided,3,in-line,-0.0
2004-11-12,J.P. Morgan,Not Provided,1,underweight,-0.0
2002-12-19,FTN Equity Capital Markets Corp.,Not Provided,3,neutral,-0.0
2006-02-01,Morgan Keegan,Not Provided,-2147483648,not rated,-0.0
2006-02-01,Goldman Sachs,Not Provided,3,in-line/attractive,-0.0
2006-02-01,Bear Stearns & Co,Not Provided,-2147483648,not rated,-0.0
2006-02-01,J.P. Morgan,Not Provided,3,neutral,-0.0
2006-02-01,Baird,Not Provided,5,outperform,25.07
2006-01-30,Morgan Stanley,Not Provided,5,Overwt/In-Line,25.07
2006-01-30,Credit Suisse,12 month,3,neutral,24.51
2006-01-30,Stephens Inc,Not Provided,5,overweight,-0.0
2006-01-30,FBR Capital Markets,Not Provided,3,market perform,21.17
2006-01-27,SunTrust Robinson Humphrey,Not Provided,5,buy,26.74
2006-01-27,Barrington Research,Not Provided,5,outperform,25.62
2006-01-27,Stifel,Not Provided,5,buy,27.3
2006-01-18,A.G. Edwards & Sons Inc,Not Provided,3,hold,-0.0
2005-12-21,EVA Dimensions,Not Provided,3,hold,-0.0
2005-09-19,Oscar Gruss & Son Inc,12 month,5,buy,29.52
2005-09-16,Lehman Brothers,Not Provided,5,overwt/neutral,24.51
2005-07-25,Fox-Pitt Kelton Cochran Caronia Waller,12 month,3,in-line,23.95
2005-07-05,First Analysis Corp,Not Provided,3,equalweight,-0.0
2002-12-19,FTN Equity Capital Markets Corp.,Not Provided,3,neutral,-0.0
2006-02-27,FBR Capital Markets,Not Provided,3,market perform,21.17
2006-02-16,Goldman Sachs,Not Provided,5,outperf/attractive,-0.0
2006-02-16,Credit Suisse,12 month,5,outperform,24.51
2006-02-16,Baird,Not Provided,5,outperform,25.07
2006-02-16,Stifel,Not Provided,5,buy,27.3
2006-02-01,Bear Stearns & Co,Not Provided,-2147483648,not rated,-0.0
