Date,Firm Name,Period,Rating,Recommendation,Target Price
2005-12-08,"Keefe, Bruyette & Woods",Not Provided,3,market perform,32.0
2005-12-07,Credit Suisse,12 month,3,neutral,34.0
2005-12-07,Raymond James,Not Provided,3,market perform,-0.0
2005-12-07,Williams Capital,Not Provided,5,buy,38.0
2005-12-06,Wells Fargo Securities,Not Provided,3,market perform,-0.0
2005-11-18,Morgan Stanley,12 month,5,Overwt/In-Line,38.0
2005-11-10,Atlantic Equities LLP,Not Provided,3,neutral,-0.0
2005-10-26,FBR Capital Markets,Not Provided,3,market perform,30.0
2005-10-26,Fox-Pitt Kelton Cochran Caronia Waller,Not Provided,5,outperform,34.0
2005-10-25,UBS,Not Provided,3,neutral 2,35.0
2005-10-12,Rochdale Securities,Not Provided,5,buy,38.06
2005-08-01,Cochran Caronia Waller,Not Provided,3,market perform,-0.0
2005-08-01,Barclays,Not Provided,5,overwt/neutral,31.0
2005-06-16,Argus Research Corp,Not Provided,5,buy,-0.0
2005-05-12,KeyBanc Capital Markets,Not Provided,3,hold,-0.0
2005-04-29,Goldman Sachs,Not Provided,5,outperform,-0.0
2004-12-22,J.P. Morgan,Not Provided,3,neutral,-0.0
2006-01-30,Raymond James,Not Provided,3,market perform,-0.0
2006-01-30,FBR Capital Markets,Not Provided,3,market perform,33.0
2006-01-30,Cochran Caronia Waller,Not Provided,3,market perform,-0.0
2006-01-27,Morgan Stanley,12 month,5,Overwt/In-Line,38.0
2006-01-27,Credit Suisse,12 month,3,neutral,34.0
2006-01-27,UBS,Not Provided,3,neutral 2,35.0
2006-01-27,"Keefe, Bruyette & Woods",Not Provided,3,market perform,32.0
2006-01-27,Wells Fargo Securities,Not Provided,3,market perform,-0.0
2006-01-25,Barclays,Not Provided,5,overwt/neutral,37.0
2006-01-20,Atlantic Equities LLP,Not Provided,3,neutral,36.0
2005-12-07,Williams Capital,Not Provided,5,buy,38.0
2005-10-26,Fox-Pitt Kelton Cochran Caronia Waller,Not Provided,5,outperform,34.0
2005-10-12,Rochdale Securities,Not Provided,5,buy,38.06
2005-06-16,Argus Research Corp,Not Provided,5,buy,-0.0
2005-04-29,Goldman Sachs,Not Provided,5,outperform,-0.0
2004-12-22,J.P. Morgan,Not Provided,3,neutral,-0.0
2006-02-28,Credit Suisse,Not Provided,-2147483648,restricted,-0.0
2006-02-08,Williams Capital,Not Provided,5,buy,33.0
2006-01-30,Raymond James,Not Provided,3,market perform,-0.0
2006-01-30,FBR Capital Markets,Not Provided,3,market perform,33.0
2006-01-30,Cochran Caronia Waller,Not Provided,3,market perform,-0.0
2006-01-27,Morgan Stanley,12 month,5,Overwt/In-Line,38.0
2006-01-27,UBS,Not Provided,3,neutral 2,35.0
2006-01-27,"Keefe, Bruyette & Woods",Not Provided,3,market perform,32.0
2006-01-27,Wells Fargo Securities,Not Provided,3,market perform,-0.0
2006-01-25,Barclays,Not Provided,5,overwt/neutral,37.0
2006-01-20,Atlantic Equities LLP,Not Provided,3,neutral,36.0
