Date,Firm Name,Period,Rating,Recommendation,Target Price
2005-11-22,EVA Dimensions,Not Provided,3,hold,-0.0
2005-11-07,Credit Suisse,12 month,3,neutral,514.78
2005-11-07,UBS,Not Provided,3,neutral 2,525.66
2005-11-07,Prudential Equity Group Inc,Not Provided,3,neutral weight,532.3
2005-09-29,Barclays,Not Provided,5,overwt/negative,543.78
2005-05-13,Morgan Stanley,Not Provided,3,Equalwt/Attractive,-0.0
2005-11-22,EVA Dimensions,Not Provided,3,hold,-0.0
2005-11-07,Credit Suisse,12 month,3,neutral,514.78
2005-11-07,UBS,Not Provided,3,neutral 2,525.66
2005-11-07,Prudential Equity Group Inc,Not Provided,3,neutral weight,532.3
2005-09-29,Barclays,Not Provided,5,overwt/negative,543.78
2005-05-13,Morgan Stanley,Not Provided,3,Equalwt/Attractive,-0.0
2005-11-22,EVA Dimensions,Not Provided,3,hold,-0.0
2005-11-07,Credit Suisse,12 month,3,neutral,514.78
2005-11-07,UBS,Not Provided,3,neutral 2,525.66
2005-11-07,Prudential Equity Group Inc,Not Provided,3,neutral weight,532.3
2005-09-29,Barclays,Not Provided,5,overwt/negative,543.78
2005-05-13,Morgan Stanley,Not Provided,3,Equalwt/Attractive,-0.0
2006-03-07,EVA Dimensions,Not Provided,3,hold,-0.0
2006-03-02,UBS,Not Provided,3,neutral 2,537.74
2006-03-02,Prudential Equity Group Inc,Not Provided,3,neutral weight,526.26
2006-03-02,Barclays,Not Provided,5,overwt/negative,555.87
2005-11-07,Credit Suisse,12 month,3,neutral,514.78
2005-05-13,Morgan Stanley,Not Provided,3,Equalwt/Attractive,-0.0
2006-04-11,Credit Suisse,12 month,3,neutral,499.68
2006-03-07,EVA Dimensions,Not Provided,3,hold,-0.0
2006-03-02,UBS,Not Provided,3,neutral 2,537.74
2006-03-02,Prudential Equity Group Inc,Not Provided,3,neutral weight,526.26
2006-03-02,Barclays,Not Provided,5,overwt/negative,555.87
2006-05-30,Barclays,Not Provided,5,overwt/negative,552.85
2006-05-30,EVA Dimensions,Not Provided,3,hold,-0.0
2006-05-08,Credit Suisse,12 month,3,neutral,508.74
2006-05-08,UBS,Not Provided,3,neutral 2,548.62
2006-05-08,Prudential Equity Group Inc,Not Provided,3,neutral weight,567.35
2006-06-21,Prudential Equity Group Inc,Not Provided,3,neutral weight,567.35
2006-05-30,Barclays,Not Provided,5,overwt/negative,552.85
2006-05-30,EVA Dimensions,Not Provided,3,hold,-0.0
2006-05-08,Credit Suisse,12 month,3,neutral,508.74
2006-05-08,UBS,Not Provided,3,neutral 2,548.62
2006-06-21,Prudential Equity Group Inc,Not Provided,3,neutral weight,567.35
2006-05-30,Barclays,Not Provided,5,overwt/negative,552.85
2006-05-30,EVA Dimensions,Not Provided,3,hold,-0.0
2006-05-08,Credit Suisse,12 month,3,neutral,508.74
2006-05-08,UBS,Not Provided,3,neutral 2,548.62
2006-08-24,EVA Dimensions,Not Provided,1,sell,-0.0
2006-08-08,Barclays,Not Provided,5,overwt/negative,531.7
2006-08-07,UBS,Not Provided,3,neutral 2,537.74
2006-08-07,Prudential Equity Group Inc,Not Provided,3,neutral weight,527.47
2006-05-08,Credit Suisse,12 month,3,neutral,508.74
2006-09-08,UBS,12 month,3,neutral 2,513.57
2006-08-24,EVA Dimensions,Not Provided,1,sell,-0.0
2006-08-08,Barclays,Not Provided,5,overwt/negative,531.7
2006-08-07,Prudential Equity Group Inc,Not Provided,3,neutral weight,527.47
2006-05-08,Credit Suisse,12 month,3,neutral,508.74
2006-10-06,EVA Dimensions,Not Provided,3,hold,-0.0
2006-09-08,UBS,12 month,3,neutral 2,513.57
2006-08-08,Barclays,Not Provided,5,overwt/negative,531.7
2006-08-07,Prudential Equity Group Inc,Not Provided,3,neutral weight,527.47
2006-05-08,Credit Suisse,12 month,3,neutral,508.74
2006-11-08,Barclays,Not Provided,5,overwt/negative,501.49
2006-11-06,UBS,12 month,3,neutral 2,480.34
2006-11-06,Prudential Equity Group Inc,Not Provided,3,neutral weight,512.37
2006-11-03,Credit Suisse,12 month,3,neutral,490.61
2006-10-06,EVA Dimensions,Not Provided,3,hold,-0.0
2006-11-08,Barclays,Not Provided,5,overwt/negative,501.49
2006-11-06,UBS,12 month,3,neutral 2,480.34
2006-11-06,Prudential Equity Group Inc,Not Provided,3,neutral weight,512.37
2006-11-03,Credit Suisse,12 month,3,neutral,490.61
2006-10-06,EVA Dimensions,Not Provided,3,hold,-0.0
2007-01-17,Credit Suisse,12 month,3,neutral,488.2
2007-01-16,Barclays,Not Provided,5,overwt/negative,498.47
2007-01-08,EVA Dimensions,Not Provided,1,sell,-0.0
2006-11-06,UBS,12 month,3,neutral 2,480.34
2006-11-06,Prudential Equity Group Inc,Not Provided,3,neutral weight,512.37
2007-03-01,UBS,12 month,3,neutral 2,477.32
2007-01-17,Credit Suisse,12 month,3,neutral,488.2
2007-01-16,Barclays,Not Provided,5,overwt/negative,498.47
2007-01-08,EVA Dimensions,Not Provided,1,sell,-0.0
2006-11-06,Prudential Equity Group Inc,Not Provided,3,neutral weight,512.37
2007-03-06,Credit Suisse,12 month,3,neutral,484.57
2007-03-05,Barclays,Not Provided,5,overwt/negative,489.41
2007-03-02,Prudential Equity Group Inc,Not Provided,3,neutral weight,450.13
2007-03-01,UBS,12 month,3,neutral 2,477.32
2007-01-08,EVA Dimensions,Not Provided,1,sell,-0.0
2007-03-05,Barclays,Not Provided,5,overwt/negative,489.41
2007-03-02,Prudential Equity Group Inc,Not Provided,3,neutral weight,450.13
2007-03-01,UBS,12 month,3,neutral 2,477.32
2007-05-09,Barclays,Not Provided,5,overwt/negative,456.17
2007-05-03,EVA Dimensions,Not Provided,1,sell,-0.0
2007-03-02,Prudential Equity Group Inc,Not Provided,3,neutral weight,450.13
2007-03-01,UBS,12 month,3,neutral 2,477.32
2007-06-20,UBS,12 month,3,neutral 2,507.53
2007-05-09,Barclays,Not Provided,5,overwt/negative,456.17
2007-05-03,EVA Dimensions,Not Provided,1,sell,-0.0
2007-05-09,Barclays,Not Provided,5,overwt/negative,456.17
2007-05-03,EVA Dimensions,Not Provided,1,sell,-0.0
2007-08-31,EVA Dimensions,Not Provided,1,sell,-0.0
2007-08-06,Barclays,Not Provided,5,overwt/negative,468.26
