Date,Firm Name,Period,Rating,Recommendation,Target Price
2005-12-19,UBS,Not Provided,5,buy 2,34.92
2005-12-12,Barclays,Not Provided,3,equalwt/neutral,31.0
2005-12-09,Morgan Stanley,Not Provided,3,Equalwt/Cautious,31.0
2005-12-01,Stifel,Not Provided,5,buy,35.0
2005-10-27,FBR Capital Markets,12 month,3,market perform,31.5
2005-10-26,RBC Capital Markets,12 month,5,outperform,33.0
2005-10-26,Raymond James,Not Provided,5,outperform,31.0
2005-10-25,Wells Fargo Securities,Not Provided,5,outperform,-0.0
2005-10-25,Prudential Equity Group Inc,Not Provided,3,neutral weight,22.0
2005-10-06,Bear Stearns & Co,Not Provided,5,outperform,34.0
2005-07-29,KeyBanc Capital Markets,12 month,5,buy,37.0
2005-07-27,A.G. Edwards & Sons Inc,Not Provided,5,buy,33.5
2005-05-31,Edward Jones,Not Provided,5,buy,-0.0
2005-03-04,Goldman Sachs,Not Provided,3,in-line,-0.0
2003-10-15,J.P. Morgan,Not Provided,5,overweight,-0.0
2003-02-18,Argus Research Corp,Not Provided,5,buy,-0.0
2006-01-31,UBS,12 month,3,neutral 2,37.0
2006-01-30,Goldman Sachs,Not Provided,3,in-line/neutral,-0.0
2006-01-24,J.P. Morgan,Not Provided,5,overweight,-0.0
2006-01-24,Barclays,Not Provided,-2147483648,susp/neutral,-0.0
2006-01-23,Morgan Stanley,Not Provided,3,Equalwt/Cautious,32.0
2006-01-23,Bear Stearns & Co,Not Provided,5,outperform,38.0
2006-01-23,FBR Capital Markets,12 month,3,market perform,34.0
2006-01-20,Prudential Equity Group Inc,Not Provided,3,neutral weight,27.0
2006-01-17,A.G. Edwards & Sons Inc,Not Provided,5,buy,37.5
2005-12-01,Stifel,Not Provided,5,buy,35.0
2005-10-26,RBC Capital Markets,12 month,5,outperform,33.0
2005-10-26,Raymond James,Not Provided,5,outperform,31.0
2005-10-25,Wells Fargo Securities,Not Provided,5,outperform,-0.0
2005-07-29,KeyBanc Capital Markets,12 month,5,buy,37.0
2005-05-31,Edward Jones,Not Provided,5,buy,-0.0
2003-02-18,Argus Research Corp,Not Provided,5,buy,-0.0
2006-02-17,Wells Fargo Securities,Not Provided,5,outperform,-0.0
2006-02-16,Stifel,Not Provided,5,buy,40.0
2006-02-14,Morgan Stanley,Not Provided,3,Equalwt/Cautious,33.5
2006-02-14,Bear Stearns & Co,Not Provided,5,outperform,39.0
2006-02-14,Raymond James,Not Provided,5,outperform,37.0
2006-02-14,Prudential Equity Group Inc,Not Provided,3,neutral weight,27.0
2006-02-13,UBS,12 month,5,buy 2,37.85
2006-02-13,Edward Jones,Not Provided,5,buy,-0.0
2006-01-30,Goldman Sachs,Not Provided,3,in-line/neutral,-0.0
2006-01-24,J.P. Morgan,Not Provided,5,overweight,-0.0
2006-01-24,Barclays,Not Provided,-2147483648,susp/neutral,-0.0
2006-01-23,FBR Capital Markets,12 month,3,market perform,34.0
2006-01-17,A.G. Edwards & Sons Inc,Not Provided,5,buy,37.5
2005-10-26,RBC Capital Markets,12 month,5,outperform,33.0
2005-07-29,KeyBanc Capital Markets,12 month,5,buy,37.0
2003-02-18,Argus Research Corp,Not Provided,5,buy,-0.0
2006-03-29,Wells Fargo Securities,Not Provided,3,market perform,-0.0
2006-03-27,RBC Capital Markets,Not Provided,5,outperform,33.0
2006-03-22,Argus Research Corp,Not Provided,3,hold,-0.0
2006-03-21,FBR Capital Markets,12 month,3,market perform,37.0
2006-03-20,Prudential Equity Group Inc,Not Provided,3,neutral weight,27.0
2006-03-16,A.G. Edwards & Sons Inc,Not Provided,5,buy,42.0
2006-03-13,UBS,12 month,5,buy 2,43.0
2006-02-16,Stifel,Not Provided,5,buy,40.0
2006-02-14,Morgan Stanley,Not Provided,3,Equalwt/Cautious,33.5
2006-02-14,Bear Stearns & Co,Not Provided,5,outperform,39.0
2006-02-14,Raymond James,Not Provided,5,outperform,37.0
2006-02-13,Edward Jones,Not Provided,5,buy,-0.0
2006-01-30,Goldman Sachs,Not Provided,3,in-line/neutral,-0.0
2006-01-24,J.P. Morgan,Not Provided,5,overweight,-0.0
2006-01-24,Barclays,Not Provided,-2147483648,susp/neutral,-0.0
2006-04-27,Wells Fargo Securities,Not Provided,3,market perform,-0.0
2006-04-26,Bear Stearns & Co,Not Provided,5,outperform,42.0
2006-04-26,Raymond James,Not Provided,5,outperform,40.0
2006-04-26,FBR Capital Markets,12 month,3,market perform,38.0
2006-04-26,Stifel,Not Provided,5,buy,40.0
2006-04-25,Morgan Stanley,Not Provided,3,Equalwt/Cautious,35.0
2006-04-11,Barclays,Not Provided,-2147483648,susp/neutral,-0.0
2006-03-27,RBC Capital Markets,Not Provided,5,outperform,33.0
2006-03-22,Argus Research Corp,Not Provided,3,hold,-0.0
2006-03-16,A.G. Edwards & Sons Inc,Not Provided,5,buy,42.0
2006-03-13,UBS,12 month,5,buy 2,43.0
2006-02-13,Edward Jones,Not Provided,5,buy,-0.0
2006-01-30,Goldman Sachs,Not Provided,3,in-line/neutral,-0.0
2006-01-24,J.P. Morgan,Not Provided,5,overweight,-0.0
2006-05-26,UBS,12 month,5,buy 2,42.52
2006-05-19,RBC Capital Markets,Not Provided,3,sector perform,30.0
2006-04-27,Wells Fargo Securities,Not Provided,3,market perform,-0.0
2006-04-26,Bear Stearns & Co,Not Provided,5,outperform,42.0
2006-04-26,Raymond James,Not Provided,5,outperform,40.0
2006-04-26,FBR Capital Markets,12 month,3,market perform,38.0
2006-04-26,Stifel,Not Provided,5,buy,40.0
2006-04-25,Morgan Stanley,Not Provided,3,Equalwt/Cautious,35.0
2006-04-11,Barclays,Not Provided,-2147483648,susp/neutral,-0.0
2006-03-22,Argus Research Corp,Not Provided,3,hold,-0.0
2006-03-16,A.G. Edwards & Sons Inc,Not Provided,5,buy,42.0
2006-02-13,Edward Jones,Not Provided,5,buy,-0.0
2006-01-30,Goldman Sachs,Not Provided,3,in-line/neutral,-0.0
2006-01-24,J.P. Morgan,Not Provided,5,overweight,-0.0
2006-06-29,UBS,12 month,5,buy 2,42.52
2006-06-26,Goldman Sachs,Not Provided,3,in-line/neutral,39.0
2006-06-16,Barclays,Not Provided,3,equalwt/neutral,35.0
2006-06-12,Edward Jones,Not Provided,5,buy,-0.0
2006-05-19,RBC Capital Markets,Not Provided,3,sector perform,30.0
2006-04-27,Wells Fargo Securities,Not Provided,3,market perform,-0.0
2006-04-26,Bear Stearns & Co,Not Provided,5,outperform,42.0
2006-04-26,Raymond James,Not Provided,5,outperform,40.0
2006-04-26,FBR Capital Markets,12 month,3,market perform,38.0
2006-04-26,Stifel,Not Provided,5,buy,40.0
2006-04-25,Morgan Stanley,Not Provided,3,Equalwt/Cautious,35.0
2006-03-22,Argus Research Corp,Not Provided,3,hold,-0.0
2006-03-16,A.G. Edwards & Sons Inc,Not Provided,5,buy,42.0
2006-01-24,J.P. Morgan,Not Provided,5,overweight,-0.0
2006-07-28,Wells Fargo Securities,Not Provided,3,market perform,-0.0
2006-07-26,RBC Capital Markets,Not Provided,3,sector perform,39.0
2006-07-26,Raymond James,Not Provided,5,outperform,41.0
2006-07-26,FBR Capital Markets,12 month,3,market perform,38.0
2006-07-26,Stifel,Not Provided,5,buy,43.0
2006-07-26,Barclays,Not Provided,3,equalwt/neutral,37.0
2006-07-25,Morgan Stanley,Not Provided,1,Underwt/In-Line,34.5
2006-07-25,Bear Stearns & Co,Not Provided,5,outperform,45.0
2006-07-11,UBS,12 month,5,buy 2,42.52
2006-07-05,Argus Research Corp,Not Provided,5,buy,-0.0
2006-06-26,Goldman Sachs,Not Provided,3,in-line/neutral,39.0
2006-06-12,Edward Jones,Not Provided,5,buy,-0.0
2006-03-16,A.G. Edwards & Sons Inc,Not Provided,5,buy,42.0
2006-01-24,J.P. Morgan,Not Provided,5,overweight,-0.0
2006-08-21,UBS,12 month,5,buy 2,46.0
2006-07-28,Wells Fargo Securities,Not Provided,3,market perform,-0.0
2006-07-26,RBC Capital Markets,Not Provided,3,sector perform,39.0
2006-07-26,Raymond James,Not Provided,5,outperform,41.0
2006-07-26,FBR Capital Markets,12 month,3,market perform,38.0
2006-07-26,Stifel,Not Provided,5,buy,43.0
