Date,Firm Name,Period,Rating,Recommendation,Target Price
2005-12-15,Piper Jaffray,Not Provided,5,outperform,4.86
2005-11-28,Thomas Weisel Partners,Not Provided,3,peerperform,-0.0
2005-10-27,"Broadpoint Capital, Inc",Not Provided,5,buy,4.29
2005-10-21,Roth Capital Partners,12 month,3,neutral,3.29
2005-10-21,EVA Dimensions,Not Provided,1,sell,-0.0
2005-10-20,Credit Suisse,12 month,5,outperform,4.57
2005-10-20,Jefferies,12 month,5,buy,4.29
2005-10-20,Pacific Growth Equities,Not Provided,5,buy,-0.0
2005-10-20,Soleil Securities,12 month,5,buy,4.86
2005-10-18,Avondale Partners LLC,12 month,3,market perform,4.14
2005-10-17,Wedbush,12 month,1,sell,0.93
2005-10-17,Cowen,Not Provided,-2147483648,no rating system,-0.0
2005-09-30,Bear Stearns & Co,Not Provided,5,outperform,4.57
2004-10-15,J.P. Morgan,Not Provided,1,underweight,-0.0
2006-02-01,Barclays,12 month,3,equalwt/neutral,4.29
2006-01-27,Roth Capital Partners,12 month,1,sell,2.86
2006-01-25,Bear Stearns & Co,Not Provided,3,peerperform,-0.0
2006-01-25,Credit Suisse,12 month,5,outperform,4.57
2006-01-25,Jefferies,12 month,5,buy,5.29
2006-01-25,Pacific Growth Equities,Not Provided,5,buy,-0.0
2006-01-25,Wedbush,12 month,1,sell,1.43
2006-01-25,Thomas Weisel Partners,Not Provided,3,peerperform,-0.0
2006-01-25,Cowen,Not Provided,-2147483648,no rating system,-0.0
2006-01-25,Piper Jaffray,Not Provided,5,outperform,4.86
2005-10-27,"Broadpoint Capital, Inc",Not Provided,5,buy,4.29
2005-10-21,EVA Dimensions,Not Provided,1,sell,-0.0
2005-10-20,Soleil Securities,12 month,5,buy,4.86
2005-10-18,Avondale Partners LLC,12 month,3,market perform,4.14
2004-10-15,J.P. Morgan,Not Provided,1,underweight,-0.0
2006-03-01,Bear Stearns & Co,Not Provided,3,peerperform,3.71
2006-02-21,Cowen,Not Provided,3,neutral,-0.0
2006-02-14,EVA Dimensions,Not Provided,1,sell,-0.0
2006-02-13,Jefferies,12 month,5,buy,5.29
2006-02-01,Barclays,12 month,3,equalwt/neutral,4.29
2006-01-27,Roth Capital Partners,12 month,1,sell,2.86
2006-01-25,Credit Suisse,12 month,5,outperform,4.57
2006-01-25,Pacific Growth Equities,Not Provided,5,buy,-0.0
2006-01-25,Wedbush,12 month,1,sell,1.43
2006-01-25,Thomas Weisel Partners,Not Provided,3,peerperform,-0.0
2006-01-25,Piper Jaffray,Not Provided,5,outperform,4.86
2005-10-27,"Broadpoint Capital, Inc",Not Provided,5,buy,4.29
2005-10-20,Soleil Securities,12 month,5,buy,4.86
2005-10-18,Avondale Partners LLC,12 month,3,market perform,4.14
2004-10-15,J.P. Morgan,Not Provided,1,underweight,-0.0
2006-03-23,Piper Jaffray,Not Provided,5,outperform,4.86
2006-03-08,Bear Stearns & Co,Not Provided,3,peerperform,-0.0
2006-03-07,Pacific Crest Securities,Not Provided,3,sector perform,-0.0
2006-02-21,Cowen,Not Provided,3,neutral,-0.0
2006-02-14,EVA Dimensions,Not Provided,1,sell,-0.0
2006-02-13,Jefferies,12 month,5,buy,5.29
2006-02-01,Barclays,12 month,3,equalwt/neutral,4.29
2006-01-27,Roth Capital Partners,12 month,1,sell,2.86
2006-01-25,Credit Suisse,12 month,5,outperform,4.57
2006-01-25,Pacific Growth Equities,Not Provided,5,buy,-0.0
2006-01-25,Wedbush,12 month,1,sell,1.43
2006-01-25,Thomas Weisel Partners,Not Provided,3,peerperform,-0.0
2005-10-27,"Broadpoint Capital, Inc",Not Provided,5,buy,4.29
2005-10-20,Soleil Securities,12 month,5,buy,4.86
2005-10-18,Avondale Partners LLC,12 month,3,market perform,4.14
2004-10-15,J.P. Morgan,Not Provided,1,underweight,-0.0
2006-04-27,Avondale Partners LLC,12 month,3,market perform,4.29
2006-04-26,Barclays,12 month,3,equalwt/neutral,4.57
2006-04-25,Roth Capital Partners,12 month,1,sell,2.86
2006-04-25,Credit Suisse,12 month,5,outperform,5.43
2006-04-25,Jefferies,12 month,5,buy,5.71
2006-04-25,Pacific Growth Equities,Not Provided,5,buy,-0.0
2006-04-25,Wedbush,12 month,1,sell,1.43
2006-04-25,Thomas Weisel Partners,Not Provided,3,peerperform,-0.0
2006-04-25,Cowen,Not Provided,3,neutral,-0.0
2006-04-25,Pali International,Not Provided,3,neutral,-0.0
2006-04-25,Piper Jaffray,Not Provided,5,outperform,4.86
2006-03-08,Bear Stearns & Co,Not Provided,3,peerperform,-0.0
