Date,Firm Name,Period,Rating,Recommendation,Target Price
2005-12-01,FBR Capital Markets,Not Provided,1,underperform,8.75
2005-11-09,Credit Suisse,12 month,5,outperform,15.0
2005-11-07,"Broadpoint Capital, Inc",Not Provided,5,buy,15.0
2005-11-04,D.A. Davidson & Co,Not Provided,3,neutral,14.0
2004-11-15,J.P. Morgan,Not Provided,3,neutral,-0.0
2002-12-03,SunTrust Robinson Humphrey,Not Provided,3,equalweight,-0.0
2006-01-18,EVA Dimensions,Not Provided,1,sell,-0.0
2005-12-01,FBR Capital Markets,Not Provided,1,underperform,8.75
2005-11-09,Credit Suisse,12 month,5,outperform,15.0
2005-11-07,"Broadpoint Capital, Inc",Not Provided,5,buy,15.0
2005-11-04,D.A. Davidson & Co,Not Provided,3,neutral,14.0
2004-11-15,J.P. Morgan,Not Provided,3,neutral,-0.0
2002-12-03,SunTrust Robinson Humphrey,Not Provided,3,equalweight,-0.0
2006-02-28,Credit Suisse,12 month,5,outperform,17.0
2006-02-27,FBR Capital Markets,Not Provided,3,market perform,15.5
2006-02-24,D.A. Davidson & Co,18 month,3,neutral,15.0
2006-01-18,EVA Dimensions,Not Provided,1,sell,-0.0
2005-11-07,"Broadpoint Capital, Inc",Not Provided,5,buy,15.0
2004-11-15,J.P. Morgan,Not Provided,3,neutral,-0.0
2002-12-03,SunTrust Robinson Humphrey,Not Provided,3,equalweight,-0.0
2006-03-15,EVA Dimensions,Not Provided,3,hold,-0.0
2006-02-28,Credit Suisse,12 month,5,outperform,17.0
2006-02-27,FBR Capital Markets,Not Provided,3,market perform,15.5
2006-02-24,D.A. Davidson & Co,18 month,3,neutral,15.0
2005-11-07,"Broadpoint Capital, Inc",Not Provided,5,buy,15.0
2004-11-15,J.P. Morgan,Not Provided,3,neutral,-0.0
2002-12-03,SunTrust Robinson Humphrey,Not Provided,3,equalweight,-0.0
2006-05-01,D.A. Davidson & Co,18 month,3,neutral,17.0
2006-04-27,EVA Dimensions,Not Provided,1,sell,-0.0
2006-04-12,Credit Suisse,12 month,5,outperform,20.0
2006-04-12,FBR Capital Markets,Not Provided,3,market perform,15.5
2005-11-07,"Broadpoint Capital, Inc",Not Provided,5,buy,15.0
2004-11-15,J.P. Morgan,Not Provided,3,neutral,-0.0
2002-12-03,SunTrust Robinson Humphrey,Not Provided,3,equalweight,-0.0
2006-05-25,EVA Dimensions,Not Provided,3,hold,-0.0
2006-05-05,Credit Suisse,12 month,5,outperform,23.0
2006-05-05,D.A. Davidson & Co,18 month,3,neutral,20.0
2006-05-04,FBR Capital Markets,Not Provided,3,market perform,17.5
2005-11-07,"Broadpoint Capital, Inc",Not Provided,5,buy,15.0
2004-11-15,J.P. Morgan,Not Provided,3,neutral,-0.0
2002-12-03,SunTrust Robinson Humphrey,Not Provided,3,equalweight,-0.0
2006-06-22,FBR Capital Markets,Not Provided,5,outperform,17.5
2006-05-25,EVA Dimensions,Not Provided,3,hold,-0.0
2006-05-05,Credit Suisse,12 month,5,outperform,23.0
2006-05-05,D.A. Davidson & Co,18 month,3,neutral,20.0
2005-11-07,"Broadpoint Capital, Inc",Not Provided,5,buy,15.0
2004-11-15,J.P. Morgan,Not Provided,3,neutral,-0.0
2002-12-03,SunTrust Robinson Humphrey,Not Provided,3,equalweight,-0.0
2006-07-31,D.A. Davidson & Co,18 month,3,neutral,18.0
2006-07-31,EVA Dimensions,Not Provided,3,hold,-0.0
2006-07-25,"Broadpoint Capital, Inc",Not Provided,5,buy,21.0
2006-06-22,FBR Capital Markets,Not Provided,5,outperform,17.5
2006-05-05,Credit Suisse,12 month,5,outperform,23.0
2004-11-15,J.P. Morgan,Not Provided,3,neutral,-0.0
2002-12-03,SunTrust Robinson Humphrey,Not Provided,3,equalweight,-0.0
2006-08-23,EVA Dimensions,Not Provided,5,buy,-0.0
2006-08-14,"Broadpoint Capital, Inc",Not Provided,5,buy,21.0
2006-08-04,Credit Suisse,12 month,5,outperform,23.0
2006-08-03,D.A. Davidson & Co,18 month,3,neutral,18.0
2006-08-03,FBR Capital Markets,Not Provided,5,outperform,19.0
2004-11-15,J.P. Morgan,Not Provided,3,neutral,-0.0
2002-12-03,SunTrust Robinson Humphrey,Not Provided,3,equalweight,-0.0
2006-08-23,EVA Dimensions,Not Provided,5,buy,-0.0
2006-08-14,"Broadpoint Capital, Inc",Not Provided,5,buy,21.0
2006-08-04,Credit Suisse,12 month,5,outperform,23.0
2006-08-03,D.A. Davidson & Co,18 month,3,neutral,18.0
2006-08-03,FBR Capital Markets,Not Provided,5,outperform,19.0
2004-11-15,J.P. Morgan,Not Provided,3,neutral,-0.0
2002-12-03,SunTrust Robinson Humphrey,Not Provided,3,equalweight,-0.0
2006-10-31,D.A. Davidson & Co,18 month,3,neutral,18.0
2006-10-24,"Broadpoint Capital, Inc",Not Provided,5,buy,21.0
2006-10-08,FBR Capital Markets,Not Provided,5,outperform,19.0
2006-10-06,Stifel,Not Provided,5,buy,21.0
2006-08-23,EVA Dimensions,Not Provided,5,buy,-0.0
2006-08-04,Credit Suisse,12 month,5,outperform,23.0
2004-11-15,J.P. Morgan,Not Provided,3,neutral,-0.0
2002-12-03,SunTrust Robinson Humphrey,Not Provided,3,equalweight,-0.0
2006-11-29,FBR Capital Markets,Not Provided,5,outperform,21.0
2006-11-29,EVA Dimensions,Not Provided,5,buy,-0.0
2006-11-03,Credit Suisse,12 month,5,outperform,23.0
2006-11-03,D.A. Davidson & Co,18 month,3,neutral,18.0
2006-11-03,"Broadpoint Capital, Inc",Not Provided,5,buy,21.0
2006-11-03,Stifel,Not Provided,5,buy,21.0
2004-11-15,J.P. Morgan,Not Provided,3,neutral,-0.0
2002-12-03,SunTrust Robinson Humphrey,Not Provided,3,equalweight,-0.0
2006-11-29,FBR Capital Markets,Not Provided,5,outperform,21.0
2006-11-29,EVA Dimensions,Not Provided,5,buy,-0.0
2006-11-03,Credit Suisse,12 month,5,outperform,23.0
2006-11-03,D.A. Davidson & Co,18 month,3,neutral,18.0
2006-11-03,"Broadpoint Capital, Inc",Not Provided,5,buy,21.0
2006-11-03,Stifel,Not Provided,5,buy,21.0
2004-11-15,J.P. Morgan,Not Provided,3,neutral,-0.0
2002-12-03,SunTrust Robinson Humphrey,Not Provided,3,equalweight,-0.0
2007-01-26,Credit Suisse,12 month,5,outperform,23.0
2007-01-25,Stifel,Not Provided,5,buy,24.0
2007-01-24,D.A. Davidson & Co,18 month,3,neutral,22.0
2007-01-24,"Broadpoint Capital, Inc",Not Provided,5,buy,25.0
2007-01-24,FBR Capital Markets,Not Provided,5,outperform,24.0
2006-11-29,EVA Dimensions,Not Provided,5,buy,-0.0
2004-11-15,J.P. Morgan,Not Provided,3,neutral,-0.0
2002-12-03,SunTrust Robinson Humphrey,Not Provided,3,equalweight,-0.0
2007-02-23,Credit Suisse,12 month,5,outperform,30.0
2007-02-23,FBR Capital Markets,Not Provided,5,outperform,26.0
2007-02-23,Stifel,Not Provided,5,buy,27.0
2007-02-22,D.A. Davidson & Co,18 month,3,neutral,24.0
2007-02-14,EVA Dimensions,Not Provided,5,buy,-0.0
2004-11-15,J.P. Morgan,Not Provided,3,neutral,-0.0
2002-12-03,SunTrust Robinson Humphrey,Not Provided,3,equalweight,-0.0
2007-03-21,FBR Capital Markets,Not Provided,5,outperform,28.0
2007-03-20,Stifel,Not Provided,5,buy,27.0
2007-03-20,EVA Dimensions,Not Provided,3,hold,-0.0
2007-03-19,Lazard Capital Markets,Not Provided,5,buy,30.0
2007-03-08,Credit Suisse,12 month,5,outperform,30.0
2007-02-22,D.A. Davidson & Co,18 month,3,neutral,24.0
2004-11-15,J.P. Morgan,Not Provided,3,neutral,-0.0
2002-12-03,SunTrust Robinson Humphrey,Not Provided,3,equalweight,-0.0
2007-05-01,Lazard Capital Markets,Not Provided,5,buy,30.0
2007-04-27,D.A. Davidson & Co,18 month,3,neutral,27.0
2007-03-21,FBR Capital Markets,Not Provided,5,outperform,28.0
2007-03-20,Stifel,Not Provided,5,buy,27.0
2007-03-08,Credit Suisse,12 month,5,outperform,30.0
2004-11-15,J.P. Morgan,Not Provided,3,neutral,-0.0
2002-12-03,SunTrust Robinson Humphrey,Not Provided,3,equalweight,-0.0
2007-05-04,J.P. Morgan,Not Provided,3,neutral,-0.0
