Date,Firm Name,Period,Rating,Recommendation,Target Price
2005-12-20,Bernstein,Not Provided,5,outperform,32.0
2005-12-14,Goldman Sachs,Not Provided,3,in-line/neutral,-0.0
2005-12-14,SunTrust Robinson Humphrey,Not Provided,3,neutral,-0.0
2005-12-13,Canaccord Genuity,12 month,5,buy,47.0
2005-12-08,Credit Suisse,12 month,5,outperform,30.0
2005-12-07,Stifel,Not Provided,3,hold,-0.0
2005-11-21,Needham & Co,Not Provided,3,hold,-0.0
2005-11-16,ThinkEquity LLC,Not Provided,4,accumulate,29.0
2005-11-15,Prudential Equity Group Inc,12 month,5,overweight,28.0
2005-11-09,Leerink Partners LLC,Not Provided,5,outperform,-0.0
2005-10-27,Morgan Stanley,Not Provided,3,Equalwt/In-Line,20.0
2005-10-27,Cowen,Not Provided,-2147483648,no rating system,-0.0
2005-10-27,JMP Securities,Not Provided,3,market perform,-0.0
2005-10-12,Bear Stearns & Co,Not Provided,5,outperform,31.0
2005-09-13,EVA Dimensions,Not Provided,1,strong sell,-0.0
2005-08-19,J.P. Morgan,Not Provided,5,overweight,-0.0
2006-01-27,Prudential Equity Group Inc,12 month,5,overweight,37.0
2006-01-24,EVA Dimensions,Not Provided,1,strong sell,-0.0
2006-01-18,Bernstein,Not Provided,5,outperform,38.0
2006-01-12,SunTrust Robinson Humphrey,Not Provided,3,neutral,-0.0
2006-01-10,Credit Suisse,12 month,5,outperform,35.0
2006-01-10,Needham & Co,Not Provided,3,hold,-0.0
2006-01-10,Leerink Partners LLC,Not Provided,5,outperform,-0.0
2006-01-06,ThinkEquity LLC,Not Provided,5,buy,40.0
2005-12-14,Goldman Sachs,Not Provided,3,in-line/neutral,-0.0
2005-12-13,Canaccord Genuity,12 month,5,buy,47.0
2005-12-07,Stifel,Not Provided,3,hold,-0.0
2005-10-27,Morgan Stanley,Not Provided,3,Equalwt/In-Line,20.0
2005-10-27,Cowen,Not Provided,-2147483648,no rating system,-0.0
2005-10-27,JMP Securities,Not Provided,3,market perform,-0.0
2005-10-12,Bear Stearns & Co,Not Provided,5,outperform,31.0
2005-08-19,J.P. Morgan,Not Provided,5,overweight,-0.0
2006-02-24,Leerink Partners LLC,Not Provided,5,outperform,-0.0
2006-02-21,UBS,Not Provided,3,neutral 2,40.0
2006-02-21,Cowen,Not Provided,5,outperform,-0.0
2006-02-17,ThinkEquity LLC,Not Provided,5,buy,48.0
2006-02-14,Bernstein,Not Provided,5,outperform,52.0
2006-02-08,Morgan Stanley,Not Provided,3,Equalwt/In-Line,-0.0
2006-02-08,Bear Stearns & Co,Not Provided,3,peerperform,-0.0
2006-02-08,Credit Suisse,12 month,5,outperform,44.0
2006-02-08,SunTrust Robinson Humphrey,Not Provided,3,neutral,-0.0
2006-02-08,Needham & Co,Not Provided,3,hold,-0.0
2006-02-08,Stifel,Not Provided,3,hold,-0.0
2006-02-07,Prudential Equity Group Inc,12 month,5,overweight,45.0
2006-01-24,EVA Dimensions,Not Provided,1,strong sell,-0.0
2005-12-14,Goldman Sachs,Not Provided,3,in-line/neutral,-0.0
2005-12-13,Canaccord Genuity,12 month,5,buy,47.0
2005-10-27,JMP Securities,Not Provided,3,market perform,-0.0
2005-08-19,J.P. Morgan,Not Provided,5,overweight,-0.0
2006-03-24,Bernstein,Not Provided,5,outperform,52.0
2006-03-14,ThinkEquity LLC,Not Provided,5,buy,40.0
2006-03-09,UBS,Not Provided,3,neutral 2,40.0
2006-03-09,Needham & Co,Not Provided,3,hold,-0.0
2006-03-09,Leerink Partners LLC,Not Provided,5,outperform,-0.0
2006-03-09,Stifel,Not Provided,3,hold,-0.0
2006-03-09,Prudential Equity Group Inc,12 month,5,overweight,45.0
2006-02-21,Cowen,Not Provided,5,outperform,-0.0
2006-02-08,Morgan Stanley,Not Provided,3,Equalwt/In-Line,-0.0
2006-02-08,Bear Stearns & Co,Not Provided,3,peerperform,-0.0
2006-01-24,EVA Dimensions,Not Provided,1,strong sell,-0.0
2005-12-14,Goldman Sachs,Not Provided,3,in-line/neutral,-0.0
2005-12-13,Canaccord Genuity,12 month,5,buy,47.0
2005-10-27,JMP Securities,Not Provided,3,market perform,-0.0
2005-08-19,J.P. Morgan,Not Provided,5,overweight,-0.0
2006-05-01,Needham & Co,Not Provided,3,hold,-0.0
2006-05-01,Leerink Partners LLC,Not Provided,5,outperform,-0.0
2006-05-01,Prudential Equity Group Inc,12 month,5,overweight,45.0
2006-05-01,Piper Jaffray,Not Provided,5,outperform,42.0
2006-04-27,ThinkEquity LLC,Not Provided,5,buy,50.0
2006-04-26,Bernstein,Not Provided,5,outperform,45.0
2006-04-26,Stifel,Not Provided,3,hold,-0.0
2006-04-26,Cowen,Not Provided,5,outperform,-0.0
2006-04-26,JMP Securities,Not Provided,3,market perform,-0.0
2006-04-03,EVA Dimensions,Not Provided,1,strong sell,-0.0
2006-03-09,UBS,Not Provided,3,neutral 2,40.0
2006-02-08,Morgan Stanley,Not Provided,3,Equalwt/In-Line,-0.0
2006-02-08,Bear Stearns & Co,Not Provided,3,peerperform,-0.0
2005-12-14,Goldman Sachs,Not Provided,3,in-line/neutral,-0.0
2005-12-13,Canaccord Genuity,12 month,5,buy,47.0
2005-08-19,J.P. Morgan,Not Provided,5,overweight,-0.0
2006-06-01,Bernstein,Not Provided,5,outperform,45.0
2006-05-24,Needham & Co,Not Provided,3,hold,-0.0
2006-05-24,Prudential Equity Group Inc,12 month,5,overweight,45.0
2006-05-23,Stifel,Not Provided,3,hold,-0.0
2006-05-23,Piper Jaffray,Not Provided,5,outperform,42.0
2006-05-22,Leerink Partners LLC,Not Provided,5,outperform,-0.0
2006-05-04,ThinkEquity LLC,Not Provided,5,buy,50.0
2006-05-04,Cowen,Not Provided,5,outperform,-0.0
2006-04-26,JMP Securities,Not Provided,3,market perform,-0.0
2006-04-03,EVA Dimensions,Not Provided,1,strong sell,-0.0
2006-03-09,UBS,Not Provided,3,neutral 2,40.0
2006-02-08,Morgan Stanley,Not Provided,3,Equalwt/In-Line,-0.0
2006-02-08,Bear Stearns & Co,Not Provided,3,peerperform,-0.0
2005-12-14,Goldman Sachs,Not Provided,3,in-line/neutral,-0.0
2005-12-13,Canaccord Genuity,12 month,5,buy,47.0
2005-08-19,J.P. Morgan,Not Provided,5,overweight,-0.0
2006-07-01,Goldman Sachs,12 month,3,neutral/neutral,43.0
2006-06-30,UBS,Not Provided,3,neutral 2,42.0
2006-06-30,Needham & Co,12 month,5,buy,45.0
2006-06-30,Bernstein,Not Provided,5,outperform,45.0
2006-06-30,Leerink Partners LLC,Not Provided,5,outperform,-0.0
2006-06-30,ThinkEquity LLC,Not Provided,5,buy,50.0
2006-06-30,Cowen,Not Provided,5,outperform,-0.0
2006-06-30,JMP Securities,Not Provided,3,market perform,-0.0
2006-06-28,Stifel,Not Provided,3,hold,-0.0
2006-06-28,EVA Dimensions,Not Provided,1,strong sell,-0.0
2006-06-05,Piper Jaffray,Not Provided,5,outperform,42.0
2006-05-24,Prudential Equity Group Inc,12 month,5,overweight,45.0
2006-02-08,Morgan Stanley,Not Provided,3,Equalwt/In-Line,-0.0
2006-02-08,Bear Stearns & Co,Not Provided,3,peerperform,-0.0
2005-12-13,Canaccord Genuity,12 month,5,buy,47.0
2005-08-19,J.P. Morgan,Not Provided,5,overweight,-0.0
2006-07-27,Needham & Co,12 month,5,buy,45.0
2006-07-27,Bernstein,Not Provided,5,outperform,45.0
2006-07-27,Leerink Partners LLC,Not Provided,5,outperform,-0.0
2006-07-27,ThinkEquity LLC,Not Provided,5,buy,50.0
2006-07-27,JMP Securities,Not Provided,3,market perform,-0.0
2006-07-27,Prudential Equity Group Inc,12 month,5,overweight,45.0
2006-07-27,Piper Jaffray,Not Provided,5,outperform,42.0
2006-07-25,Wall Street Access,Not Provided,5,buy,42.0
2006-07-01,Goldman Sachs,12 month,3,neutral/neutral,43.0
2006-06-30,UBS,Not Provided,3,neutral 2,42.0
2006-06-30,Cowen,Not Provided,5,outperform,-0.0
2006-06-28,Stifel,Not Provided,3,hold,-0.0
2006-06-28,EVA Dimensions,Not Provided,1,strong sell,-0.0
2006-02-08,Morgan Stanley,Not Provided,3,Equalwt/In-Line,-0.0
2006-02-08,Bear Stearns & Co,Not Provided,3,peerperform,-0.0
2005-12-13,Canaccord Genuity,12 month,5,buy,47.0
2005-08-19,J.P. Morgan,Not Provided,5,overweight,-0.0
2006-08-30,Bernstein,Not Provided,5,outperform,45.0
2006-08-30,EVA Dimensions,Not Provided,1,strong sell,-0.0
