Date,Firm Name,Period,Rating,Recommendation,Target Price
2005-12-12,Bear Stearns & Co,Not Provided,5,outperform,23.44
2005-12-12,Raymond James,Not Provided,5,outperform,21.02
2005-12-09,J.P. Morgan,Not Provided,3,neutral,-0.0
2005-12-09,CIBC World Markets,Not Provided,3,sector perform,-0.0
2005-12-01,Stifel,Not Provided,5,buy,24.25
2005-07-07,Barclays,Not Provided,3,equalwt/neutral,26.68
2004-10-04,Argus Research Corp,Not Provided,5,buy,-0.0
2006-01-25,Soleil Securities,12 month,5,buy,22.64
2006-01-19,Bear Stearns & Co,Not Provided,5,outperform,24.25
2006-01-06,EVA Dimensions,Not Provided,1,sell,-0.0
2005-12-12,Raymond James,Not Provided,5,outperform,21.02
2005-12-09,J.P. Morgan,Not Provided,3,neutral,-0.0
2005-12-09,CIBC World Markets,Not Provided,3,sector perform,-0.0
2005-12-01,Stifel,Not Provided,5,buy,24.25
2005-07-07,Barclays,Not Provided,3,equalwt/neutral,26.68
2004-10-04,Argus Research Corp,Not Provided,5,buy,-0.0
2006-03-01,Raymond James,Not Provided,5,outperform,21.02
2006-02-28,Stifel,Not Provided,5,buy,24.25
2006-02-21,EVA Dimensions,Not Provided,3,hold,-0.0
2006-01-25,Soleil Securities,12 month,5,buy,22.64
2006-01-19,Bear Stearns & Co,Not Provided,5,outperform,24.25
2005-12-09,J.P. Morgan,Not Provided,3,neutral,-0.0
2005-12-09,CIBC World Markets,Not Provided,3,sector perform,-0.0
2005-07-07,Barclays,Not Provided,3,equalwt/neutral,26.68
2004-10-04,Argus Research Corp,Not Provided,5,buy,-0.0
2006-03-30,EVA Dimensions,Not Provided,1,sell,-0.0
2006-03-09,Dr. Kalliwoda Equity Research,Not Provided,5,buy,7.36
2006-03-01,Raymond James,Not Provided,5,outperform,21.02
2006-02-28,Stifel,Not Provided,5,buy,24.25
2006-01-25,Soleil Securities,12 month,5,buy,22.64
2006-01-19,Bear Stearns & Co,Not Provided,5,outperform,24.25
2005-12-09,J.P. Morgan,Not Provided,3,neutral,-0.0
2005-12-09,CIBC World Markets,Not Provided,3,sector perform,-0.0
2005-07-07,Barclays,Not Provided,3,equalwt/neutral,26.68
2004-10-04,Argus Research Corp,Not Provided,5,buy,-0.0
2006-03-30,EVA Dimensions,Not Provided,1,sell,-0.0
2006-03-09,Dr. Kalliwoda Equity Research,Not Provided,5,buy,7.36
2006-03-01,Raymond James,Not Provided,5,outperform,21.02
2006-02-28,Stifel,Not Provided,5,buy,24.25
2006-01-25,Soleil Securities,12 month,5,buy,22.64
2006-01-19,Bear Stearns & Co,Not Provided,5,outperform,24.25
2005-12-09,J.P. Morgan,Not Provided,3,neutral,-0.0
2005-07-07,Barclays,Not Provided,3,equalwt/neutral,26.68
2004-10-04,Argus Research Corp,Not Provided,5,buy,-0.0
2006-05-16,Raymond James,Not Provided,5,outperform,21.83
2006-05-15,Credit Suisse,12 month,3,neutral,21.02
2006-05-15,Stifel,Not Provided,5,buy,24.25
2006-05-11,Morgan Stanley,Not Provided,5,Overwt/Cautious,22.64
2006-05-04,EVA Dimensions,Not Provided,1,sell,-0.0
2006-03-09,Dr. Kalliwoda Equity Research,Not Provided,5,buy,7.36
2006-01-25,Soleil Securities,12 month,5,buy,22.64
2006-01-19,Bear Stearns & Co,Not Provided,5,outperform,24.25
2005-12-09,J.P. Morgan,Not Provided,3,neutral,-0.0
2005-07-07,Barclays,Not Provided,3,equalwt/neutral,26.68
2004-10-04,Argus Research Corp,Not Provided,5,buy,-0.0
2006-06-30,Soleil Securities,12 month,5,buy,22.64
2006-06-16,Credit Suisse,12 month,3,neutral,21.02
2006-06-07,Barclays,Not Provided,5,overwt/neutral,26.68
2006-05-16,Raymond James,Not Provided,5,outperform,21.83
2006-05-15,Stifel,Not Provided,5,buy,24.25
2006-05-11,Morgan Stanley,Not Provided,5,Overwt/Cautious,22.64
2006-05-04,EVA Dimensions,Not Provided,1,sell,-0.0
2006-03-09,Dr. Kalliwoda Equity Research,Not Provided,5,buy,7.36
2006-01-19,Bear Stearns & Co,Not Provided,5,outperform,24.25
2005-12-09,J.P. Morgan,Not Provided,3,neutral,-0.0
2004-10-04,Argus Research Corp,Not Provided,5,buy,-0.0
2006-07-25,J.P. Morgan,Not Provided,3,neutral,-0.0
2006-07-24,Goldman Sachs,Not Provided,3,in-line/neutral,20.21
2006-07-24,CIBC World Markets,Not Provided,3,sector perform,-0.0
2006-07-18,Stifel,Not Provided,5,buy,24.25
2006-07-18,Barclays,12 month,5,overwt/neutral,25.87
2006-07-17,Credit Suisse,12 month,3,neutral,21.02
2006-07-14,Raymond James,Not Provided,3,market perform,-0.0
2006-06-30,Soleil Securities,12 month,5,buy,22.64
2006-05-11,Morgan Stanley,Not Provided,5,Overwt/Cautious,22.64
2006-05-04,EVA Dimensions,Not Provided,1,sell,-0.0
2006-03-09,Dr. Kalliwoda Equity Research,Not Provided,5,buy,7.36
2004-10-04,Argus Research Corp,Not Provided,5,buy,-0.0
2006-08-30,Stanford Group,12 month,5,buy,24.25
2006-07-25,J.P. Morgan,Not Provided,3,neutral,-0.0
2006-07-24,Goldman Sachs,Not Provided,3,in-line/neutral,20.21
2006-07-24,CIBC World Markets,Not Provided,3,sector perform,-0.0
2006-07-18,Stifel,Not Provided,5,buy,24.25
2006-07-18,Barclays,12 month,5,overwt/neutral,25.87
2006-07-17,Credit Suisse,12 month,3,neutral,21.02
2006-07-14,Raymond James,Not Provided,3,market perform,-0.0
2006-06-30,Soleil Securities,12 month,5,buy,22.64
2006-05-11,Morgan Stanley,Not Provided,5,Overwt/Cautious,22.64
2006-05-04,EVA Dimensions,Not Provided,1,sell,-0.0
2006-03-09,Dr. Kalliwoda Equity Research,Not Provided,5,buy,7.36
2004-10-04,Argus Research Corp,Not Provided,5,buy,-0.0
2006-09-21,Credit Suisse,12 month,3,neutral,21.02
2006-09-21,Stanford Group,12 month,5,buy,24.25
2006-09-15,J.P. Morgan,Not Provided,3,neutral,-0.0
2006-09-12,Raymond James,Not Provided,3,market perform,-0.0
2006-09-05,EVA Dimensions,Not Provided,1,sell,-0.0
2006-07-24,Goldman Sachs,Not Provided,3,in-line/neutral,20.21
2006-07-24,CIBC World Markets,Not Provided,3,sector perform,-0.0
2006-07-18,Stifel,Not Provided,5,buy,24.25
2006-07-18,Barclays,12 month,5,overwt/neutral,25.87
2006-06-30,Soleil Securities,12 month,5,buy,22.64
2006-05-11,Morgan Stanley,Not Provided,5,Overwt/Cautious,22.64
