Date,Firm Name,Period,Rating,Recommendation,Target Price
2017-03-31,Scotia Howard Weil Inc,Not Provided,5,sector outperform,95.000000
2017-03-31,Wells Fargo Securities,Not Provided,5,outperform,-0.000000
2017-03-31,Seaport Global Securities,Not Provided,5,buy,107.000000
2017-03-30,Bernstein,Not Provided,3,market perform,94.000000
2017-03-30,Piper Jaffray,12 month,5,overweight,89.000000
2017-03-29,Credit Suisse,Not Provided,5,outperform,95.000000
2017-03-28,RBC Capital Markets,12 month,5,outperform,103.000000
2017-03-28,J.P. Morgan,9 month,5,overweight,100.000000
2017-03-27,BMO Capital Markets,Not Provided,5,outperform,96.000000
2017-03-27,Societe Generale,12 month,5,buy,98.000000
2017-03-27,Edward Jones,Not Provided,5,buy,-0.000000
2017-03-27,SunTrust Robinson Humphrey,12 month,3,hold,92.000000
2017-03-27,"Capital One Securities, Inc.",Not Provided,5,overweight,86.000000
2017-03-27,FBR Capital Markets,12 month,5,outperform,107.000000
2017-03-27,Loop Capital Markets,12 month,5,buy,97.000000
2017-03-27,Barclays,Not Provided,5,overweight,107.000000
2017-03-27,Iberia Capital Partners LLC,Not Provided,5,outperform,100.000000
2017-03-27,Clarksons Platou Securities Inc,12 month,5,buy,95.000000
2017-03-26,Guggenheim Securities,Not Provided,5,buy,105.000000
2017-03-26,Wolfe Research,12 month,5,outperform,97.000000
2017-03-24,Susquehanna Financial,12 month,4,Positive,95.000000
2017-03-23,Jefferies,12 month,5,buy,99.000000
2017-03-22,Evercore ISI,Not Provided,5,outperform,99.000000
2017-03-22,Tudor Pickering & Co,Not Provided,5,buy,-0.000000
2017-03-16,Griffin Securities,Not Provided,3,neutral,-0.000000
2017-03-16,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2017-02-09,Cowen,Not Provided,5,outperform,99.000000
2017-02-08,Raymond James,Not Provided,3,market perform,-0.000000
2017-01-24,Argus Research Corp,Not Provided,5,buy,97.000000
2017-01-24,William Blair & Co,Not Provided,5,outperform,-0.000000
2017-01-23,Morgan Stanley,12 month,5,Overwt/Attractive,110.000000
2017-01-23,UBS,12 month,5,buy,105.000000
2017-01-23,Johnson Rice & Co,Not Provided,4,accumulate,-0.000000
2017-01-23,Macquarie,12 month,3,neutral,80.000000
2017-01-23,Atlantic Equities LLP,12 month,5,overweight,88.000000
2017-01-23,Nomura Instinet,12 month,5,buy,91.000000
2017-01-20,"Ameriprise Advisor Services, Inc",Not Provided,5,buy,-0.000000
2016-12-17,EVA Dimensions,Not Provided,1,sell,-0.000000
2016-10-24,Goldman Sachs,12 month,5,buy/attractive,95.000000
2016-08-02,Tigress Financial Partners,Not Provided,3,neutral,-0.000000
2015-08-26,Erste Group,Not Provided,1,sell,-0.000000
2017-05-01,Macquarie,12 month,3,neutral,72.000000
2017-05-01,Seaport Global Securities,Not Provided,5,buy,96.000000
2017-05-01,Piper Jaffray,Not Provided,5,overweight,89.000000
2017-04-30,Wells Fargo Securities,Not Provided,5,outperform,-0.000000
2017-04-28,Griffin Securities,Not Provided,3,neutral,-0.000000
2017-04-27,HSBC,Not Provided,3,hold,86.000000
2017-04-27,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2017-04-26,FBR Capital Markets,Not Provided,5,outperform,107.000000
2017-04-25,Argus Research Corp,Not Provided,5,buy,97.000000
2017-04-25,Stephens Inc,12 month,3,equalweight,89.000000
2017-04-25,Guggenheim Securities,Not Provided,5,buy,90.000000
2017-04-24,Societe Generale,12 month,5,buy,94.000000
2017-04-24,Morgan Stanley,12 month,5,Overwt/Attractive,110.000000
2017-04-24,UBS,12 month,5,buy,97.000000
2017-04-24,SunTrust Robinson Humphrey,Not Provided,3,hold,82.000000
2017-04-24,Scotia Howard Weil Inc,Not Provided,5,sector outperform,90.000000
2017-04-24,J.P. Morgan,9 month,5,overweight,91.000000
2017-04-24,Jefferies,12 month,5,buy,92.000000
2017-04-24,"Capital One Securities, Inc.",Not Provided,5,overweight,79.000000
2017-04-24,Raymond James,Not Provided,3,market perform,-0.000000
2017-04-24,Johnson Rice & Co,Not Provided,4,accumulate,-0.000000
2017-04-24,Loop Capital Markets,12 month,5,buy,93.000000
2017-04-24,Evercore ISI,Not Provided,5,outperform,93.000000
2017-04-24,Cowen,12 month,5,outperform,99.000000
2017-04-24,Susquehanna Financial,12 month,4,Positive,89.000000
2017-04-24,Atlantic Equities LLP,12 month,5,overweight,86.000000
2017-04-24,Nomura Instinet,12 month,5,buy,85.000000
2017-04-24,Iberia Capital Partners LLC,12 month,5,outperform,100.000000
2017-04-23,BMO Capital Markets,Not Provided,5,outperform,89.000000
2017-04-23,Goldman Sachs,12 month,5,buy/attractive,90.000000
2017-04-23,Credit Suisse,Not Provided,5,outperform,91.000000
2017-04-23,Wolfe Research,12 month,5,outperform,86.000000
2017-04-22,Bernstein,12 month,3,market perform,94.000000
2017-04-21,RBC Capital Markets,12 month,5,outperform,103.000000
2017-04-21,Edward Jones,Not Provided,5,buy,-0.000000
2017-04-21,"Ameriprise Advisor Services, Inc",Not Provided,5,buy,-0.000000
2017-04-21,William Blair & Co,Not Provided,5,outperform,-0.000000
2017-04-21,Barclays,Not Provided,5,overweight,98.000000
2017-03-27,Clarksons Platou Securities Inc,12 month,5,buy,95.000000
2017-03-22,Tudor Pickering & Co,Not Provided,5,buy,-0.000000
2016-12-17,EVA Dimensions,Not Provided,1,sell,-0.000000
2015-08-26,Erste Group,Not Provided,1,sell,-0.000000
2017-05-15,Iberia Capital Partners LLC,12 month,5,outperform,100.000000
2017-05-11,Bernstein,12 month,3,market perform,94.000000
2017-05-10,RBC Capital Markets,12 month,5,outperform,103.000000
2017-05-05,Loop Capital Markets,12 month,5,buy,93.000000
2017-05-05,Wells Fargo Securities,Not Provided,5,outperform,-0.000000
2017-05-04,Edward Jones,Not Provided,3,hold,-0.000000
2017-05-04,SunTrust Robinson Humphrey,Not Provided,3,hold,82.000000
2017-05-02,Stephens Inc,Not Provided,3,equalweight,89.000000
2017-05-02,Macquarie,12 month,3,neutral,72.000000
2017-05-02,Guggenheim Securities,Not Provided,5,buy,90.000000
2017-05-01,Seaport Global Securities,Not Provided,5,buy,96.000000
2017-05-01,Piper Jaffray,Not Provided,5,overweight,89.000000
2017-04-28,Griffin Securities,Not Provided,3,neutral,-0.000000
2017-04-27,HSBC,Not Provided,3,hold,86.000000
2017-04-27,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2017-04-26,FBR Capital Markets,Not Provided,5,outperform,107.000000
2017-04-25,Argus Research Corp,Not Provided,5,buy,97.000000
2017-04-24,Societe Generale,12 month,5,buy,94.000000
2017-04-24,Morgan Stanley,12 month,5,Overwt/Attractive,110.000000
2017-04-24,UBS,12 month,5,buy,97.000000
2017-04-24,Scotia Howard Weil Inc,Not Provided,5,sector outperform,90.000000
2017-04-24,J.P. Morgan,9 month,5,overweight,91.000000
2017-04-24,Jefferies,12 month,5,buy,92.000000
2017-04-24,"Capital One Securities, Inc.",Not Provided,5,overweight,79.000000
2017-04-24,Raymond James,Not Provided,3,market perform,-0.000000
2017-04-24,Johnson Rice & Co,Not Provided,4,accumulate,-0.000000
2017-04-24,Evercore ISI,Not Provided,5,outperform,93.000000
2017-04-24,Cowen,12 month,5,outperform,99.000000
2017-04-24,Susquehanna Financial,12 month,4,Positive,89.000000
2017-04-24,Atlantic Equities LLP,12 month,5,overweight,86.000000
2017-04-24,Nomura Instinet,12 month,5,buy,85.000000
