Date,Firm Name,Period,Rating,Recommendation,Target Price
2017-03-31,Scotia Howard Weil Inc,Not Provided,5,sector outperform,22.000000
2017-03-31,Wells Fargo Securities,Not Provided,5,outperform,-0.000000
2017-03-31,Seaport Global Securities,Not Provided,5,buy,22.000000
2017-03-30,Bernstein,Not Provided,5,outperform,18.500000
2017-03-30,"Capital One Securities, Inc.",Not Provided,5,overweight,18.000000
2017-03-30,Cowen,Not Provided,5,outperform,21.000000
2017-03-29,Credit Suisse,Not Provided,5,outperform,21.000000
2017-03-28,RBC Capital Markets,12 month,5,outperform,20.000000
2017-03-26,Nomura Instinet,Not Provided,3,neutral,15.000000
2017-03-23,Tudor Pickering & Co,Not Provided,5,buy,-0.000000
2017-03-22,Jefferies,Not Provided,3,hold,15.000000
2017-03-21,Argus Research Corp,Not Provided,3,hold,-0.000000
2017-03-16,Susquehanna Financial,12 month,4,Positive,17.000000
2017-03-15,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2017-03-12,Wolfe Research,12 month,3,peerperform,16.000000
2017-03-07,Raymond James,12 month,5,strong buy,19.000000
2017-03-03,SunTrust Robinson Humphrey,Not Provided,5,buy,20.000000
2017-03-02,Evercore ISI,Not Provided,5,outperform,20.000000
2017-03-01,Stephens Inc,Not Provided,3,equalweight,17.000000
2017-03-01,Guggenheim Securities,Not Provided,5,buy,24.000000
2017-02-27,Piper Jaffray,12 month,3,neutral,16.500000
2017-02-24,BMO Capital Markets,Not Provided,3,market perform,15.000000
2017-02-24,Morgan Stanley,12 month,5,Overwt/Attractive,21.000000
2017-02-24,J.P. Morgan,12 month,5,overweight,24.000000
2017-02-24,Johnson Rice & Co,Not Provided,5,buy,-0.000000
2017-02-24,EVA Dimensions,Not Provided,1,underweight,-0.000000
2016-12-16,Goldman Sachs,12 month,5,buy/attractive,22.000000
2016-12-14,UBS,12 month,5,buy,22.000000
2016-08-19,Clarksons Platou Securities Inc,Not Provided,5,buy,12.000000
2017-05-01,UBS,12 month,5,buy,17.000000
2017-05-01,Stephens Inc,12 month,3,equalweight,15.000000
2017-05-01,Wells Fargo Securities,Not Provided,5,outperform,-0.000000
2017-05-01,Guggenheim Securities,Not Provided,5,buy,22.000000
2017-05-01,Seaport Global Securities,Not Provided,5,buy,18.000000
2017-05-01,Piper Jaffray,Not Provided,3,neutral,16.500000
2017-04-30,Morgan Stanley,12 month,5,Overwt/Attractive,19.000000
2017-04-28,Goldman Sachs,12 month,5,buy/attractive,17.500000
2017-04-28,Credit Suisse,Not Provided,5,outperform,18.000000
2017-04-28,Scotia Howard Weil Inc,Not Provided,5,sector outperform,16.000000
2017-04-28,J.P. Morgan,9 month,5,overweight,20.000000
2017-04-28,Bernstein,12 month,5,outperform,17.000000
2017-04-28,"Capital One Securities, Inc.",Not Provided,5,overweight,18.000000
2017-04-28,Raymond James,12 month,5,strong buy,17.000000
2017-04-28,Johnson Rice & Co,Not Provided,5,buy,-0.000000
2017-04-28,Evercore ISI,12 month,5,outperform,20.000000
2017-04-28,Cowen,12 month,5,outperform,21.000000
2017-04-28,Susquehanna Financial,12 month,4,Positive,14.000000
2017-04-27,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2017-04-26,RBC Capital Markets,12 month,5,outperform,20.000000
2017-04-26,Nomura Instinet,12 month,5,buy,17.000000
2017-04-26,Wolfe Research,12 month,3,peerperform,14.000000
2017-04-21,BMO Capital Markets,Not Provided,3,market perform,15.000000
2017-04-11,Jefferies,Not Provided,3,hold,15.000000
2017-03-23,Tudor Pickering & Co,Not Provided,5,buy,-0.000000
2017-03-21,Argus Research Corp,Not Provided,3,hold,-0.000000
2017-03-03,SunTrust Robinson Humphrey,Not Provided,5,buy,20.000000
2017-02-24,EVA Dimensions,Not Provided,1,underweight,-0.000000
2016-08-19,Clarksons Platou Securities Inc,Not Provided,5,buy,12.000000
2017-05-11,Bernstein,12 month,5,outperform,17.000000
2017-05-11,Cowen,Not Provided,5,outperform,21.000000
2017-05-09,RBC Capital Markets,12 month,5,outperform,20.000000
2017-05-05,BMO Capital Markets,Not Provided,3,market perform,13.000000
2017-05-05,Wells Fargo Securities,Not Provided,5,outperform,-0.000000
2017-05-05,Piper Jaffray,12 month,3,neutral,11.500000
2017-05-04,SunTrust Robinson Humphrey,Not Provided,5,buy,20.000000
2017-05-03,Jefferies,Not Provided,3,hold,11.500000
2017-05-02,Stephens Inc,Not Provided,3,equalweight,15.000000
2017-05-02,Guggenheim Securities,Not Provided,5,buy,22.000000
2017-05-01,UBS,12 month,5,buy,17.000000
2017-05-01,Seaport Global Securities,Not Provided,5,buy,18.000000
2017-04-30,Morgan Stanley,12 month,5,Overwt/Attractive,19.000000
2017-04-28,Goldman Sachs,12 month,5,buy/attractive,17.500000
2017-04-28,Credit Suisse,Not Provided,5,outperform,18.000000
2017-04-28,Scotia Howard Weil Inc,Not Provided,5,sector outperform,16.000000
2017-04-28,J.P. Morgan,9 month,5,overweight,20.000000
2017-04-28,"Capital One Securities, Inc.",Not Provided,5,overweight,18.000000
2017-04-28,Raymond James,12 month,5,strong buy,17.000000
2017-04-28,Johnson Rice & Co,Not Provided,5,buy,-0.000000
2017-04-28,Evercore ISI,12 month,5,outperform,20.000000
2017-04-28,Susquehanna Financial,12 month,4,Positive,14.000000
2017-04-27,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2017-04-26,Nomura Instinet,12 month,5,buy,17.000000
2017-04-26,Wolfe Research,12 month,3,peerperform,14.000000
2017-03-23,Tudor Pickering & Co,Not Provided,5,buy,-0.000000
2017-03-21,Argus Research Corp,Not Provided,3,hold,-0.000000
2017-02-24,EVA Dimensions,Not Provided,1,underweight,-0.000000
2016-08-19,Clarksons Platou Securities Inc,Not Provided,5,buy,12.000000
