Date,Firm Name,Period,Rating,Recommendation,Target Price
2017-03-26,"Keefe, Bruyette & Woods",Not Provided,5,outperform,44.000000
2017-03-23,Credit Suisse,Not Provided,3,neutral,40.000000
2017-03-13,"Sandler O'Neill & Partners, LP",12 month,3,hold,41.000000
2017-03-09,UBS,12 month,5,buy,45.000000
2017-03-02,Morgan Stanley,12 month,5,Overwt/In-Line,43.000000
2017-03-02,Macquarie,12 month,5,outperform,47.000000
2017-03-01,RBC Capital Markets,12 month,5,outperform,44.000000
2017-03-01,J.P. Morgan,9 month,3,neutral,40.000000
2017-03-01,Barclays,Not Provided,5,overweight,46.000000
2017-02-21,JMP Securities,12 month,4,market outperform,43.000000
2017-02-13,FBR Capital Markets,Not Provided,3,market perform,37.000000
2017-02-06,Janney Montgomery Scott LLC,Not Provided,3,neutral,-0.000000
2016-12-17,EVA Dimensions,Not Provided,3,hold,-0.000000
2016-02-11,"Ameriprise Advisor Services, Inc",Not Provided,5,buy,-0.000000
2017-05-01,JMP Securities,Not Provided,4,market outperform,47.000000
2017-04-30,"Keefe, Bruyette & Woods",Not Provided,5,outperform,45.000000
2017-04-27,Morgan Stanley,12 month,5,Overwt/In-Line,46.000000
2017-04-27,RBC Capital Markets,12 month,5,outperform,46.000000
2017-04-27,"Sandler O'Neill & Partners, LP",12 month,3,hold,42.000000
2017-04-27,EVA Dimensions,Not Provided,5,overweight,-0.000000
2017-04-26,Credit Suisse,Not Provided,3,neutral,40.000000
2017-04-26,J.P. Morgan,9 month,3,neutral,43.000000
2017-04-26,Janney Montgomery Scott LLC,Not Provided,3,neutral,-0.000000
2017-04-26,Macquarie,12 month,5,outperform,47.000000
2017-04-26,Barclays,Not Provided,5,overweight,46.000000
2017-04-24,FBR Capital Markets,Not Provided,3,market perform,37.000000
2017-03-09,UBS,12 month,5,buy,45.000000
2016-02-11,"Ameriprise Advisor Services, Inc",Not Provided,5,buy,-0.000000
2017-05-12,UBS,12 month,5,buy,48.000000
2017-05-12,Barclays,Not Provided,5,overweight,46.000000
2017-05-10,FBR Capital Markets,Not Provided,3,market perform,37.000000
2017-05-03,"Sandler O'Neill & Partners, LP",12 month,3,hold,42.000000
2017-05-01,JMP Securities,Not Provided,4,market outperform,47.000000
2017-04-30,"Keefe, Bruyette & Woods",Not Provided,5,outperform,45.000000
2017-04-27,Morgan Stanley,12 month,5,Overwt/In-Line,46.000000
2017-04-27,RBC Capital Markets,12 month,5,outperform,46.000000
2017-04-27,EVA Dimensions,Not Provided,5,overweight,-0.000000
2017-04-26,Credit Suisse,Not Provided,3,neutral,40.000000
2017-04-26,J.P. Morgan,9 month,3,neutral,43.000000
2017-04-26,Janney Montgomery Scott LLC,Not Provided,3,neutral,-0.000000
2017-04-26,Macquarie,12 month,5,outperform,47.000000
2016-02-11,"Ameriprise Advisor Services, Inc",Not Provided,5,buy,-0.000000
