Date,Firm Name,Period,Rating,Recommendation,Target Price
2017-03-30,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2017-03-29,RBC Capital Markets,12 month,5,outperform,82.000000
2017-03-24,Cross Research,Not Provided,3,hold,-0.000000
2017-03-21,Cowen,12 month,5,outperform,90.000000
2017-03-19,Stifel,Not Provided,5,buy,81.000000
2017-03-15,Morgan Stanley,12 month,5,Overwt/In-Line,85.000000
2017-03-02,Longbow Research,12 month,5,buy,85.000000
2017-02-10,EVA Dimensions,Not Provided,3,hold,-0.000000
2017-01-26,Goldman Sachs,12 month,1,Sell/Neutral,65.000000
2017-01-26,SunTrust Robinson Humphrey,12 month,3,hold,78.000000
2017-04-27,Morgan Stanley,12 month,5,Overwt/In-Line,87.000000
2017-04-27,Goldman Sachs,12 month,1,Sell/Neutral,72.000000
2017-04-27,Cross Research,Not Provided,3,hold,-0.000000
2017-04-26,RBC Capital Markets,12 month,5,outperform,86.000000
2017-04-26,SunTrust Robinson Humphrey,12 month,3,hold,79.000000
2017-04-26,Stifel,12 month,5,buy,85.000000
2017-04-26,Cowen,12 month,5,outperform,90.000000
2017-04-26,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2017-04-26,Longbow Research,12 month,5,buy,85.000000
2017-02-10,EVA Dimensions,Not Provided,3,hold,-0.000000
2017-05-10,Longbow Research,12 month,5,buy,85.000000
2017-05-09,Cross Research,Not Provided,3,hold,-0.000000
2017-04-27,Morgan Stanley,12 month,5,Overwt/In-Line,87.000000
2017-04-27,Goldman Sachs,12 month,1,Sell/Neutral,72.000000
2017-04-26,RBC Capital Markets,12 month,5,outperform,86.000000
2017-04-26,SunTrust Robinson Humphrey,12 month,3,hold,79.000000
2017-04-26,Stifel,12 month,5,buy,85.000000
2017-04-26,Cowen,12 month,5,outperform,90.000000
2017-04-26,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2017-02-10,EVA Dimensions,Not Provided,3,hold,-0.000000
