Date,Firm Name,Period,Rating,Recommendation,Target Price
2017-03-30,J.P. Morgan,9 month,5,overweight,130.000000
2017-03-24,William Blair & Co,Not Provided,5,outperform,-0.000000
2017-03-24,"Sandler O'Neill & Partners, LP",12 month,5,buy,130.000000
2017-03-10,Jefferies,12 month,5,buy,137.000000
2017-03-10,Raymond James,Not Provided,1,underperform,-0.000000
2017-03-10,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2017-03-05,"Keefe, Bruyette & Woods",Not Provided,5,outperform,128.000000
2017-02-28,EVA Dimensions,Not Provided,5,overweight,-0.000000
2017-02-17,Barclays,Not Provided,3,equalweight,115.000000
2017-02-14,BMO Capital Markets,Not Provided,3,market perform,126.000000
2017-02-14,RBC Capital Markets,12 month,3,sector perform,119.000000
2017-02-14,Credit Suisse,Not Provided,-2147483648,not rated,-0.000000
2017-02-14,Janney Montgomery Scott LLC,Not Provided,5,buy,-0.000000
2017-02-14,Atlantic Equities LLP,12 month,5,overweight,140.000000
2017-02-13,Wells Fargo Securities,Not Provided,3,market perform,-0.000000
2017-02-13,MKM Partners,12 month,3,neutral,115.000000
2017-02-12,Morgan Stanley,12 month,3,Equalwt/In-Line,120.000000
2016-12-09,UBS,12 month,3,neutral,117.000000
2017-04-30,"Keefe, Bruyette & Woods",Not Provided,5,outperform,128.000000
2017-04-28,Raymond James,Not Provided,1,underperform,-0.000000
2017-04-18,Atlantic Equities LLP,12 month,5,overweight,140.000000
2017-04-13,Wells Fargo Securities,Not Provided,3,market perform,-0.000000
2017-04-12,RBC Capital Markets,12 month,3,sector perform,119.000000
2017-04-04,J.P. Morgan,9 month,5,overweight,130.000000
2017-04-04,"Sandler O'Neill & Partners, LP",12 month,5,buy,132.000000
2017-04-03,Barclays,Not Provided,3,equalweight,115.000000
2017-03-24,William Blair & Co,Not Provided,5,outperform,-0.000000
2017-03-10,Jefferies,12 month,5,buy,137.000000
2017-03-10,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2017-02-28,EVA Dimensions,Not Provided,5,overweight,-0.000000
2017-02-14,Credit Suisse,Not Provided,-2147483648,not rated,-0.000000
2017-02-14,Janney Montgomery Scott LLC,Not Provided,5,buy,-0.000000
2017-02-13,MKM Partners,12 month,3,neutral,115.000000
2017-02-12,Morgan Stanley,12 month,3,Equalwt/In-Line,120.000000
2016-12-09,UBS,12 month,3,neutral,117.000000
2017-05-15,William Blair & Co,Not Provided,5,outperform,-0.000000
2017-05-12,Barclays,Not Provided,3,equalweight,115.000000
2017-05-11,UBS,12 month,3,neutral,133.000000
2017-05-11,"Keefe, Bruyette & Woods",12 month,5,outperform,136.000000
2017-05-11,Atlantic Equities LLP,12 month,5,overweight,150.000000
2017-05-10,Morgan Stanley,12 month,3,Equalwt/In-Line,130.000000
2017-05-10,RBC Capital Markets,12 month,3,sector perform,128.000000
2017-05-10,"Sandler O'Neill & Partners, LP",12 month,5,buy,137.000000
2017-05-10,MKM Partners,12 month,3,neutral,125.000000
2017-05-09,Credit Suisse,Not Provided,1,underperform,122.000000
2017-05-09,J.P. Morgan,9 month,5,overweight,140.000000
2017-05-09,Janney Montgomery Scott LLC,Not Provided,5,buy,-0.000000
2017-05-09,Jefferies,12 month,5,buy,146.000000
2017-05-09,Wells Fargo Securities,12 month,3,market perform,126.000000
2017-05-09,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2017-04-28,Raymond James,Not Provided,1,underperform,-0.000000
2017-02-28,EVA Dimensions,Not Provided,5,overweight,-0.000000
