Date,Firm Name,Period,Rating,Recommendation,Target Price
2017-04-01,EVA Dimensions,Not Provided,5,overweight,-0.000000
2017-03-31,Scotia Howard Weil Inc,Not Provided,3,sector perform,7.500000
2017-03-31,Wells Fargo Securities,Not Provided,3,market perform,-0.000000
2017-03-31,Seaport Global Securities,Not Provided,5,buy,8.000000
2017-03-30,Bernstein,Not Provided,3,market perform,7.000000
2017-03-30,Piper Jaffray,12 month,3,neutral,6.500000
2017-03-27,RBC Capital Markets,12 month,1,underperform,7.000000
2017-03-24,"Capital One Securities, Inc.",Not Provided,5,overweight,9.000000
2017-03-24,Raymond James,Not Provided,3,market perform,-0.000000
2017-03-24,Evercore ISI,12 month,5,outperform,8.000000
2017-03-24,Susquehanna Financial,12 month,3,neutral,6.000000
2017-03-23,BMO Capital Markets,Not Provided,1,underperform,4.500000
2017-03-22,Tudor Pickering & Co,Not Provided,3,hold,-0.000000
2017-03-20,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2017-03-09,J.P. Morgan,9 month,1,underweight,5.000000
2017-03-09,Swedbank,Not Provided,3,neutral,7.000000
2017-03-07,Pareto Securities,6 month,1,sell,3.000000
2017-03-02,Argus Research Corp,Not Provided,1,sell,-0.000000
2017-02-23,Clarksons Platou Securities Inc,Not Provided,5,buy,9.000000
2017-02-21,Jefferies,Not Provided,5,buy,9.500000
2017-02-20,DNB Markets,Not Provided,1,sell,3.000000
2017-02-15,Nomura Instinet,12 month,2,reduce,6.000000
2017-02-14,Fearnley Securities,Not Provided,1,sell,6.000000
2017-02-13,Societe Generale,12 month,5,buy,9.000000
2017-02-13,UBS,12 month,3,neutral,8.000000
2017-02-13,Johnson Rice & Co,Not Provided,5,buy,-0.000000
2017-02-13,Arctic Securities ASA,12 month,5,buy,10.000000
2017-02-13,Barclays,Not Provided,3,equalweight,7.000000
2017-02-13,Iberia Capital Partners LLC,Not Provided,5,outperform,11.000000
2017-02-10,Morgan Stanley,12 month,3,Equalwt/Attractive,8.000000
2017-02-10,Credit Suisse,Not Provided,5,outperform,10.000000
2017-02-09,Cowen,12 month,3,market perform,6.000000
2017-01-23,Goldman Sachs,12 month,1,Sell/Cautious,4.500000
2016-12-14,Nordea,Not Provided,1,sell,3.500000
2016-02-16,SpareBank 1 Markets AS,Not Provided,3,neutral,7.000000
2017-05-01,Seaport Global Securities,Not Provided,5,buy,8.000000
2017-05-01,Piper Jaffray,Not Provided,3,neutral,6.500000
2017-05-01,Barclays,Not Provided,3,equalweight,5.000000
2017-04-30,Wells Fargo Securities,Not Provided,3,market perform,-0.000000
2017-04-28,Johnson Rice & Co,Not Provided,5,buy,-0.000000
2017-04-28,Fearnley Securities,Not Provided,5,buy,8.000000
2017-04-28,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2017-04-25,Raymond James,Not Provided,3,market perform,-0.000000
2017-04-25,Evercore ISI,Not Provided,5,outperform,7.000000
2017-04-25,Cowen,12 month,3,market perform,6.000000
2017-04-24,BMO Capital Markets,Not Provided,1,underperform,4.500000
2017-04-24,RBC Capital Markets,12 month,1,underperform,7.000000
2017-04-23,Nomura Instinet,Not Provided,2,reduce,6.000000
2017-04-21,Bernstein,Not Provided,3,market perform,7.000000
2017-04-21,"Capital One Securities, Inc.",12 month,5,overweight,9.000000
2017-04-21,Stephens Inc,Not Provided,3,equalweight,8.000000
2017-04-21,Nordea,12 month,1,sell,3.500000
2017-04-21,Swedbank,Not Provided,3,neutral,7.000000
2017-04-21,Susquehanna Financial,12 month,3,neutral,6.000000
2017-04-21,Clarksons Platou Securities Inc,Not Provided,5,buy,8.000000
2017-04-20,Credit Suisse,Not Provided,5,outperform,10.000000
2017-04-11,Societe Generale,12 month,5,buy,7.300000
2017-04-11,Jefferies,Not Provided,5,buy,8.500000
2017-04-01,EVA Dimensions,Not Provided,5,overweight,-0.000000
2017-03-31,Scotia Howard Weil Inc,Not Provided,3,sector perform,7.500000
2017-03-22,Tudor Pickering & Co,Not Provided,3,hold,-0.000000
2017-03-09,J.P. Morgan,9 month,1,underweight,5.000000
2017-03-07,Pareto Securities,6 month,1,sell,3.000000
2017-03-02,Argus Research Corp,Not Provided,1,sell,-0.000000
2017-02-20,DNB Markets,Not Provided,1,sell,3.000000
2017-02-13,UBS,12 month,3,neutral,8.000000
2017-02-13,Arctic Securities ASA,12 month,5,buy,10.000000
2017-02-13,Iberia Capital Partners LLC,Not Provided,5,outperform,11.000000
2017-02-10,Morgan Stanley,12 month,3,Equalwt/Attractive,8.000000
2017-01-23,Goldman Sachs,12 month,1,Sell/Cautious,4.500000
2016-02-16,SpareBank 1 Markets AS,Not Provided,3,neutral,7.000000
2017-05-15,Iberia Capital Partners LLC,Not Provided,5,outperform,7.000000
2017-05-12,Bernstein,Not Provided,3,market perform,7.000000
2017-05-11,Stephens Inc,12 month,3,equalweight,7.000000
2017-05-11,Clarksons Platou Securities Inc,12 month,5,buy,7.000000
2017-05-09,BMO Capital Markets,Not Provided,1,underperform,4.500000
2017-05-09,Seaport Global Securities,12 month,5,buy,6.000000
2017-05-08,Societe Generale,12 month,5,buy,6.200000
2017-05-08,UBS,12 month,3,neutral,5.500000
2017-05-08,Scotia Howard Weil Inc,12 month,3,sector perform,6.500000
2017-05-08,J.P. Morgan,9 month,1,underweight,5.000000
2017-05-08,Raymond James,Not Provided,3,market perform,-0.000000
2017-05-08,Evercore ISI,12 month,5,outperform,7.000000
2017-05-08,Susquehanna Financial,12 month,3,neutral,5.000000
2017-05-08,Arctic Securities ASA,12 month,5,buy,8.000000
2017-05-08,Barclays,Not Provided,3,equalweight,5.000000
2017-05-05,Morgan Stanley,12 month,3,Equalwt/Attractive,8.000000
