Date,Firm Name,Period,Rating,Recommendation,Target Price
2017-03-28,Wells Fargo Securities,Not Provided,5,outperform,-0.000000
2017-03-26,Credit Suisse,Not Provided,5,outperform,82.000000
2017-03-24,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2017-03-17,Evercore ISI,Not Provided,5,outperform,78.000000
2017-03-08,RBC Capital Markets,12 month,3,sector perform,73.000000
2017-03-06,Stifel,12 month,3,hold,74.000000
2017-03-06,Longbow Research,Not Provided,3,neutral,-0.000000
2017-03-03,HSBC,Not Provided,5,buy,82.000000
2017-03-01,Bernstein,Not Provided,3,market perform,76.000000
2017-02-27,Morgan Stanley,12 month,5,Overwt/In-Line,83.000000
2017-02-27,Jefferies,12 month,3,hold,70.000000
2017-02-27,William Blair & Co,Not Provided,3,market perform,-0.000000
2017-02-26,Baird,12 month,3,neutral,70.000000
2017-02-26,KeyBanc Capital Markets,Not Provided,3,sector weight,-0.000000
2017-02-24,Barclays,Not Provided,3,equalweight,74.000000
2017-02-24,Vertical Research Partners,Not Provided,3,hold,76.000000
2017-02-06,Argus Research Corp,Not Provided,5,buy,83.000000
2017-02-03,Goldman Sachs,12 month,3,neutral/neutral,72.000000
2017-02-03,J.P. Morgan,12 month,3,neutral,70.000000
2017-02-02,Oppenheimer & Co,Not Provided,3,market perform,-0.000000
2017-02-02,Atlantic Equities LLP,12 month,3,neutral,67.000000
2017-01-19,EVA Dimensions,Not Provided,5,overweight,-0.000000
2017-01-06,UBS,12 month,5,buy,76.000000
2010-05-27,Barclays,Not Provided,3,equalwt/positive,41.500000
2017-05-01,J.P. Morgan,12 month,3,neutral,70.000000
2017-04-24,UBS,Not Provided,-2147483648,suspended coverage,-0.000000
2017-04-20,Wells Fargo Securities,Not Provided,5,outperform,-0.000000
2017-04-18,EVA Dimensions,Not Provided,3,hold,-0.000000
2017-04-17,Barclays,Not Provided,3,equalweight,74.000000
2017-04-17,Vertical Research Partners,Not Provided,3,hold,76.000000
2017-04-13,Baird,12 month,3,neutral,75.000000
2017-04-13,Atlantic Equities LLP,12 month,3,neutral,77.000000
2017-04-11,Morgan Stanley,12 month,5,Overwt/In-Line,83.000000
2017-04-11,Jefferies,Not Provided,3,hold,70.000000
2017-04-11,Stifel,12 month,3,hold,74.000000
2017-04-10,RBC Capital Markets,12 month,3,sector perform,73.000000
2017-04-10,Credit Suisse,Not Provided,5,outperform,82.000000
2017-04-10,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2017-04-10,Longbow Research,12 month,5,buy,88.000000
2017-03-17,Evercore ISI,Not Provided,5,outperform,78.000000
2017-03-03,HSBC,Not Provided,5,buy,82.000000
2017-02-27,William Blair & Co,Not Provided,3,market perform,-0.000000
2017-02-26,KeyBanc Capital Markets,Not Provided,3,sector weight,-0.000000
2017-02-06,Argus Research Corp,Not Provided,5,buy,83.000000
2017-02-03,Goldman Sachs,12 month,3,neutral/neutral,72.000000
2017-02-02,Oppenheimer & Co,Not Provided,3,market perform,-0.000000
2010-05-27,Barclays,Not Provided,3,equalwt/positive,41.500000
2017-05-15,J.P. Morgan,9 month,3,neutral,73.000000
2017-05-12,Stifel,12 month,3,hold,80.000000
2017-05-10,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2017-05-09,Vertical Research Partners,Not Provided,3,hold,82.000000
2017-05-08,HSBC,Not Provided,5,buy,82.000000
2017-05-05,Evercore ISI,Not Provided,5,outperform,86.000000
2017-05-05,Atlantic Equities LLP,12 month,3,neutral,80.000000
2017-05-05,EVA Dimensions,Not Provided,5,overweight,-0.000000
2017-05-04,Morgan Stanley,12 month,5,Overwt/In-Line,88.000000
2017-05-04,UBS,12 month,5,buy,85.000000
2017-05-03,Longbow Research,12 month,5,buy,88.000000
2017-05-02,Goldman Sachs,12 month,3,neutral/neutral,82.000000
2017-05-02,RBC Capital Markets,12 month,3,sector perform,78.000000
2017-05-02,Credit Suisse,Not Provided,5,outperform,85.000000
2017-05-02,Jefferies,12 month,3,hold,75.000000
2017-05-02,Baird,12 month,3,neutral,78.000000
2017-05-02,William Blair & Co,Not Provided,3,market perform,-0.000000
2017-05-02,KeyBanc Capital Markets,Not Provided,3,sector weight,-0.000000
2017-05-02,Oppenheimer & Co,Not Provided,3,market perform,-0.000000
2017-05-02,Wells Fargo Securities,Not Provided,5,outperform,-0.000000
2017-05-02,Barclays,Not Provided,3,equalweight,81.000000
2017-02-06,Argus Research Corp,Not Provided,5,buy,83.000000
