Date,Firm Name,Period,Rating,Recommendation,Target Price
2017-03-31,JMP Securities,12 month,4,market outperform,20.000000
2017-03-27,Susquehanna Financial,12 month,4,Positive,18.000000
2017-03-24,William Blair & Co,Not Provided,3,market perform,-0.000000
2017-03-24,Barclays,Not Provided,3,equalweight,15.000000
2017-03-23,Gabelli & Co,Not Provided,5,buy,-0.000000
2017-03-21,"Morningstar, Inc",Not Provided,5,buy,-0.000000
2017-03-20,RBC Capital Markets,12 month,3,sector perform,15.000000
2017-03-17,UBS,12 month,5,buy,14.000000
2017-03-17,Leerink Partners LLC,12 month,3,market perform,13.000000
2017-03-15,Morgan Stanley,12 month,3,Equalwt/In-Line,12.000000
2017-03-14,Stifel,12 month,5,buy,22.000000
2017-03-14,Canaccord Genuity,12 month,3,hold,14.000000
2017-03-14,Piper Jaffray,12 month,3,neutral,10.000000
2017-03-03,Mizuho Securities USA Inc,12 month,5,buy,17.000000
2017-03-02,BMO Capital Markets,Not Provided,3,market perform,15.000000
2017-03-02,J.P. Morgan,9 month,3,neutral,16.000000
2017-03-01,Raymond James,Not Provided,3,market perform,-0.000000
2017-03-01,Oppenheimer & Co,Not Provided,3,market perform,-0.000000
2017-02-28,Guggenheim Securities,12 month,5,buy,35.000000
2017-02-28,Cowen,12 month,3,market perform,16.000000
2016-12-17,EVA Dimensions,Not Provided,5,overweight,-0.000000
2017-05-01,William Blair & Co,Not Provided,3,market perform,-0.000000
2017-05-01,Canaccord Genuity,12 month,3,hold,14.000000
2017-05-01,JMP Securities,12 month,4,market outperform,20.000000
2017-05-01,Susquehanna Financial,12 month,4,Positive,18.000000
2017-04-26,RBC Capital Markets,12 month,3,sector perform,15.000000
2017-04-19,J.P. Morgan,9 month,3,neutral,16.000000
2017-04-12,Mizuho Securities USA Inc,12 month,5,buy,18.000000
2017-04-11,Gabelli & Co,Not Provided,5,buy,-0.000000
2017-04-11,"Morningstar, Inc",Not Provided,5,buy,-0.000000
2017-04-10,Stifel,12 month,5,buy,22.000000
2017-04-10,Barclays,Not Provided,3,equalweight,15.000000
2017-03-17,UBS,12 month,5,buy,14.000000
2017-03-17,Leerink Partners LLC,12 month,3,market perform,13.000000
2017-03-15,Morgan Stanley,12 month,3,Equalwt/In-Line,12.000000
2017-03-14,Piper Jaffray,12 month,3,neutral,10.000000
2017-03-02,BMO Capital Markets,Not Provided,3,market perform,15.000000
2017-03-01,Raymond James,Not Provided,3,market perform,-0.000000
2017-03-01,Oppenheimer & Co,Not Provided,3,market perform,-0.000000
2017-02-28,Cowen,12 month,3,market perform,16.000000
2016-12-17,EVA Dimensions,Not Provided,5,overweight,-0.000000
2017-05-15,RBC Capital Markets,12 month,3,sector perform,15.000000
2017-05-10,J.P. Morgan,9 month,3,neutral,16.000000
2017-05-10,Canaccord Genuity,Not Provided,3,hold,14.000000
2017-05-10,Gabelli & Co,Not Provided,5,buy,-0.000000
2017-05-10,Susquehanna Financial,12 month,4,Positive,18.000000
2017-05-10,Barclays,Not Provided,3,equalweight,15.000000
2017-05-09,Morgan Stanley,12 month,3,Equalwt/In-Line,12.000000
2017-05-09,William Blair & Co,Not Provided,3,market perform,-0.000000
2017-05-09,Raymond James,Not Provided,3,market perform,-0.000000
2017-05-09,Stifel,12 month,5,buy,22.000000
2017-05-09,Oppenheimer & Co,Not Provided,3,market perform,-0.000000
2017-05-09,JMP Securities,12 month,4,market outperform,20.000000
2017-05-09,Piper Jaffray,12 month,3,neutral,10.000000
2017-05-04,"Morningstar, Inc",Not Provided,5,buy,-0.000000
2017-05-02,Leerink Partners LLC,Not Provided,-2147483648,suspended coverage,-0.000000
2017-04-12,Mizuho Securities USA Inc,12 month,5,buy,18.000000
2017-03-17,UBS,12 month,5,buy,14.000000
2017-03-02,BMO Capital Markets,Not Provided,3,market perform,15.000000
2017-02-28,Cowen,12 month,3,market perform,16.000000
2016-12-17,EVA Dimensions,Not Provided,5,overweight,-0.000000
