Date,Firm Name,Period,Rating,Recommendation,Target Price
2017-03-30,Morgan Stanley,12 month,3,Equalwt/In-Line,84.000000
2017-03-28,SunTrust Robinson Humphrey,12 month,5,buy,90.000000
2017-03-27,Needham & Co,12 month,5,buy,91.000000
2017-03-27,Leerink Partners LLC,12 month,3,market perform,85.000000
2017-03-24,Barclays,Not Provided,5,overweight,92.000000
2017-03-22,Stifel,12 month,3,hold,84.000000
2017-03-22,Evercore ISI,12 month,5,outperform,88.500000
2017-03-22,Wells Fargo Securities,Not Provided,5,outperform,-0.000000
2017-03-20,J.P. Morgan,9 month,3,neutral,86.000000
2017-03-20,Wedbush,12 month,3,neutral,85.000000
2017-03-20,William Blair & Co,Not Provided,5,outperform,-0.000000
2017-03-20,Cowen,12 month,5,outperform,86.000000
2017-03-20,BTIG LLC,Not Provided,3,neutral,-0.000000
2017-03-17,BMO Capital Markets,Not Provided,5,outperform,87.000000
2017-03-17,Guggenheim Securities,Not Provided,3,neutral,-0.000000
2017-03-06,Edward Jones,Not Provided,5,buy,-0.000000
2017-02-24,RBC Capital Markets,12 month,5,outperform,85.000000
2017-02-22,Jefferies,12 month,5,buy,91.000000
2017-02-21,Oppenheimer & Co,12 month,5,outperform,87.000000
2017-02-21,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2017-02-17,UBS,12 month,5,buy,94.000000
2017-01-30,Argus Research Corp,Not Provided,3,hold,-0.000000
2016-12-17,EVA Dimensions,Not Provided,3,hold,-0.000000
2016-12-13,Redburn,Not Provided,3,neutral,-0.000000
2017-05-01,Leerink Partners LLC,12 month,3,market perform,85.000000
2017-05-01,Evercore ISI,Not Provided,5,outperform,88.500000
2017-05-01,Wells Fargo Securities,Not Provided,5,outperform,-0.000000
2017-04-28,Morgan Stanley,12 month,3,Equalwt/In-Line,84.000000
2017-04-24,Cowen,12 month,5,outperform,86.000000
2017-04-24,Barclays,Not Provided,5,overweight,92.000000
2017-04-23,BMO Capital Markets,Not Provided,5,outperform,87.000000
2017-04-20,Northland Securities Inc,Not Provided,3,market perform,80.000000
2017-04-19,SunTrust Robinson Humphrey,Not Provided,5,buy,90.000000
2017-04-18,Edward Jones,Not Provided,5,buy,-0.000000
2017-04-18,J.P. Morgan,9 month,3,neutral,86.000000
2017-04-18,Oppenheimer & Co,12 month,5,outperform,87.000000
2017-04-17,Wedbush,Not Provided,3,neutral,85.000000
2017-04-13,Needham & Co,12 month,5,buy,91.000000
2017-04-12,Argus Research Corp,Not Provided,3,hold,-0.000000
2017-04-12,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2017-03-22,Stifel,12 month,3,hold,84.000000
2017-03-20,BTIG LLC,Not Provided,3,neutral,-0.000000
2017-03-17,Guggenheim Securities,Not Provided,3,neutral,-0.000000
2017-02-24,RBC Capital Markets,12 month,5,outperform,85.000000
2017-02-22,Jefferies,12 month,5,buy,91.000000
2017-02-17,UBS,12 month,5,buy,94.000000
2016-12-17,EVA Dimensions,Not Provided,3,hold,-0.000000
2016-12-13,Redburn,Not Provided,3,neutral,-0.000000
2017-05-15,Needham & Co,12 month,5,buy,91.000000
2017-05-12,Morgan Stanley,12 month,3,Equalwt/In-Line,84.000000
2017-05-12,J.P. Morgan,9 month,3,neutral,86.000000
2017-05-12,Leerink Partners LLC,12 month,3,market perform,85.000000
2017-05-11,SunTrust Robinson Humphrey,12 month,5,buy,90.000000
2017-05-08,BTIG LLC,Not Provided,3,neutral,-0.000000
2017-05-05,Wells Fargo Securities,Not Provided,5,outperform,-0.000000
2017-05-03,Edward Jones,Not Provided,5,buy,-0.000000
2017-05-02,Evercore ISI,12 month,5,outperform,88.500000
2017-04-24,Cowen,12 month,5,outperform,86.000000
2017-04-24,Barclays,Not Provided,5,overweight,92.000000
2017-04-23,BMO Capital Markets,Not Provided,5,outperform,87.000000
2017-04-20,Northland Securities Inc,Not Provided,3,market perform,80.000000
2017-04-18,Oppenheimer & Co,12 month,5,outperform,87.000000
2017-04-17,Wedbush,Not Provided,3,neutral,85.000000
2017-04-12,Argus Research Corp,Not Provided,3,hold,-0.000000
2017-04-12,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2017-03-22,Stifel,12 month,3,hold,84.000000
2017-03-17,Guggenheim Securities,Not Provided,3,neutral,-0.000000
2017-02-24,RBC Capital Markets,12 month,5,outperform,85.000000
2017-02-22,Jefferies,12 month,5,buy,91.000000
2017-02-17,UBS,12 month,5,buy,94.000000
2016-12-17,EVA Dimensions,Not Provided,3,hold,-0.000000
2016-12-13,Redburn,Not Provided,3,neutral,-0.000000
