Date,Firm Name,Period,Rating,Recommendation,Target Price
2005-12-23,Morgan Stanley,Not Provided,3,Equalwt/In-Line,-0.0
2005-12-23,Leerink Partners LLC,Not Provided,3,market perform,-0.0
2005-12-21,Wells Fargo Securities,Not Provided,3,market perform,-0.0
2005-12-21,Cowen,Not Provided,-2147483648,no rating system,-0.0
2005-12-09,UBS,12 month,5,buy 2,25.0
2005-12-06,Prudential Equity Group Inc,12 month,3,neutral weight,23.0
2005-11-22,Natixis Securities Americas LLC,12 month,-2147483648,no rating system,19.5
2005-11-08,EVA Dimensions,Not Provided,1,strong sell,-0.0
2005-10-28,Buckingham Research Group,Not Provided,3,neutral,-0.0
2005-09-27,Goldman Sachs,Not Provided,5,outperf/attractive,-0.0
2005-06-16,Argus Research Corp,Not Provided,5,buy,-0.0
2005-06-15,Gleacher & Company,Not Provided,3,hold,16.0
2005-06-15,Barclays,Not Provided,5,overwt/neutral,24.0
2005-03-22,A.G. Edwards & Sons Inc,Not Provided,3,hold,-0.0
2005-03-15,J.P. Morgan,Not Provided,3,neutral,-0.0
2005-02-25,CIBC World Markets,Not Provided,3,sector perform,-0.0
2005-02-23,J.P. Morgan,Not Provided,3,neutral,-0.0
2006-01-31,Leerink Partners LLC,12 month,3,market perform,22.0
2006-01-19,GARP Research,Not Provided,5,buy,-0.0
2006-01-13,Morgan Stanley,Not Provided,3,Equalwt/In-Line,-0.0
2006-01-12,UBS,12 month,5,buy 2,26.0
2006-01-12,Wells Fargo Securities,Not Provided,3,market perform,-0.0
2006-01-12,Cowen,Not Provided,-2147483648,no rating system,-0.0
2006-01-12,Prudential Equity Group Inc,12 month,3,neutral weight,23.0
2006-01-12,Natixis Securities Americas LLC,12 month,-2147483648,no rating system,23.5
2005-11-08,EVA Dimensions,Not Provided,1,strong sell,-0.0
2005-10-28,Buckingham Research Group,Not Provided,3,neutral,-0.0
2005-09-27,Goldman Sachs,Not Provided,5,outperf/attractive,-0.0
2005-06-16,Argus Research Corp,Not Provided,5,buy,-0.0
2005-06-15,Gleacher & Company,Not Provided,3,hold,16.0
2005-06-15,Barclays,Not Provided,5,overwt/neutral,24.0
2005-03-22,A.G. Edwards & Sons Inc,Not Provided,3,hold,-0.0
2005-03-15,J.P. Morgan,Not Provided,3,neutral,-0.0
2005-02-25,CIBC World Markets,Not Provided,3,sector perform,-0.0
2005-02-23,J.P. Morgan,Not Provided,3,neutral,-0.0
2006-02-24,Leerink Partners LLC,12 month,3,market perform,22.0
2006-02-22,Natixis Securities Americas LLC,12 month,-2147483648,no rating system,23.5
2006-02-21,Cowen,Not Provided,3,neutral,-0.0
2006-02-13,EVA Dimensions,Not Provided,1,strong sell,-0.0
2006-02-03,UBS,12 month,5,buy 2,26.0
2006-02-03,Wells Fargo Securities,Not Provided,5,outperform,-0.0
2006-02-03,GARP Research,Not Provided,5,buy,-0.0
2006-02-03,Gleacher & Company,Not Provided,3,hold,18.0
2006-02-03,Prudential Equity Group Inc,12 month,3,neutral weight,23.0
2006-02-03,Rochdale Securities,Not Provided,3,hold,20.99
2006-02-03,Barclays,Not Provided,5,overwt/neutral,23.0
2006-01-13,Morgan Stanley,Not Provided,3,Equalwt/In-Line,-0.0
2005-10-28,Buckingham Research Group,Not Provided,3,neutral,-0.0
2005-09-27,Goldman Sachs,Not Provided,5,outperf/attractive,-0.0
2005-06-16,Argus Research Corp,Not Provided,5,buy,-0.0
