Date,Firm Name,Period,Rating,Recommendation,Target Price
2017-03-30,Baird,Not Provided,5,outperform,57.000000
2017-03-28,Cowen,Not Provided,3,market perform,53.000000
2017-03-16,Leerink Partners LLC,12 month,5,outperform,56.000000
2017-03-15,Morgan Stanley,12 month,5,Overwt/In-Line,62.000000
2017-03-09,Barclays,Not Provided,5,overweight,55.000000
2017-03-02,Evercore ISI,Not Provided,5,outperform,55.000000
2017-02-23,Janney Montgomery Scott LLC,12 month,5,buy,60.000000
2017-02-17,EVA Dimensions,Not Provided,5,overweight,-0.000000
2017-02-15,Goldman Sachs,12 month,5,Buy/Neutral,56.000000
2017-02-15,Jefferies,12 month,5,buy,59.000000
2017-02-15,Wells Fargo Securities,Not Provided,3,market perform,-0.000000
2017-02-15,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2017-02-15,BTIG LLC,12 month,5,buy,57.000000
2017-02-14,J.P. Morgan,12 month,5,overweight,55.000000
2017-05-01,Cowen,Not Provided,3,market perform,53.000000
2017-04-26,Morgan Stanley,12 month,5,Overwt/In-Line,65.000000
2017-04-21,EVA Dimensions,Not Provided,3,hold,-0.000000
2017-04-19,Janney Montgomery Scott LLC,Not Provided,5,buy,60.000000
2017-04-18,Barclays,Not Provided,5,overweight,55.000000
2017-04-04,Evercore ISI,Not Provided,5,best ideas list,57.000000
2017-04-04,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2017-03-30,Baird,Not Provided,5,outperform,57.000000
2017-03-16,Leerink Partners LLC,12 month,5,outperform,56.000000
2017-02-15,Goldman Sachs,12 month,5,Buy/Neutral,56.000000
2017-02-15,Jefferies,12 month,5,buy,59.000000
2017-02-15,Wells Fargo Securities,Not Provided,3,market perform,-0.000000
2017-02-15,BTIG LLC,12 month,5,buy,57.000000
2017-02-14,J.P. Morgan,12 month,5,overweight,55.000000
2017-05-15,Morgan Stanley,12 month,5,Overwt/In-Line,65.000000
2017-05-05,Janney Montgomery Scott LLC,Not Provided,5,buy,60.000000
2017-05-04,EVA Dimensions,Not Provided,5,overweight,-0.000000
2017-05-03,Evercore ISI,Not Provided,5,outperform,57.000000
2017-05-01,Cowen,Not Provided,3,market perform,53.000000
2017-04-18,Barclays,Not Provided,5,overweight,55.000000
2017-04-04,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2017-03-30,Baird,Not Provided,5,outperform,57.000000
2017-03-16,Leerink Partners LLC,12 month,5,outperform,56.000000
2017-02-15,Goldman Sachs,12 month,5,Buy/Neutral,56.000000
2017-02-15,Jefferies,12 month,5,buy,59.000000
2017-02-15,Wells Fargo Securities,Not Provided,3,market perform,-0.000000
2017-02-15,BTIG LLC,12 month,5,buy,57.000000
2017-02-14,J.P. Morgan,12 month,5,overweight,55.000000
