Date,Firm Name,Period,Rating,Recommendation,Target Price
2017-03-31,RBC Capital Markets,12 month,1,underperform,62.000000
2017-03-31,Cowen,Not Provided,3,market perform,71.000000
2017-03-31,Barclays,Not Provided,3,equalweight,74.000000
2017-03-27,Edward Jones,Not Provided,3,hold,-0.000000
2017-03-23,Stifel,12 month,5,buy,77.000000
2017-03-22,Wells Fargo Securities,Not Provided,5,outperform,-0.000000
2017-03-15,Morgan Stanley,12 month,3,Equalwt/In-Line,68.000000
2017-03-13,UBS,12 month,3,neutral,75.000000
2017-02-17,Jefferies,12 month,3,hold,71.000000
2017-02-07,Independent Research GmbH,12 month,3,hold,74.000000
2017-02-03,Argus Research Corp,Not Provided,5,buy,79.000000
2017-02-02,"Ameriprise Advisor Services, Inc",Not Provided,5,buy,-0.000000
2017-02-02,Berenberg,Not Provided,3,hold,76.000000
2017-02-01,Cenkos Securities Ltd,Not Provided,5,buy,-0.000000
2017-01-09,Goldman Sachs,12 month,3,neutral/neutral,68.000000
2016-12-17,EVA Dimensions,Not Provided,5,overweight,-0.000000
2016-11-16,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2017-05-01,RBC Capital Markets,12 month,1,underperform,62.000000
2017-05-01,Barclays,Not Provided,3,equalweight,74.000000
2017-04-28,Edward Jones,Not Provided,3,hold,-0.000000
2017-04-28,Cowen,Not Provided,3,market perform,71.000000
2017-04-26,Jefferies,Not Provided,3,hold,71.000000
2017-04-26,Wells Fargo Securities,Not Provided,5,outperform,-0.000000
2017-04-18,UBS,12 month,3,neutral,76.000000
2017-04-12,Stifel,12 month,5,buy,77.000000
2017-03-15,Morgan Stanley,12 month,3,Equalwt/In-Line,68.000000
2017-02-07,Independent Research GmbH,12 month,3,hold,74.000000
2017-02-03,Argus Research Corp,Not Provided,5,buy,79.000000
2017-02-02,"Ameriprise Advisor Services, Inc",Not Provided,5,buy,-0.000000
2017-02-02,Berenberg,Not Provided,3,hold,76.000000
2017-02-01,Cenkos Securities Ltd,Not Provided,5,buy,-0.000000
2017-01-09,Goldman Sachs,12 month,3,neutral/neutral,68.000000
2016-12-17,EVA Dimensions,Not Provided,5,overweight,-0.000000
2016-11-16,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2017-05-12,RBC Capital Markets,12 month,1,underperform,62.000000
2017-05-11,Argus Research Corp,Not Provided,5,buy,79.000000
2017-05-09,Independent Research GmbH,12 month,3,hold,74.000000
2017-05-09,Cowen,12 month,3,market perform,74.000000
2017-05-04,Berenberg,Not Provided,3,hold,76.000000
2017-05-03,"Ameriprise Advisor Services, Inc",Not Provided,5,buy,-0.000000
2017-05-03,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2017-05-03,Barclays,Not Provided,3,equalweight,74.000000
2017-05-02,Morgan Stanley,12 month,3,Equalwt/In-Line,68.000000
2017-05-02,Goldman Sachs,12 month,3,neutral/neutral,70.000000
2017-05-02,Edward Jones,Not Provided,3,hold,-0.000000
2017-05-02,Stifel,12 month,5,buy,77.000000
2017-05-02,Wells Fargo Securities,Not Provided,5,outperform,-0.000000
2017-05-02,Cenkos Securities Ltd,Not Provided,5,buy,-0.000000
2017-04-26,Jefferies,Not Provided,3,hold,71.000000
2017-04-18,UBS,12 month,3,neutral,76.000000
2016-12-17,EVA Dimensions,Not Provided,5,overweight,-0.000000
