Date,Firm Name,Period,Rating,Recommendation,Target Price
2017-03-31,Leerink Partners LLC,12 month,5,outperform,100.000000
2017-03-30,Morgan Stanley,12 month,5,Overwt/In-Line,95.000000
2017-03-14,"Morningstar, Inc",Not Provided,5,buy,-0.000000
2017-03-13,Cowen,12 month,3,market perform,98.000000
2017-03-02,Evercore ISI,Not Provided,3,in-line,96.000000
2017-02-28,Argus Research Corp,Not Provided,5,buy,120.000000
2017-02-28,Baird,Not Provided,3,neutral,-0.000000
2017-02-08,Mizuho Securities USA Inc,Not Provided,3,neutral,83.000000
2017-02-01,Goldman Sachs,12 month,3,neutral/neutral,84.000000
2017-02-01,UBS,12 month,3,neutral,87.000000
2017-01-31,Credit Suisse,Not Provided,5,outperform,95.000000
2017-01-31,J.P. Morgan,12 month,3,neutral,91.000000
2017-01-31,Raymond James,Not Provided,3,market perform,-0.000000
2017-01-31,Barclays,Not Provided,3,equalweight,88.000000
2016-12-17,EVA Dimensions,Not Provided,5,buy,-0.000000
2017-05-01,Needham & Co,12 month,5,buy,95.000000
2017-05-01,Barclays,Not Provided,3,equalweight,88.000000
2017-04-26,Morgan Stanley,12 month,5,Overwt/In-Line,93.000000
2017-04-24,Baird,12 month,3,neutral,83.000000
2017-04-21,UBS,12 month,3,neutral,85.000000
2017-04-21,Leerink Partners LLC,12 month,5,outperform,100.000000
2017-04-20,"Morningstar, Inc",Not Provided,5,buy,-0.000000
2017-04-18,Evercore ISI,Not Provided,3,in-line,89.000000
2017-04-11,Goldman Sachs,12 month,3,neutral/neutral,82.000000
2017-03-13,Cowen,12 month,3,market perform,98.000000
2017-02-28,Argus Research Corp,Not Provided,5,buy,120.000000
2017-02-08,Mizuho Securities USA Inc,Not Provided,3,neutral,83.000000
2017-01-31,Credit Suisse,Not Provided,5,outperform,95.000000
2017-01-31,J.P. Morgan,12 month,3,neutral,91.000000
2017-01-31,Raymond James,Not Provided,3,market perform,-0.000000
2016-12-17,EVA Dimensions,Not Provided,5,buy,-0.000000
2017-05-09,Baird,Not Provided,3,neutral,85.000000
2017-05-08,Raymond James,Not Provided,3,market perform,-0.000000
2017-05-05,Goldman Sachs,12 month,3,neutral/neutral,87.000000
2017-05-05,UBS,12 month,3,neutral,87.000000
2017-05-05,J.P. Morgan,9 month,3,neutral,90.000000
2017-05-05,Needham & Co,12 month,5,buy,94.000000
2017-05-04,Credit Suisse,Not Provided,5,outperform,95.000000
2017-05-04,Leerink Partners LLC,12 month,5,outperform,100.000000
2017-05-04,Evercore ISI,Not Provided,3,in-line,89.000000
2017-05-04,Cowen,12 month,3,market perform,97.000000
2017-05-04,"Morningstar, Inc",Not Provided,5,buy,-0.000000
2017-05-04,Barclays,Not Provided,3,equalweight,88.000000
2017-04-26,Morgan Stanley,12 month,5,Overwt/In-Line,93.000000
2017-02-28,Argus Research Corp,Not Provided,5,buy,120.000000
2017-02-08,Mizuho Securities USA Inc,Not Provided,3,neutral,83.000000
2016-12-17,EVA Dimensions,Not Provided,5,buy,-0.000000
