Date,Firm Name,Period,Rating,Recommendation,Target Price
2017-03-31,Longbow Research,Not Provided,3,neutral,-0.000000
2017-03-30,Argus Research Corp,Not Provided,5,buy,32.000000
2017-03-29,Cowen,12 month,3,market perform,25.000000
2017-03-21,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2017-03-02,Goldman Sachs,6 month,1,Sell/Neutral,18.000000
2017-02-17,Macquarie,12 month,3,neutral,27.000000
2017-02-09,Credit Suisse,Not Provided,5,outperform,33.000000
2017-02-02,Spin-Off Research,Not Provided,5,buy,29.000000
2017-02-01,Morgan Stanley,Not Provided,-2147483648,restricted,-0.000000
2017-02-01,Seaport Global Securities,12 month,3,neutral,25.000000
2017-01-17,EVA Dimensions,Not Provided,1,underweight,-0.000000
2017-05-01,Argus Research Corp,Not Provided,5,buy,32.000000
2017-05-01,J.P. Morgan,Not Provided,3,neutral,30.000000
2017-05-01,Cowen,12 month,3,market perform,25.000000
2017-04-27,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2017-04-26,Credit Suisse,Not Provided,-2147483648,restricted,-0.000000
2017-04-26,Spin-Off Research,Not Provided,5,buy,31.000000
2017-04-26,Seaport Global Securities,12 month,3,neutral,27.000000
2017-04-25,EVA Dimensions,Not Provided,3,hold,-0.000000
2017-04-07,Longbow Research,Not Provided,3,neutral,-0.000000
2017-03-02,Goldman Sachs,6 month,1,Sell/Neutral,18.000000
2017-02-01,Morgan Stanley,Not Provided,-2147483648,restricted,-0.000000
2017-05-15,EVA Dimensions,Not Provided,1,underweight,-0.000000
2017-05-10,Argus Research Corp,Not Provided,5,buy,32.000000
2017-05-05,Longbow Research,Not Provided,3,neutral,-0.000000
2017-05-04,Credit Suisse,Not Provided,5,outperform,33.000000
2017-05-04,Seaport Global Securities,12 month,3,neutral,27.000000
2017-05-01,J.P. Morgan,Not Provided,3,neutral,30.000000
2017-05-01,Cowen,12 month,3,market perform,25.000000
2017-04-27,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2017-04-26,Spin-Off Research,Not Provided,5,buy,31.000000
2017-03-02,Goldman Sachs,6 month,1,Sell/Neutral,18.000000
2017-02-01,Morgan Stanley,Not Provided,-2147483648,restricted,-0.000000
