Date,Firm Name,Period,Rating,Recommendation,Target Price
2017-03-31,Oppenheimer & Co,12 month,5,outperform,185.000000
2017-03-31,Telsey Advisory Group,12 month,5,outperform,184.000000
2017-03-31,Wolfe Research,Not Provided,3,peerperform,-0.000000
2017-03-30,Edward Jones,Not Provided,5,buy,-0.000000
2017-03-30,Baird,12 month,5,outperform,200.000000
2017-03-29,Piper Jaffray,12 month,5,overweight,190.000000
2017-03-27,Bernstein,Not Provided,3,market perform,170.000000
2017-03-27,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2017-03-26,Consumer Edge Research,12 month,5,overweight,185.000000
2017-03-24,Northcoast Research,Not Provided,3,neutral,-0.000000
2017-03-22,Evercore ISI,Not Provided,5,outperform,-0.000000
2017-03-20,Wells Fargo Securities,Not Provided,3,market perform,-0.000000
2017-03-17,J.P. Morgan,9 month,5,overweight,190.000000
2017-03-15,RBC Capital Markets,12 month,5,outperform,182.000000
2017-03-08,Argus Research Corp,Not Provided,5,buy,188.000000
2017-03-07,"Ameriprise Advisor Services, Inc",Not Provided,5,buy,-0.000000
2017-03-06,BMO Capital Markets,Not Provided,5,outperform,180.000000
2017-03-06,Daiwa Securities,Not Provided,5,outperform,176.940000
2017-03-03,Morgan Stanley,12 month,5,Overwt/In-Line,180.000000
2017-03-03,Goldman Sachs,12 month,5,Buy/Neutral,193.000000
2017-03-03,Jefferies,12 month,3,hold,156.000000
2017-03-03,Raymond James,Not Provided,3,market perform,-0.000000
2017-03-03,Macquarie,12 month,3,neutral,152.000000
2017-03-03,Stifel,12 month,5,buy,185.000000
2017-03-03,Guggenheim Securities,Not Provided,3,neutral,-0.000000
2017-03-03,Cowen,12 month,5,outperform,190.000000
2017-03-03,Susquehanna Financial,12 month,4,Positive,195.000000
2017-03-03,Barclays,Not Provided,3,equalweight,170.000000
2017-03-02,Credit Suisse,Not Provided,5,outperform,175.000000
2017-03-02,Nomura Instinet,Not Provided,5,buy,185.000000
2017-03-01,EVA Dimensions,Not Provided,3,hold,-0.000000
2017-01-05,UBS,12 month,5,buy,180.000000
2016-04-18,Tigress Financial Partners,Not Provided,5,buy,-0.000000
2006-03-07,Edward Jones,Not Provided,5,buy,-0.000000
2017-05-01,Telsey Advisory Group,12 month,5,outperform,184.000000
2017-05-01,Consumer Edge Research,12 month,5,overweight,185.000000
2017-04-28,Northcoast Research,Not Provided,3,neutral,-0.000000
2017-04-27,Oppenheimer & Co,12 month,5,outperform,185.000000
2017-04-26,Baird,12 month,5,outperform,200.000000
2017-04-26,Bernstein,12 month,3,market perform,170.000000
2017-04-26,Evercore ISI,Not Provided,5,outperform,-0.000000
2017-04-26,Susquehanna Financial,12 month,4,Positive,195.000000
2017-04-25,BMO Capital Markets,Not Provided,5,outperform,195.000000
2017-04-25,RBC Capital Markets,12 month,5,outperform,182.000000
2017-04-25,Edward Jones,Not Provided,5,buy,-0.000000
2017-04-25,J.P. Morgan,12 month,5,overweight,190.000000
2017-04-25,Stifel,12 month,5,buy,185.000000
2017-04-25,Wells Fargo Securities,Not Provided,3,market perform,-0.000000
2017-04-25,Guggenheim Securities,Not Provided,3,neutral,-0.000000
2017-04-21,Wolfe Research,Not Provided,3,peerperform,-0.000000
2017-04-20,Barclays,Not Provided,5,overweight,185.000000
2017-04-18,UBS,12 month,5,buy,190.000000
2017-04-06,Goldman Sachs,12 month,5,Buy/Neutral,190.000000
2017-04-06,Credit Suisse,Not Provided,5,outperform,175.000000
2017-04-05,Cowen,12 month,5,outperform,190.000000
2017-03-27,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2017-03-08,Argus Research Corp,Not Provided,5,buy,188.000000
2017-03-07,"Ameriprise Advisor Services, Inc",Not Provided,5,buy,-0.000000
2017-03-06,Daiwa Securities,Not Provided,5,outperform,176.940000
2017-03-03,Morgan Stanley,12 month,5,Overwt/In-Line,180.000000
2017-03-03,Jefferies,12 month,3,hold,156.000000
2017-03-03,Raymond James,Not Provided,3,market perform,-0.000000
2017-03-03,Macquarie,12 month,3,neutral,152.000000
2017-03-01,EVA Dimensions,Not Provided,3,hold,-0.000000
2016-04-18,Tigress Financial Partners,Not Provided,5,buy,-0.000000
2006-03-07,Edward Jones,Not Provided,5,buy,-0.000000
2017-05-15,Baird,12 month,5,outperform,200.000000
2017-05-12,RBC Capital Markets,12 month,5,outperform,182.000000
2017-05-12,Bernstein,12 month,3,market perform,170.000000
2017-05-12,Telsey Advisory Group,Not Provided,5,outperform,184.000000
2017-05-11,Evercore ISI,Not Provided,5,outperform,-0.000000
2017-05-08,Gordon Haskett,18 month,4,accumulate,191.000000
2017-05-05,J.P. Morgan,9 month,5,overweight,190.000000
2017-05-04,Goldman Sachs,12 month,5,Buy/Neutral,194.000000
2017-05-04,Credit Suisse,Not Provided,5,outperform,187.430000
2017-05-04,Stifel,12 month,5,buy,185.000000
2017-05-04,Wells Fargo Securities,Not Provided,3,market perform,-0.000000
2017-05-04,Guggenheim Securities,Not Provided,3,neutral,-0.000000
2017-05-04,Barclays,Not Provided,5,overweight,185.000000
2017-05-03,Cowen,12 month,5,outperform,190.000000
2017-05-03,Consumer Edge Research,12 month,5,overweight,185.000000
2017-04-28,Northcoast Research,Not Provided,3,neutral,-0.000000
2017-04-27,Oppenheimer & Co,12 month,5,outperform,185.000000
2017-04-26,Susquehanna Financial,12 month,4,Positive,195.000000
2017-04-25,BMO Capital Markets,Not Provided,5,outperform,195.000000
2017-04-25,Edward Jones,Not Provided,5,buy,-0.000000
2017-04-21,Wolfe Research,Not Provided,3,peerperform,-0.000000
2017-04-18,UBS,12 month,5,buy,190.000000
2017-03-27,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2017-03-08,Argus Research Corp,Not Provided,5,buy,188.000000
2017-03-07,"Ameriprise Advisor Services, Inc",Not Provided,5,buy,-0.000000
2017-03-06,Daiwa Securities,Not Provided,5,outperform,176.940000
2017-03-03,Morgan Stanley,12 month,5,Overwt/In-Line,180.000000
2017-03-03,Jefferies,12 month,3,hold,156.000000
2017-03-03,Raymond James,Not Provided,3,market perform,-0.000000
2017-03-03,Macquarie,12 month,3,neutral,152.000000
2017-03-01,EVA Dimensions,Not Provided,3,hold,-0.000000
2016-04-18,Tigress Financial Partners,Not Provided,5,buy,-0.000000
