Date,Firm Name,Period,Rating,Recommendation,Target Price
2017-03-28,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2017-03-23,Goldman Sachs,12 month,3,neutral/neutral,76.000000
2017-03-23,Guggenheim Securities,Not Provided,5,buy,79.000000
2017-03-17,RBC Capital Markets,12 month,3,sector perform,78.000000
2017-03-16,Wells Fargo Securities,Not Provided,5,outperform,-0.000000
2017-03-13,Wolfe Research,Not Provided,1,underperform,74.000000
2017-03-09,Morgan Stanley,12 month,1,Underwt/Attractive,77.000000
2017-03-08,Barclays,Not Provided,3,equalweight,74.000000
2017-02-24,Tudor Pickering & Co,Not Provided,3,hold,75.000000
2017-02-23,Argus Research Corp,Not Provided,3,hold,-0.000000
2017-02-22,Evercore ISI,12 month,3,hold,75.000000
2017-02-17,BMO Capital Markets,Not Provided,3,market perform,75.000000
2017-02-17,Macquarie,12 month,3,neutral,75.000000
2017-02-17,EVA Dimensions,Not Provided,5,buy,-0.000000
2017-02-16,Hilliard Lyons,Not Provided,3,neutral,-0.000000
2017-02-16,Jefferies,12 month,3,hold,72.000000
2017-02-16,KeyBanc Capital Markets,Not Provided,3,sector weight,-0.000000
2017-02-15,J.P. Morgan,12 month,3,neutral,76.000000
2017-02-15,Mizuho Securities USA Inc,Not Provided,3,neutral,67.500000
2017-01-20,UBS,12 month,1,sell,67.000000
2017-05-01,RBC Capital Markets,12 month,3,sector perform,80.000000
2017-05-01,Macquarie,12 month,3,neutral,75.000000
2017-05-01,Wolfe Research,12 month,1,underperform,76.000000
2017-04-27,Hilliard Lyons,Not Provided,3,neutral,-0.000000
2017-04-27,Jefferies,12 month,3,hold,78.000000
2017-04-27,Evercore ISI,12 month,3,in-line,76.000000
2017-04-27,Mizuho Securities USA Inc,12 month,3,neutral,76.000000
2017-04-27,Guggenheim Securities,12 month,5,buy,87.000000
2017-04-27,EVA Dimensions,Not Provided,3,hold,-0.000000
2017-04-26,BMO Capital Markets,Not Provided,3,market perform,78.000000
2017-04-26,J.P. Morgan,9 month,3,neutral,78.000000
2017-04-26,Wells Fargo Securities,Not Provided,5,outperform,-0.000000
2017-04-26,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2017-04-26,Barclays,Not Provided,3,equalweight,78.000000
2017-04-25,Tudor Pickering & Co,Not Provided,3,hold,75.000000
2017-04-20,UBS,12 month,1,sell,70.000000
2017-04-19,KeyBanc Capital Markets,Not Provided,3,sector weight,-0.000000
2017-03-23,Goldman Sachs,12 month,3,neutral/neutral,76.000000
2017-03-09,Morgan Stanley,12 month,1,Underwt/Attractive,77.000000
2017-02-23,Argus Research Corp,Not Provided,3,hold,-0.000000
2017-05-14,RBC Capital Markets,12 month,3,sector perform,80.000000
2017-05-12,Argus Research Corp,Not Provided,3,hold,-0.000000
2017-05-08,Morgan Stanley,12 month,1,Underwt/Attractive,78.000000
2017-05-05,Evercore ISI,Not Provided,3,in-line,76.000000
2017-05-05,Wells Fargo Securities,Not Provided,5,outperform,-0.000000
2017-05-04,Guggenheim Securities,Not Provided,5,buy,87.000000
2017-05-01,Macquarie,12 month,3,neutral,75.000000
2017-05-01,Wolfe Research,12 month,1,underperform,76.000000
2017-04-27,Hilliard Lyons,Not Provided,3,neutral,-0.000000
2017-04-27,Jefferies,12 month,3,hold,78.000000
2017-04-27,Mizuho Securities USA Inc,12 month,3,neutral,76.000000
2017-04-27,EVA Dimensions,Not Provided,3,hold,-0.000000
2017-04-26,BMO Capital Markets,Not Provided,3,market perform,78.000000
2017-04-26,J.P. Morgan,9 month,3,neutral,78.000000
2017-04-26,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2017-04-26,Barclays,Not Provided,3,equalweight,78.000000
2017-04-25,Tudor Pickering & Co,Not Provided,3,hold,75.000000
2017-04-20,UBS,12 month,1,sell,70.000000
2017-04-19,KeyBanc Capital Markets,Not Provided,3,sector weight,-0.000000
2017-03-23,Goldman Sachs,12 month,3,neutral/neutral,76.000000
