Date,Firm Name,Period,Rating,Recommendation,Target Price
2017-04-01,BTIG LLC,12 month,5,buy,28.000000
2017-03-24,Evercore ISI,Not Provided,5,outperform,29.000000
2017-03-22,SunTrust Robinson Humphrey,12 month,5,buy,28.000000
2017-03-22,Wells Fargo Securities,Not Provided,3,market perform,-0.000000
2017-03-17,Goldman Sachs,12 month,3,neutral/cautious,24.000000
2017-03-17,UBS,12 month,3,neutral,25.000000
2017-03-13,Boenning & Scattergood Inc,Not Provided,5,outperform,34.500000
2017-03-07,BMO Capital Markets,Not Provided,5,outperform,31.000000
2017-02-14,Mizuho Securities USA Inc,Not Provided,5,buy,30.000000
2017-02-10,RBC Capital Markets,12 month,5,outperform,29.000000
2017-02-07,Barclays,Not Provided,3,equalweight,26.000000
2017-02-03,J.P. Morgan,12 month,3,neutral,29.000000
2017-02-02,"Sandler O'Neill & Partners, LP",12 month,5,buy,31.000000
2017-01-31,Hilliard Lyons,Not Provided,3,neutral,-0.000000
2017-01-31,Oppenheimer & Co,12 month,5,outperform,35.000000
2017-01-31,"Morningstar, Inc",Not Provided,5,buy,-0.000000
2016-12-17,EVA Dimensions,Not Provided,5,overweight,-0.000000
2009-02-24,Argus Research Corp,Not Provided,3,hold,-0.000000
2017-05-01,RBC Capital Markets,12 month,5,outperform,29.000000
2017-05-01,J.P. Morgan,12 month,3,neutral,29.000000
2017-05-01,"Sandler O'Neill & Partners, LP",12 month,5,buy,31.000000
2017-05-01,Evercore ISI,12 month,5,outperform,27.000000
2017-05-01,Mizuho Securities USA Inc,Not Provided,5,buy,30.000000
2017-05-01,Boenning & Scattergood Inc,12 month,5,outperform,34.500000
2017-05-01,"Morningstar, Inc",Not Provided,5,buy,-0.000000
2017-05-01,Barclays,Not Provided,3,equalweight,25.000000
2017-04-19,SunTrust Robinson Humphrey,Not Provided,5,buy,28.000000
2017-04-18,Wells Fargo Securities,Not Provided,3,market perform,-0.000000
2017-04-18,BTIG LLC,12 month,5,buy,28.000000
2017-04-17,BMO Capital Markets,Not Provided,5,outperform,31.000000
2017-03-17,Goldman Sachs,12 month,3,neutral/cautious,24.000000
2017-03-17,UBS,12 month,3,neutral,25.000000
2017-01-31,Hilliard Lyons,Not Provided,3,neutral,-0.000000
2017-01-31,Oppenheimer & Co,12 month,5,outperform,35.000000
2016-12-17,EVA Dimensions,Not Provided,5,overweight,-0.000000
2009-02-24,Argus Research Corp,Not Provided,3,hold,-0.000000
2017-05-12,Evercore ISI,Not Provided,5,outperform,27.000000
2017-05-10,Boenning & Scattergood Inc,Not Provided,5,outperform,34.500000
2017-05-08,Goldman Sachs,12 month,3,neutral/cautious,23.000000
2017-05-08,RBC Capital Markets,12 month,5,outperform,28.000000
2017-05-03,Hilliard Lyons,Not Provided,3,neutral,-0.000000
2017-05-03,"Sandler O'Neill & Partners, LP",12 month,5,buy,31.000000
2017-05-02,Mizuho Securities USA Inc,12 month,5,buy,30.000000
2017-05-02,Wells Fargo Securities,Not Provided,3,market perform,-0.000000
2017-05-01,J.P. Morgan,12 month,3,neutral,29.000000
2017-05-01,"Morningstar, Inc",Not Provided,5,buy,-0.000000
2017-05-01,Barclays,Not Provided,3,equalweight,25.000000
2017-04-19,SunTrust Robinson Humphrey,Not Provided,5,buy,28.000000
2017-04-18,BTIG LLC,12 month,5,buy,28.000000
2017-04-17,BMO Capital Markets,Not Provided,5,outperform,31.000000
2017-03-17,UBS,12 month,3,neutral,25.000000
2016-12-17,EVA Dimensions,Not Provided,5,overweight,-0.000000
