Date,Firm Name,Period,Rating,Recommendation,Target Price
2017-02-27,"Keefe, Bruyette & Woods",12 month,3,market perform,4.000000
2017-02-27,Wells Fargo Securities,Not Provided,3,market perform,-0.000000
2017-02-21,BTIG LLC,Not Provided,3,neutral,-0.000000
2017-02-09,EVA Dimensions,Not Provided,3,hold,-0.000000
2017-02-08,J.P. Morgan,Not Provided,3,neutral,-0.000000
2017-02-08,Compass Point Research & Trading LLC,12 month,5,buy,5.430000
2017-05-01,BTIG LLC,Not Provided,3,neutral,-0.000000
2017-04-10,"Keefe, Bruyette & Woods",Not Provided,3,market perform,4.000000
2017-04-04,Wells Fargo Securities,Not Provided,3,market perform,-0.000000
2017-04-03,J.P. Morgan,Not Provided,3,neutral,-0.000000
2017-02-09,EVA Dimensions,Not Provided,3,hold,-0.000000
2017-05-14,"Keefe, Bruyette & Woods",Not Provided,3,market perform,4.000000
2017-05-03,J.P. Morgan,Not Provided,3,neutral,-0.000000
2017-05-03,BTIG LLC,Not Provided,3,neutral,-0.000000
2017-05-02,Wells Fargo Securities,Not Provided,3,market perform,-0.000000
2017-02-09,EVA Dimensions,Not Provided,3,hold,-0.000000
