Date,Firm Name,Period,Rating,Recommendation,Target Price
2017-03-30,Jefferies,12 month,3,hold,23.000000
2017-03-30,Bernstein,Not Provided,3,market perform,22.000000
2017-03-28,Barclays,Not Provided,5,overweight,25.000000
2017-03-24,Wells Fargo Securities,Not Provided,5,outperform,-0.000000
2017-03-23,Edward Jones,Not Provided,3,hold,-0.000000
2017-03-23,Raymond James,12 month,5,strong buy,27.000000
2017-03-21,RBC Capital Markets,12 month,3,sector perform,25.000000
2017-03-20,Wolfe Research,12 month,5,outperform,26.000000
2017-03-15,US Capital Advisors,Not Provided,5,overweight,26.000000
2017-03-09,SunTrust Robinson Humphrey,12 month,5,buy,26.000000
2017-03-06,Stifel,12 month,5,buy,25.000000
2017-03-01,BMO Capital Markets,Not Provided,5,outperform,26.000000
2017-02-22,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2017-02-15,Tudor Pickering & Co,Not Provided,5,buy,36.000000
2017-02-10,Morgan Stanley,12 month,5,Overwt/In-Line,25.000000
2017-01-26,Credit Suisse,Not Provided,5,outperform,27.000000
2017-01-23,Argus Research Corp,Not Provided,3,hold,-0.000000
2016-12-17,EVA Dimensions,Not Provided,1,underweight,-0.000000
2016-11-07,J.P. Morgan,18 month,5,overweight,24.000000
2016-11-01,Goldman Sachs,12 month,5,buy/attractive,24.000000
2016-09-12,UBS,12 month,5,buy,27.000000
2011-10-24,IPOfinancial.com,Not Provided,3,hold,-0.000000
2017-05-01,BMO Capital Markets,Not Provided,5,outperform,26.000000
2017-05-01,J.P. Morgan,9 month,5,overweight,25.000000
2017-04-28,RBC Capital Markets,Not Provided,-2147483648,restricted,-0.000000
2017-04-26,Edward Jones,Not Provided,3,hold,-0.000000
2017-04-26,Bernstein,Not Provided,3,market perform,22.000000
2017-04-26,Stifel,12 month,5,buy,25.000000
2017-04-26,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2017-04-25,SunTrust Robinson Humphrey,Not Provided,5,buy,26.000000
2017-04-25,Raymond James,12 month,5,strong buy,27.000000
2017-04-25,Barclays,Not Provided,5,overweight,25.000000
2017-04-25,US Capital Advisors,Not Provided,5,overweight,26.000000
2017-04-24,Argus Research Corp,Not Provided,3,hold,-0.000000
2017-04-24,Wells Fargo Securities,Not Provided,5,outperform,-0.000000
2017-04-24,Wolfe Research,12 month,5,outperform,26.000000
2017-04-21,UBS,12 month,5,buy,28.000000
2017-04-21,Macquarie,12 month,3,neutral,21.000000
2017-04-20,Morgan Stanley,12 month,5,Overwt/In-Line,25.000000
2017-04-20,Credit Suisse,Not Provided,5,outperform,27.000000
2017-04-20,Tudor Pickering & Co,Not Provided,5,buy,36.000000
2017-04-19,Jefferies,12 month,3,hold,23.000000
2017-04-10,Goldman Sachs,12 month,5,buy/attractive,25.000000
2016-12-17,EVA Dimensions,Not Provided,1,underweight,-0.000000
2011-10-24,IPOfinancial.com,Not Provided,3,hold,-0.000000
2017-05-15,Macquarie,12 month,3,neutral,21.000000
2017-05-14,Wells Fargo Securities,12 month,5,outperform,25.000000
2017-05-11,Morgan Stanley,12 month,5,Overwt/In-Line,25.000000
2017-05-11,Raymond James,12 month,5,strong buy,27.000000
2017-05-10,SunTrust Robinson Humphrey,12 month,5,buy,26.000000
2017-05-10,Wolfe Research,12 month,5,outperform,26.000000
2017-05-09,BMO Capital Markets,Not Provided,-2147483648,restricted,-0.000000
2017-05-09,US Capital Advisors,Not Provided,5,overweight,26.000000
2017-05-08,RBC Capital Markets,12 month,3,sector perform,25.000000
2017-05-03,Credit Suisse,Not Provided,-2147483648,restricted,-0.000000
2017-05-03,Edward Jones,Not Provided,3,hold,-0.000000
2017-05-01,J.P. Morgan,9 month,5,overweight,25.000000
2017-04-26,Bernstein,Not Provided,3,market perform,22.000000
2017-04-26,Stifel,12 month,5,buy,25.000000
2017-04-26,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2017-04-25,Barclays,Not Provided,5,overweight,25.000000
2017-04-24,Argus Research Corp,Not Provided,3,hold,-0.000000
2017-04-21,UBS,12 month,5,buy,28.000000
2017-04-20,Tudor Pickering & Co,Not Provided,5,buy,36.000000
2017-04-19,Jefferies,12 month,3,hold,23.000000
2017-04-10,Goldman Sachs,12 month,5,buy/attractive,25.000000
2016-12-17,EVA Dimensions,Not Provided,1,underweight,-0.000000
