Date,Firm Name,Period,Rating,Recommendation,Target Price
2017-03-31,Credit Suisse,Not Provided,5,outperform,183.000000
2017-03-30,Vertical Research Partners,Not Provided,3,hold,169.000000
2017-03-27,J.P. Morgan,Not Provided,5,overweight,190.000000
2017-03-17,Baird,12 month,5,outperform,201.000000
2017-03-16,RBC Capital Markets,12 month,3,sector perform,159.000000
2017-03-16,Buckingham Research Group,12 month,5,buy,197.000000
2017-03-08,Jefferies,12 month,3,hold,160.000000
2017-03-04,EVA Dimensions,Not Provided,5,overweight,-0.000000
2017-03-03,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2017-02-24,Goldman Sachs,12 month,5,buy/attractive,183.000000
2017-02-15,Barclays,Not Provided,5,overweight,175.000000
2017-02-01,Drexel Hamilton LLC,Not Provided,3,hold,-0.000000
2017-01-26,Stifel,12 month,3,hold,170.000000
2017-01-26,Cowen,12 month,5,outperform,170.000000
2017-05-01,J.P. Morgan,Not Provided,5,overweight,190.000000
2017-05-01,Barclays,Not Provided,3,equalweight,175.000000
2017-05-01,Vertical Research Partners,Not Provided,3,hold,177.000000
2017-05-01,Drexel Hamilton LLC,Not Provided,3,hold,-0.000000
2017-04-28,RBC Capital Markets,12 month,3,sector perform,178.000000
2017-04-28,Stifel,12 month,3,hold,170.000000
2017-04-28,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2017-04-27,Goldman Sachs,12 month,5,buy/attractive,186.000000
2017-04-27,Credit Suisse,Not Provided,5,outperform,193.000000
2017-04-27,Jefferies,12 month,3,hold,170.000000
2017-04-27,Baird,12 month,5,outperform,201.000000
2017-04-27,Buckingham Research Group,12 month,5,buy,197.000000
2017-04-27,Cowen,12 month,5,outperform,185.000000
2017-03-04,EVA Dimensions,Not Provided,5,overweight,-0.000000
2017-05-13,EVA Dimensions,Not Provided,3,hold,-0.000000
2017-05-12,RBC Capital Markets,12 month,3,sector perform,178.000000
2017-05-11,Buckingham Research Group,12 month,5,buy,199.000000
2017-05-11,Vertical Research Partners,Not Provided,3,hold,177.000000
2017-05-05,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2017-05-01,J.P. Morgan,Not Provided,5,overweight,190.000000
2017-05-01,Barclays,Not Provided,3,equalweight,175.000000
2017-05-01,Drexel Hamilton LLC,Not Provided,3,hold,-0.000000
2017-04-28,Stifel,12 month,3,hold,170.000000
2017-04-27,Goldman Sachs,12 month,5,buy/attractive,186.000000
2017-04-27,Credit Suisse,Not Provided,5,outperform,193.000000
2017-04-27,Jefferies,12 month,3,hold,170.000000
2017-04-27,Baird,12 month,5,outperform,201.000000
2017-04-27,Cowen,12 month,5,outperform,185.000000
