Date,Firm Name,Period,Rating,Recommendation,Target Price
2017-03-27,Barclays,Not Provided,5,overweight,175.000000
2017-03-26,Baird,Not Provided,3,neutral,150.000000
2017-03-24,Piper Jaffray,12 month,5,overweight,164.000000
2017-03-17,William Blair & Co,Not Provided,5,outperform,-0.000000
2017-03-13,Morgan Stanley,12 month,5,Overwt/In-Line,153.000000
2017-03-05,KeyBanc Capital Markets,Not Provided,5,overweight,151.000000
2017-03-02,Evercore ISI,Not Provided,5,outperform,155.000000
2017-02-25,Gabelli & Co,Not Provided,5,buy,-0.000000
2017-02-24,Mizuho Securities USA Inc,Not Provided,3,neutral,-0.000000
2017-02-24,Craig-Hallum Capital Group LLC,12 month,5,buy,160.000000
2017-02-23,Credit Suisse,Not Provided,5,outperform,148.000000
2017-02-23,Raymond James,12 month,5,outperform,155.000000
2017-02-17,UBS,12 month,3,neutral,143.000000
2017-02-17,Jefferies,12 month,3,hold,159.000000
2017-02-17,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2017-02-16,Goldman Sachs,6 month,3,neutral/attractive,137.000000
2017-02-16,SunTrust Robinson Humphrey,12 month,5,buy,160.000000
2017-02-16,J.P. Morgan,12 month,5,overweight,158.000000
2017-02-16,Canaccord Genuity,12 month,5,buy,150.000000
2017-02-16,Wells Fargo Securities,Not Provided,3,market perform,-0.000000
2016-12-17,EVA Dimensions,Not Provided,5,overweight,-0.000000
2017-05-01,Morgan Stanley,12 month,5,Overwt/In-Line,153.000000
2017-05-01,Jefferies,12 month,3,hold,157.000000
2017-04-28,Baird,Not Provided,3,neutral,150.000000
2017-04-28,Barclays,Not Provided,5,overweight,175.000000
2017-04-26,Goldman Sachs,6 month,3,neutral/attractive,140.000000
2017-04-26,Wells Fargo Securities,Not Provided,3,market perform,-0.000000
2017-04-26,Gabelli & Co,Not Provided,5,buy,-0.000000
2017-04-25,Credit Suisse,Not Provided,5,outperform,146.000000
2017-04-25,SunTrust Robinson Humphrey,12 month,5,buy,160.000000
2017-04-25,J.P. Morgan,9 month,5,overweight,158.000000
2017-04-25,William Blair & Co,Not Provided,5,outperform,-0.000000
2017-04-25,Raymond James,12 month,5,outperform,155.000000
2017-04-25,Canaccord Genuity,12 month,5,buy,155.000000
2017-04-25,Evercore ISI,12 month,5,outperform,151.000000
2017-04-25,Mizuho Securities USA Inc,12 month,3,neutral,139.000000
2017-04-25,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2017-04-25,Craig-Hallum Capital Group LLC,12 month,5,buy,160.000000
2017-04-25,Piper Jaffray,12 month,5,overweight,163.000000
2017-03-05,KeyBanc Capital Markets,Not Provided,5,overweight,151.000000
2017-02-17,UBS,12 month,3,neutral,143.000000
2016-12-17,EVA Dimensions,Not Provided,5,overweight,-0.000000
2017-05-12,Baird,Not Provided,3,neutral,150.000000
2017-05-10,SunTrust Robinson Humphrey,12 month,5,buy,160.000000
2017-05-07,Craig-Hallum Capital Group LLC,12 month,5,buy,159.000000
2017-05-05,Raymond James,12 month,5,outperform,155.000000
2017-05-04,Morgan Stanley,12 month,5,Overwt/In-Line,151.000000
2017-05-03,Evercore ISI,Not Provided,5,outperform,151.000000
2017-05-01,Jefferies,12 month,3,hold,157.000000
2017-04-28,Barclays,Not Provided,5,overweight,175.000000
2017-04-26,Goldman Sachs,6 month,3,neutral/attractive,140.000000
2017-04-26,Wells Fargo Securities,Not Provided,3,market perform,-0.000000
2017-04-26,Gabelli & Co,Not Provided,5,buy,-0.000000
2017-04-25,Credit Suisse,Not Provided,5,outperform,146.000000
2017-04-25,J.P. Morgan,9 month,5,overweight,158.000000
2017-04-25,William Blair & Co,Not Provided,5,outperform,-0.000000
2017-04-25,Canaccord Genuity,12 month,5,buy,155.000000
2017-04-25,Mizuho Securities USA Inc,12 month,3,neutral,139.000000
2017-04-25,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2017-04-25,Piper Jaffray,12 month,5,overweight,163.000000
2017-03-05,KeyBanc Capital Markets,Not Provided,5,overweight,151.000000
2017-02-17,UBS,12 month,3,neutral,143.000000
2016-12-17,EVA Dimensions,Not Provided,5,overweight,-0.000000
