Date,Firm Name,Period,Rating,Recommendation,Target Price
2017-03-30,Wedbush,Not Provided,3,neutral,46.000000
2017-03-27,RBC Capital Markets,12 month,5,outperform,60.000000
2017-03-27,Argus Research Corp,Not Provided,5,buy,57.000000
2017-03-27,Buckingham Research Group,12 month,5,buy,58.000000
2017-03-26,KeyBanc Capital Markets,Not Provided,3,sector weight,-0.000000
2017-03-23,J.P. Morgan,Not Provided,-2147483648,Rating Suspended,-0.000000
2017-03-23,JMP Securities,Not Provided,3,market perform,-0.000000
2017-03-22,Evercore ISI,12 month,5,outperform,54.000000
2017-03-22,Susquehanna Financial,12 month,4,Positive,61.000000
2017-03-22,MKM Partners,12 month,3,neutral,55.000000
2017-03-21,"Keefe, Bruyette & Woods",12 month,5,outperform,57.000000
2017-03-21,Wells Fargo Securities,Not Provided,3,market perform,-0.000000
2017-03-21,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2017-03-21,BTIG LLC,12 month,5,buy,59.000000
2017-03-21,Barclays,Not Provided,5,overweight,56.000000
2017-03-11,EVA Dimensions,Not Provided,3,hold,-0.000000
2017-03-07,Raymond James,12 month,5,strong buy,51.000000
2016-09-12,M Science,Not Provided,-2147483648,no rating system,-0.000000
2016-03-29,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2016-02-18,FBN Securities,Not Provided,3,sector perform,-0.000000
2017-05-01,Buckingham Research Group,Not Provided,5,buy,58.000000
2017-05-01,Susquehanna Financial,12 month,4,Positive,61.000000
2017-04-28,Wells Fargo Securities,Not Provided,3,market perform,-0.000000
2017-04-26,"Keefe, Bruyette & Woods",12 month,5,outperform,57.000000
2017-04-24,KeyBanc Capital Markets,Not Provided,3,sector weight,-0.000000
2017-04-24,BTIG LLC,12 month,5,buy,59.000000
2017-04-24,Barclays,Not Provided,5,overweight,56.000000
2017-04-19,Wedbush,Not Provided,3,neutral,46.000000
2017-04-18,RBC Capital Markets,12 month,5,outperform,60.000000
2017-04-18,EVA Dimensions,Not Provided,3,hold,-0.000000
2017-04-13,Raymond James,12 month,5,strong buy,60.000000
2017-04-10,Evercore ISI,12 month,5,outperform,54.000000
2017-03-27,Argus Research Corp,Not Provided,5,buy,57.000000
2017-03-23,J.P. Morgan,Not Provided,-2147483648,Rating Suspended,-0.000000
2017-03-23,JMP Securities,Not Provided,3,market perform,-0.000000
2017-03-22,MKM Partners,12 month,3,neutral,55.000000
2017-03-21,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2016-09-12,M Science,Not Provided,-2147483648,no rating system,-0.000000
2016-03-29,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2016-02-18,FBN Securities,Not Provided,3,sector perform,-0.000000
2017-05-12,Wedbush,Not Provided,3,neutral,46.000000
2017-05-10,Buckingham Research Group,12 month,5,buy,58.000000
2017-05-09,Argus Research Corp,Not Provided,5,buy,57.000000
2017-05-09,EVA Dimensions,Not Provided,1,underweight,-0.000000
2017-05-03,MKM Partners,Not Provided,3,neutral,55.000000
2017-05-02,KeyBanc Capital Markets,Not Provided,3,sector weight,-0.000000
2017-05-01,Susquehanna Financial,12 month,4,Positive,61.000000
2017-04-28,Wells Fargo Securities,Not Provided,3,market perform,-0.000000
2017-04-26,"Keefe, Bruyette & Woods",12 month,5,outperform,57.000000
2017-04-24,BTIG LLC,12 month,5,buy,59.000000
2017-04-24,Barclays,Not Provided,5,overweight,56.000000
2017-04-18,RBC Capital Markets,12 month,5,outperform,60.000000
2017-04-13,Raymond James,12 month,5,strong buy,60.000000
2017-04-10,Evercore ISI,12 month,5,outperform,54.000000
2017-03-23,J.P. Morgan,Not Provided,-2147483648,Rating Suspended,-0.000000
2017-03-23,JMP Securities,Not Provided,3,market perform,-0.000000
2017-03-21,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2016-09-12,M Science,Not Provided,-2147483648,no rating system,-0.000000
2016-02-18,FBN Securities,Not Provided,3,sector perform,-0.000000
