Date,Firm Name,Period,Rating,Recommendation,Target Price
2017-03-31,Cantor Fitzgerald,Not Provided,5,overweight,107.000000
2017-03-30,Jefferies,12 month,5,buy,115.000000
2017-03-27,Barclays,Not Provided,5,overweight,116.000000
2017-03-20,BTIG LLC,Not Provided,3,neutral,-0.000000
2017-03-17,SunTrust Robinson Humphrey,Not Provided,5,buy,110.000000
2017-03-17,Baird,Not Provided,5,outperform,108.000000
2017-03-14,UBS,12 month,5,buy,107.000000
2017-03-10,Janney Montgomery Scott LLC,Not Provided,5,buy,105.000000
2017-02-23,Raymond James,12 month,5,outperform,105.000000
2017-02-21,KeyBanc Capital Markets,12 month,5,overweight,113.000000
2017-02-17,BMO Capital Markets,Not Provided,5,outperform,105.000000
2017-02-09,"Capital One Securities, Inc.",Not Provided,3,equalweight,100.000000
2017-02-06,RBC Capital Markets,12 month,5,outperform,105.000000
2017-02-06,Mizuho Securities USA Inc,Not Provided,3,neutral,94.000000
2017-02-03,D.A. Davidson & Co,12 month,5,buy,110.000000
2017-02-02,Hilliard Lyons,Not Provided,3,neutral,-0.000000
2017-02-02,JMP Securities,Not Provided,4,market outperform,105.000000
2017-02-01,National Securities,12 month,3,neutral,81.000000
2016-12-22,Oppenheimer & Co,12 month,5,outperform,115.000000
2016-12-17,EVA Dimensions,Not Provided,1,sell,-0.000000
2017-05-01,Raymond James,12 month,5,outperform,105.000000
2017-05-01,Cantor Fitzgerald,Not Provided,5,overweight,110.000000
2017-05-01,Mizuho Securities USA Inc,Not Provided,3,neutral,99.000000
2017-04-28,D.A. Davidson & Co,12 month,5,buy,110.000000
2017-04-28,Hilliard Lyons,Not Provided,3,neutral,-0.000000
2017-04-28,"Capital One Securities, Inc.",Not Provided,3,equalweight,100.000000
2017-04-28,JMP Securities,Not Provided,4,market outperform,110.000000
2017-04-27,BMO Capital Markets,Not Provided,5,outperform,105.000000
2017-04-27,SunTrust Robinson Humphrey,Not Provided,5,buy,110.000000
2017-04-27,Janney Montgomery Scott LLC,Not Provided,5,buy,105.000000
2017-04-26,RBC Capital Markets,12 month,5,outperform,105.000000
2017-04-26,Jefferies,12 month,5,buy,115.000000
2017-04-26,Baird,12 month,5,outperform,108.000000
2017-04-26,Barclays,Not Provided,5,overweight,117.000000
2017-04-12,KeyBanc Capital Markets,Not Provided,5,overweight,113.000000
2017-04-10,BTIG LLC,Not Provided,3,neutral,-0.000000
2017-04-04,UBS,12 month,5,buy,107.000000
2017-02-01,National Securities,12 month,3,neutral,81.000000
2016-12-22,Oppenheimer & Co,12 month,5,outperform,115.000000
2016-12-17,EVA Dimensions,Not Provided,1,sell,-0.000000
2017-05-12,Baird,Not Provided,5,outperform,108.000000
2017-05-12,"Capital One Securities, Inc.",Not Provided,3,equalweight,100.000000
2017-05-12,Barclays,Not Provided,5,overweight,117.000000
2017-05-10,RBC Capital Markets,12 month,5,outperform,108.000000
2017-05-08,UBS,12 month,5,buy,107.000000
2017-05-04,BTIG LLC,Not Provided,3,neutral,-0.000000
2017-05-03,D.A. Davidson & Co,Not Provided,5,buy,-0.000000
2017-05-02,KeyBanc Capital Markets,12 month,5,overweight,113.000000
2017-05-01,Raymond James,12 month,5,outperform,105.000000
2017-05-01,Cantor Fitzgerald,Not Provided,5,overweight,110.000000
2017-05-01,Mizuho Securities USA Inc,Not Provided,3,neutral,99.000000
2017-04-28,Hilliard Lyons,Not Provided,3,neutral,-0.000000
2017-04-28,JMP Securities,Not Provided,4,market outperform,110.000000
2017-04-27,BMO Capital Markets,Not Provided,5,outperform,105.000000
2017-04-27,SunTrust Robinson Humphrey,Not Provided,5,buy,110.000000
2017-04-27,Janney Montgomery Scott LLC,Not Provided,5,buy,105.000000
2017-04-26,Jefferies,12 month,5,buy,115.000000
2017-02-01,National Securities,12 month,3,neutral,81.000000
2016-12-17,EVA Dimensions,Not Provided,1,sell,-0.000000
