Date,Firm Name,Period,Rating,Recommendation,Target Price
2005-12-23,Credit Suisse,12 month,3,neutral,40.0
2005-12-16,BMO Capital Markets,Not Provided,5,outperform,40.0
2005-11-04,RBC Capital Markets,Not Provided,3,sector perform,39.0
2005-11-03,Jefferies,Not Provided,3,hold,37.5
2005-11-03,Barclays,Not Provided,5,overwt/negative,41.0
2005-11-02,Prudential Equity Group Inc,Not Provided,3,neutral weight,40.0
2005-10-26,EVA Dimensions,Not Provided,5,buy,-0.0
2005-05-26,Goldman Sachs,Not Provided,3,in-line,-0.0
2005-05-09,Bernstein,Not Provided,5,outperform,43.0
2005-03-21,Morgan Stanley,Not Provided,5,Overwt/Cautious,-0.0
2004-09-08,J.P. Morgan,Not Provided,5,overweight,-0.0
2006-01-27,J.P. Morgan,Not Provided,5,overweight,-0.0
2006-01-25,Prudential Equity Group Inc,Not Provided,3,neutral weight,40.0
2006-01-17,Goldman Sachs,Not Provided,3,in-line/cautious,-0.0
2006-01-11,BMO Capital Markets,Not Provided,5,outperform,40.0
2006-01-11,Morgan Stanley,Not Provided,5,Overwt/Cautious,36.0
2005-12-23,Credit Suisse,12 month,3,neutral,40.0
2005-11-04,RBC Capital Markets,Not Provided,3,sector perform,39.0
2005-11-03,Jefferies,Not Provided,3,hold,37.5
2005-11-03,Barclays,Not Provided,5,overwt/negative,41.0
2005-10-26,EVA Dimensions,Not Provided,5,buy,-0.0
2005-05-09,Bernstein,Not Provided,5,outperform,43.0
2006-02-21,BMO Capital Markets,Not Provided,5,outperform,40.0
2006-02-21,Credit Suisse,12 month,3,neutral,40.0
2006-02-21,Jefferies,Not Provided,3,hold,39.0
2006-02-21,EVA Dimensions,Not Provided,5,strong buy,-0.0
2006-01-27,J.P. Morgan,Not Provided,5,overweight,-0.0
2006-01-25,Prudential Equity Group Inc,Not Provided,3,neutral weight,40.0
2006-01-17,Goldman Sachs,Not Provided,3,in-line/cautious,-0.0
2006-01-11,Morgan Stanley,Not Provided,5,Overwt/Cautious,36.0
2005-11-04,RBC Capital Markets,Not Provided,3,sector perform,39.0
2005-11-03,Barclays,Not Provided,5,overwt/negative,41.0
2005-05-09,Bernstein,Not Provided,5,outperform,43.0
2006-03-24,BMO Capital Markets,Not Provided,5,outperform,42.0
2006-03-10,Barclays,Not Provided,5,overwt/negative,41.0
2006-03-07,Jefferies,Not Provided,3,hold,39.5
2006-03-07,Prudential Equity Group Inc,Not Provided,3,neutral weight,41.0
2006-03-03,RBC Capital Markets,Not Provided,3,sector perform,40.0
2006-03-03,Credit Suisse,12 month,3,neutral,42.0
2006-02-21,EVA Dimensions,Not Provided,5,strong buy,-0.0
2006-01-27,J.P. Morgan,Not Provided,5,overweight,-0.0
2006-01-17,Goldman Sachs,Not Provided,3,in-line/cautious,-0.0
2005-05-09,Bernstein,Not Provided,5,outperform,43.0
2006-04-05,Barclays,Not Provided,5,overwt/negative,42.0
2006-03-24,BMO Capital Markets,Not Provided,5,outperform,42.0
2006-03-07,Jefferies,Not Provided,3,hold,39.5
2006-03-07,Prudential Equity Group Inc,Not Provided,3,neutral weight,41.0
2006-03-03,RBC Capital Markets,Not Provided,3,sector perform,40.0
2006-03-03,Credit Suisse,12 month,3,neutral,42.0
2006-02-21,EVA Dimensions,Not Provided,5,strong buy,-0.0
2006-01-27,J.P. Morgan,Not Provided,5,overweight,-0.0
2006-01-17,Goldman Sachs,Not Provided,3,in-line/cautious,-0.0
2005-05-09,Bernstein,Not Provided,5,outperform,43.0
2006-05-30,Credit Suisse,12 month,3,neutral,41.0
2006-05-30,Credit Suisse,12 month,3,neutral,41.0
2006-05-08,Barclays,Not Provided,3,equalwt/negative,41.0
2006-05-05,Jefferies,Not Provided,3,hold,39.5
2006-05-05,EVA Dimensions,Not Provided,5,strong buy,-0.0
