Date,Firm Name,Period,Rating,Recommendation,Target Price
2017-03-30,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2017-03-29,Evercore ISI,Not Provided,1,underperform,107.000000
2017-03-27,"Monness, Crespi, Hardt & Co",Not Provided,3,neutral,-0.000000
2017-03-22,Edward Jones,Not Provided,5,buy,-0.000000
2017-03-22,Vertical Research Partners,Not Provided,3,hold,121.000000
2017-03-20,Jefferies,12 month,5,buy,140.000000
2017-03-15,Atlantic Equities LLP,12 month,5,overweight,130.000000
2017-03-13,Raymond James,Not Provided,5,strong buy,131.000000
2017-02-27,Seaport Global Securities,Not Provided,3,neutral,128.000000
2017-02-07,Argus Research Corp,Not Provided,3,hold,-0.000000
2017-02-06,Susquehanna Financial,12 month,3,neutral,125.000000
2017-01-29,SunTrust Robinson Humphrey,12 month,5,buy,133.000000
2017-01-27,UBS,12 month,5,buy,131.000000
2017-01-27,J.P. Morgan,12 month,5,overweight,125.000000
2017-01-27,Baird,12 month,3,neutral,127.000000
2017-01-27,Barclays,Not Provided,3,equalweight,125.000000
2017-01-26,KeyBanc Capital Markets,Not Provided,3,sector weight,-0.000000
2017-01-16,Societe Generale,12 month,5,buy,140.000000
2016-12-20,Goldman Sachs,Not Provided,-2147483648,not rated,-0.000000
2016-12-17,EVA Dimensions,Not Provided,1,underweight,-0.000000
2016-12-02,Morgan Stanley,Not Provided,-2147483648,restricted,-0.000000
2016-11-29,Credit Suisse,Not Provided,-2147483648,restricted,-0.000000
2016-11-28,HSBC,Not Provided,3,hold,113.000000
2016-08-25,Alembic Global Advisors,Not Provided,5,overweight,149.000000
2016-01-11,Tigress Financial Partners,Not Provided,3,neutral,-0.000000
2017-05-01,"Monness, Crespi, Hardt & Co",Not Provided,3,neutral,-0.000000
2017-05-01,Barclays,Not Provided,3,equalweight,135.000000
2017-05-01,Alembic Global Advisors,Not Provided,5,overweight,149.000000
2017-04-28,UBS,12 month,5,buy,138.000000
2017-04-28,J.P. Morgan,9 month,5,overweight,130.000000
2017-04-28,Vertical Research Partners,Not Provided,3,hold,123.000000
2017-04-27,Edward Jones,Not Provided,5,buy,-0.000000
2017-04-27,SunTrust Robinson Humphrey,12 month,5,buy,133.000000
2017-04-27,Jefferies,12 month,5,buy,140.000000
2017-04-27,Baird,12 month,3,neutral,129.000000
2017-04-27,KeyBanc Capital Markets,Not Provided,3,sector weight,-0.000000
2017-04-27,Raymond James,Not Provided,5,strong buy,135.000000
2017-04-27,Evercore ISI,Not Provided,1,underweight,107.000000
2017-04-27,Seaport Global Securities,12 month,3,neutral,128.000000
2017-04-27,Atlantic Equities LLP,12 month,5,overweight,130.000000
2017-04-12,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2017-02-07,Argus Research Corp,Not Provided,3,hold,-0.000000
2017-02-06,Susquehanna Financial,12 month,3,neutral,125.000000
2017-01-16,Societe Generale,12 month,5,buy,140.000000
2016-12-20,Goldman Sachs,Not Provided,-2147483648,not rated,-0.000000
2016-12-17,EVA Dimensions,Not Provided,1,underweight,-0.000000
2016-12-02,Morgan Stanley,Not Provided,-2147483648,restricted,-0.000000
2016-11-29,Credit Suisse,Not Provided,-2147483648,restricted,-0.000000
2016-11-28,HSBC,Not Provided,3,hold,113.000000
2017-05-15,"Monness, Crespi, Hardt & Co",Not Provided,3,neutral,-0.000000
2017-05-11,Societe Generale,12 month,5,buy,148.000000
2017-05-11,Jefferies,12 month,5,buy,140.000000
2017-05-11,Susquehanna Financial,12 month,3,neutral,131.000000
2017-05-08,Argus Research Corp,Not Provided,3,hold,-0.000000
2017-05-08,Evercore ISI,Not Provided,1,underperform,108.000000
2017-05-08,Seaport Global Securities,Not Provided,3,neutral,128.000000
2017-05-04,HSBC,Not Provided,3,hold,117.000000
2017-05-01,Barclays,Not Provided,3,equalweight,135.000000
2017-05-01,Alembic Global Advisors,Not Provided,5,overweight,149.000000
2017-04-28,UBS,12 month,5,buy,138.000000
2017-04-28,J.P. Morgan,9 month,5,overweight,130.000000
2017-04-28,Vertical Research Partners,Not Provided,3,hold,123.000000
2017-04-27,Edward Jones,Not Provided,5,buy,-0.000000
2017-04-27,SunTrust Robinson Humphrey,12 month,5,buy,133.000000
2017-04-27,Baird,12 month,3,neutral,129.000000
2017-04-27,KeyBanc Capital Markets,Not Provided,3,sector weight,-0.000000
2017-04-27,Raymond James,Not Provided,5,strong buy,135.000000
2017-04-27,Atlantic Equities LLP,12 month,5,overweight,130.000000
2017-04-12,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2016-12-20,Goldman Sachs,Not Provided,-2147483648,not rated,-0.000000
2016-12-17,EVA Dimensions,Not Provided,1,underweight,-0.000000
2016-12-02,Morgan Stanley,Not Provided,-2147483648,restricted,-0.000000
2016-11-29,Credit Suisse,Not Provided,-2147483648,restricted,-0.000000
