Date,Firm Name,Period,Rating,Recommendation,Target Price
2017-03-27,Jefferies,12 month,5,buy,84.000000
2017-03-24,Edward Jones,Not Provided,3,hold,-0.000000
2017-03-23,"Morningstar, Inc",Not Provided,5,buy,-0.000000
2017-03-16,Morgan Stanley,12 month,1,Underwt/In-Line,64.000000
2017-03-15,Goldman Sachs,12 month,3,neutral/neutral,73.000000
2017-03-02,Evercore ISI,Not Provided,3,in-line,74.000000
2017-02-28,Gabelli & Co,Not Provided,5,buy,-0.000000
2017-02-26,"Keefe, Bruyette & Woods",Not Provided,3,market perform,70.000000
2017-02-03,UBS,12 month,5,buy,85.000000
2017-02-03,J.P. Morgan,12 month,1,underweight,63.000000
2017-02-03,Wells Fargo Securities,Not Provided,3,market perform,-0.000000
2017-02-02,Credit Suisse,Not Provided,3,neutral,62.000000
2017-02-01,EVA Dimensions,Not Provided,5,buy,-0.000000
2017-01-27,Argus Research Corp,Not Provided,5,buy,80.000000
2017-01-26,William Blair & Co,Not Provided,5,outperform,-0.000000
2017-04-26,Argus Research Corp,Not Provided,3,hold,-0.000000
2017-04-26,Credit Suisse,Not Provided,3,neutral,63.000000
2017-04-26,UBS,12 month,5,buy,77.000000
2017-04-26,Gabelli & Co,Not Provided,5,buy,-0.000000
2017-04-25,Edward Jones,Not Provided,3,hold,-0.000000
2017-04-25,J.P. Morgan,9 month,1,underweight,66.000000
2017-04-25,Jefferies,12 month,5,buy,83.000000
2017-04-25,"Keefe, Bruyette & Woods",12 month,3,market perform,71.000000
2017-04-25,William Blair & Co,Not Provided,5,outperform,-0.000000
2017-04-25,Evercore ISI,Not Provided,3,in-line,74.000000
2017-04-25,Wells Fargo Securities,Not Provided,3,market perform,-0.000000
2017-04-06,"Morningstar, Inc",Not Provided,5,buy,-0.000000
2017-04-04,Goldman Sachs,12 month,3,neutral/neutral,72.000000
2017-03-16,Morgan Stanley,12 month,1,Underwt/In-Line,64.000000
2017-02-01,EVA Dimensions,Not Provided,5,buy,-0.000000
2017-05-10,Jefferies,12 month,5,buy,83.000000
2017-05-05,Evercore ISI,Not Provided,3,in-line,74.000000
2017-04-26,Argus Research Corp,Not Provided,3,hold,-0.000000
2017-04-26,Credit Suisse,Not Provided,3,neutral,63.000000
2017-04-26,UBS,12 month,5,buy,77.000000
2017-04-26,Gabelli & Co,Not Provided,5,buy,-0.000000
2017-04-25,Edward Jones,Not Provided,3,hold,-0.000000
2017-04-25,J.P. Morgan,9 month,1,underweight,66.000000
2017-04-25,"Keefe, Bruyette & Woods",12 month,3,market perform,71.000000
2017-04-25,William Blair & Co,Not Provided,5,outperform,-0.000000
2017-04-25,Wells Fargo Securities,Not Provided,3,market perform,-0.000000
2017-04-06,"Morningstar, Inc",Not Provided,5,buy,-0.000000
2017-04-04,Goldman Sachs,12 month,3,neutral/neutral,72.000000
2017-03-16,Morgan Stanley,12 month,1,Underwt/In-Line,64.000000
2017-02-01,EVA Dimensions,Not Provided,5,buy,-0.000000
