Date,Firm Name,Period,Rating,Recommendation,Target Price
2005-12-27,Barclays,Not Provided,5,overwt/neutral,19.0
2005-11-10,EVA Dimensions,Not Provided,1,strong sell,-0.0
2005-10-24,Morgan Stanley,Not Provided,5,Overwt/In-Line,16.0
2005-06-06,White Mountain Capital,Not Provided,3,hold,-0.0
2005-05-24,Soleil Securities,Not Provided,3,hold,5.0
2005-04-14,Canaccord Genuity,Not Provided,3,market perform,-0.0
2006-01-05,Canaccord Genuity,Not Provided,3,hold,-0.0
2005-12-27,Barclays,Not Provided,5,overwt/neutral,19.0
2005-11-10,EVA Dimensions,Not Provided,1,strong sell,-0.0
2005-10-24,Morgan Stanley,Not Provided,5,Overwt/In-Line,16.0
2005-06-06,White Mountain Capital,Not Provided,3,hold,-0.0
2005-05-24,Soleil Securities,Not Provided,3,hold,5.0
2006-03-01,EVA Dimensions,Not Provided,1,strong sell,-0.0
2006-02-24,Morgan Stanley,Not Provided,5,Overwt/In-Line,20.0
2006-01-05,Canaccord Genuity,Not Provided,3,hold,-0.0
2005-12-27,Barclays,Not Provided,5,overwt/neutral,19.0
2005-06-06,White Mountain Capital,Not Provided,3,hold,-0.0
2005-05-24,Soleil Securities,Not Provided,3,hold,5.0
2006-03-21,Morgan Stanley,Not Provided,5,Overwt/In-Line,20.0
2006-03-06,Barclays,Not Provided,5,overwt/neutral,27.0
2006-03-01,EVA Dimensions,Not Provided,1,strong sell,-0.0
2006-01-05,Canaccord Genuity,Not Provided,3,hold,-0.0
2006-04-24,Needham & Co,12 month,5,buy,22.0
2006-03-21,Morgan Stanley,Not Provided,5,Overwt/In-Line,20.0
2006-03-06,Barclays,Not Provided,5,overwt/neutral,27.0
2006-03-01,EVA Dimensions,Not Provided,1,strong sell,-0.0
2006-05-05,Needham & Co,12 month,5,buy,22.0
2006-03-21,Morgan Stanley,Not Provided,5,Overwt/In-Line,20.0
2006-03-06,Barclays,Not Provided,5,overwt/neutral,27.0
2006-03-01,EVA Dimensions,Not Provided,1,strong sell,-0.0
2006-06-09,EVA Dimensions,Not Provided,1,strong sell,-0.0
2006-05-05,Needham & Co,12 month,5,buy,22.0
2006-03-21,Morgan Stanley,Not Provided,5,Overwt/In-Line,20.0
2006-03-06,Barclays,Not Provided,5,overwt/neutral,27.0
2006-07-27,RBC Capital Markets,Not Provided,5,outperform,18.0
2006-06-09,EVA Dimensions,Not Provided,1,strong sell,-0.0
2006-05-05,Needham & Co,12 month,5,buy,22.0
2006-03-21,Morgan Stanley,Not Provided,5,Overwt/In-Line,20.0
2006-03-06,Barclays,Not Provided,5,overwt/neutral,27.0
2006-08-30,EVA Dimensions,Not Provided,1,strong sell,-0.0
2006-08-07,Needham & Co,12 month,5,buy,22.0
2006-08-03,RBC Capital Markets,Not Provided,5,outperform,18.0
2006-03-21,Morgan Stanley,Not Provided,5,Overwt/In-Line,20.0
2006-03-06,Barclays,Not Provided,5,overwt/neutral,27.0
2006-09-07,RBC Capital Markets,Not Provided,5,outperform,18.0
2006-08-30,EVA Dimensions,Not Provided,1,strong sell,-0.0
2006-08-07,Needham & Co,12 month,5,buy,22.0
2006-03-21,Morgan Stanley,Not Provided,5,Overwt/In-Line,20.0
2006-03-06,Barclays,Not Provided,5,overwt/neutral,27.0
2006-10-31,RBC Capital Markets,Not Provided,5,outperform,25.0
2006-10-31,Needham & Co,12 month,5,buy,22.0
2006-10-20,Morgan Stanley,Not Provided,5,Overwt/In-Line,24.0
