Date,Firm Name,Period,Rating,Recommendation,Target Price
2016-05-28,EVA Dimensions,Not Provided,1,underweight,-0.000000
2016-04-28,J.P. Morgan,Not Provided,-2147483648,Rating Suspended,-0.000000
2016-04-27,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2016-04-21,M Science,Not Provided,-2147483648,no rating system,-0.000000
2016-04-18,Pacific Crest Securities,Not Provided,3,sector weight,-0.000000
2016-02-16,Cross Research,Not Provided,-2147483648,not rated,-0.000000
2016-01-29,Needham & Co,12 month,5,buy,78.000000
2012-10-26,Fortune CLSA Securities Limited,Not Provided,1,underperform,-0.000000
2016-05-28,EVA Dimensions,Not Provided,1,underweight,-0.000000
2016-04-28,J.P. Morgan,Not Provided,-2147483648,Rating Suspended,-0.000000
2016-04-27,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2016-04-21,M Science,Not Provided,-2147483648,no rating system,-0.000000
2016-04-18,Pacific Crest Securities,Not Provided,3,sector weight,-0.000000
2016-02-16,Cross Research,Not Provided,-2147483648,not rated,-0.000000
2016-01-29,Needham & Co,12 month,5,buy,78.000000
2012-10-26,Fortune CLSA Securities Limited,Not Provided,1,underperform,-0.000000
2016-05-28,EVA Dimensions,Not Provided,1,underweight,-0.000000
2016-04-28,J.P. Morgan,Not Provided,-2147483648,Rating Suspended,-0.000000
2016-04-27,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2016-04-21,M Science,Not Provided,-2147483648,no rating system,-0.000000
2016-04-18,Pacific Crest Securities,Not Provided,3,sector weight,-0.000000
2016-02-16,Cross Research,Not Provided,-2147483648,not rated,-0.000000
2016-01-29,Needham & Co,12 month,5,buy,78.000000
