Date,Firm Name,Period,Rating,Recommendation,Target Price
2016-09-14,Berenberg,Not Provided,5,buy,86.000000
2016-09-12,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2016-04-06,WhiteSand Research LLC,Not Provided,3,hold,73.580000
2016-03-01,JMP Securities,Not Provided,3,market perform,-0.000000
2016-02-18,J.P. Morgan,12 month,3,neutral,62.940000
2016-09-14,Berenberg,Not Provided,5,buy,86.000000
2016-09-12,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2016-04-06,WhiteSand Research LLC,Not Provided,3,hold,73.580000
2016-03-01,JMP Securities,Not Provided,3,market perform,-0.000000
2016-02-18,J.P. Morgan,12 month,3,neutral,62.940000
2016-09-14,Berenberg,Not Provided,5,buy,86.000000
2016-09-12,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2016-04-06,WhiteSand Research LLC,Not Provided,3,hold,73.580000
2016-03-01,JMP Securities,Not Provided,3,market perform,-0.000000
2016-02-18,J.P. Morgan,12 month,3,neutral,62.940000
