Date,Firm Name,Period,Rating,Recommendation,Target Price
2017-03-30,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2017-03-29,Wells Fargo Securities,Not Provided,5,outperform,-0.000000
2017-03-17,J.P. Morgan,9 month,5,overweight,39.000000
2017-03-17,Bernstein,Not Provided,5,outperform,45.000000
2017-03-16,JMP Securities,12 month,4,market outperform,41.000000
2017-03-15,Credit Suisse,Not Provided,5,outperform,43.000000
2017-03-15,"Keefe, Bruyette & Woods",12 month,5,outperform,44.000000
2017-03-15,Barclays,Not Provided,5,overweight,47.000000
2017-03-11,EVA Dimensions,Not Provided,5,buy,-0.000000
2017-03-10,Edward Jones,Not Provided,5,buy,-0.000000
2017-03-09,Guggenheim Securities,Not Provided,5,buy,41.000000
2017-03-01,Stephens Inc,Not Provided,5,overweight,44.000000
2017-02-27,Rafferty Capital Markets,12 month,3,hold,40.000000
2017-02-21,Jefferies,12 month,5,buy,45.000000
2017-02-16,Compass Point Research & Trading LLC,12 month,5,buy,42.000000
2017-02-15,D.A. Davidson & Co,12 month,5,buy,45.000000
2017-02-10,Nomura Instinet,12 month,5,buy,44.000000
2017-02-08,Susquehanna Financial,12 month,4,Positive,40.000000
2017-02-07,Wedbush,12 month,3,neutral,39.000000
2017-01-31,Daiwa Securities,12 month,5,outperform,41.000000
2017-01-24,"Ameriprise Advisor Services, Inc",Not Provided,5,buy,-0.000000
2017-01-23,Morgan Stanley,12 month,5,Overwt/Attractive,42.000000
2017-01-20,BMO Capital Markets,Not Provided,5,outperform,38.000000
2017-01-20,Goldman Sachs,12 month,5,buy/attractive,49.000000
2017-01-20,BTIG LLC,12 month,5,buy,42.000000
2017-05-01,D.A. Davidson & Co,12 month,5,buy,41.000000
2017-05-01,Jefferies,12 month,5,buy,40.000000
2017-05-01,"Ameriprise Advisor Services, Inc",Not Provided,5,buy,-0.000000
2017-05-01,Bernstein,12 month,5,outperform,40.000000
2017-05-01,Stephens Inc,12 month,3,equalweight,29.000000
2017-05-01,JMP Securities,Not Provided,4,market outperform,35.000000
2017-05-01,Susquehanna Financial,12 month,4,Positive,36.000000
2017-05-01,Barclays,Not Provided,5,overweight,36.000000
2017-05-01,Compass Point Research & Trading LLC,12 month,5,buy,34.000000
2017-04-30,Oppenheimer & Co,Not Provided,3,market perform,-0.000000
2017-04-30,BTIG LLC,12 month,5,buy,36.000000
2017-04-28,BMO Capital Markets,Not Provided,5,outperform,38.000000
2017-04-28,Morgan Stanley,12 month,5,Overwt/Attractive,33.000000
2017-04-28,Goldman Sachs,12 month,3,neutral/attractive,33.000000
2017-04-28,Credit Suisse,Not Provided,5,outperform,39.000000
2017-04-28,Edward Jones,Not Provided,5,buy,-0.000000
2017-04-28,J.P. Morgan,9 month,5,overweight,33.000000
2017-04-28,"Keefe, Bruyette & Woods",12 month,5,outperform,44.000000
2017-04-28,Wedbush,12 month,3,neutral,33.000000
2017-04-28,Wells Fargo Securities,Not Provided,5,outperform,-0.000000
2017-04-28,Guggenheim Securities,Not Provided,5,buy,38.000000
2017-04-28,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2017-04-28,Nomura Instinet,12 month,5,buy,38.000000
2017-03-11,EVA Dimensions,Not Provided,5,buy,-0.000000
2017-02-27,Rafferty Capital Markets,12 month,3,hold,40.000000
2017-01-31,Daiwa Securities,12 month,5,outperform,41.000000
2017-05-15,"Keefe, Bruyette & Woods",12 month,5,outperform,39.000000
2017-05-15,Barclays,Not Provided,5,overweight,36.000000
2017-05-12,Bernstein,Not Provided,5,outperform,40.000000
2017-05-11,Guggenheim Securities,Not Provided,3,neutral,-0.000000
2017-05-10,Daiwa Securities,Not Provided,5,outperform,30.000000
2017-05-02,BMO Capital Markets,Not Provided,5,outperform,38.000000
2017-05-02,Jefferies,12 month,5,buy,40.000000
2017-05-01,D.A. Davidson & Co,12 month,5,buy,41.000000
2017-05-01,"Ameriprise Advisor Services, Inc",Not Provided,5,buy,-0.000000
2017-05-01,Stephens Inc,12 month,3,equalweight,29.000000
2017-05-01,JMP Securities,Not Provided,4,market outperform,35.000000
2017-05-01,Susquehanna Financial,12 month,4,Positive,36.000000
2017-05-01,Compass Point Research & Trading LLC,12 month,5,buy,34.000000
2017-04-30,Oppenheimer & Co,Not Provided,3,market perform,-0.000000
2017-04-30,BTIG LLC,12 month,5,buy,36.000000
2017-04-28,Morgan Stanley,12 month,5,Overwt/Attractive,33.000000
2017-04-28,Goldman Sachs,12 month,3,neutral/attractive,33.000000
2017-04-28,Credit Suisse,Not Provided,5,outperform,39.000000
2017-04-28,Edward Jones,Not Provided,5,buy,-0.000000
2017-04-28,J.P. Morgan,9 month,5,overweight,33.000000
2017-04-28,Wedbush,12 month,3,neutral,33.000000
2017-04-28,Wells Fargo Securities,Not Provided,5,outperform,-0.000000
2017-04-28,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2017-04-28,Nomura Instinet,12 month,5,buy,38.000000
2017-03-11,EVA Dimensions,Not Provided,5,buy,-0.000000
2017-02-27,Rafferty Capital Markets,12 month,3,hold,40.000000
