Date,Firm Name,Period,Rating,Recommendation,Target Price
2017-03-13,J.P. Morgan,12 month,1,underweight,86.000000
2017-03-13,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2017-03-02,Cowen,12 month,3,market perform,89.000000
2017-02-28,Baird,Not Provided,3,neutral,85.000000
2017-02-09,Wells Fargo Securities,Not Provided,3,market perform,-0.000000
2016-12-17,EVA Dimensions,Not Provided,5,overweight,-0.000000
2007-02-01,Raymond James,Not Provided,-2147483648,Under Review,-0.000000
2017-04-28,J.P. Morgan,9 month,1,underweight,90.000000
2017-04-28,Baird,12 month,3,neutral,93.000000
2017-04-28,Cowen,12 month,3,market perform,94.000000
2017-04-28,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2017-04-27,Wells Fargo Securities,Not Provided,3,market perform,-0.000000
2016-12-17,EVA Dimensions,Not Provided,5,overweight,-0.000000
2007-02-01,Raymond James,Not Provided,-2147483648,Under Review,-0.000000
2017-04-28,J.P. Morgan,9 month,1,underweight,90.000000
2017-04-28,Baird,12 month,3,neutral,93.000000
2017-04-28,Cowen,12 month,3,market perform,94.000000
2017-04-28,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2017-04-27,Wells Fargo Securities,Not Provided,3,market perform,-0.000000
2016-12-17,EVA Dimensions,Not Provided,5,overweight,-0.000000
