Date,Firm Name,Period,Rating,Recommendation,Target Price
2017-03-28,Edward Jones,Not Provided,3,hold,-0.000000
2017-03-28,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2017-03-23,Guggenheim Securities,Not Provided,5,buy,63.000000
2017-03-22,US Capital Advisors,Not Provided,3,hold,62.000000
2017-03-06,Argus Research Corp,Not Provided,5,buy,65.000000
2017-03-06,Wells Fargo Securities,Not Provided,5,outperform,-0.000000
2017-03-05,Evercore ISI,Not Provided,3,in-line,59.500000
2017-03-05,Wolfe Research,Not Provided,3,peerperform,59.000000
2017-03-03,Barclays,Not Provided,3,equalweight,61.000000
2017-02-23,Goldman Sachs,12 month,3,neutral/neutral,59.000000
2017-02-15,Mizuho Securities USA Inc,Not Provided,3,neutral,59.000000
2017-02-13,Gabelli & Co,Not Provided,5,buy,-0.000000
2017-02-05,BMO Capital Markets,Not Provided,3,market perform,56.000000
2017-02-02,Ladenburg Thalmann & Co,12 month,3,neutral,60.000000
2017-01-24,UBS,12 month,3,neutral,60.000000
2017-01-24,KeyBanc Capital Markets,Not Provided,3,sector weight,-0.000000
2016-12-17,EVA Dimensions,Not Provided,5,overweight,-0.000000
2017-05-01,Wolfe Research,Not Provided,3,peerperform,59.000000
2017-04-26,Edward Jones,Not Provided,3,hold,-0.000000
2017-04-24,Goldman Sachs,12 month,3,neutral/neutral,58.000000
2017-04-21,Barclays,Not Provided,3,equalweight,68.000000
2017-04-20,Guggenheim Securities,Not Provided,5,buy,65.000000
2017-04-19,KeyBanc Capital Markets,Not Provided,3,sector weight,-0.000000
2017-04-18,EVA Dimensions,Not Provided,5,overweight,-0.000000
2017-04-05,Ladenburg Thalmann & Co,12 month,3,neutral,62.000000
2017-04-05,Evercore ISI,12 month,3,in-line,59.500000
2017-04-05,Wells Fargo Securities,Not Provided,5,outperform,-0.000000
2017-03-28,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2017-03-22,US Capital Advisors,Not Provided,3,hold,62.000000
2017-03-06,Argus Research Corp,Not Provided,5,buy,65.000000
2017-02-13,Gabelli & Co,Not Provided,5,buy,-0.000000
2017-02-05,BMO Capital Markets,Not Provided,3,market perform,56.000000
2017-01-24,UBS,12 month,3,neutral,60.000000
2017-05-09,EVA Dimensions,Not Provided,3,hold,-0.000000
2017-05-05,Evercore ISI,Not Provided,3,in-line,59.500000
2017-05-04,Goldman Sachs,12 month,3,neutral/neutral,59.000000
2017-05-04,Guggenheim Securities,Not Provided,5,buy,65.000000
2017-05-03,UBS,12 month,3,neutral,61.000000
2017-05-03,Ladenburg Thalmann & Co,12 month,3,neutral,62.000000
2017-05-03,Wells Fargo Securities,Not Provided,5,outperform,-0.000000
2017-05-03,Gabelli & Co,Not Provided,5,buy,-0.000000
2017-05-02,BMO Capital Markets,Not Provided,3,market perform,61.000000
2017-05-02,Edward Jones,Not Provided,3,hold,-0.000000
2017-05-02,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2017-05-02,Barclays,Not Provided,3,equalweight,68.000000
2017-05-02,Wolfe Research,12 month,3,peerperform,60.000000
2017-04-19,KeyBanc Capital Markets,Not Provided,3,sector weight,-0.000000
2017-03-22,US Capital Advisors,Not Provided,3,hold,62.000000
2017-03-06,Argus Research Corp,Not Provided,5,buy,65.000000
