Date,Firm Name,Period,Rating,Recommendation,Target Price
2017-03-24,J.P. Morgan,9 month,3,neutral,7.000000
2017-03-24,Raymond James,Not Provided,1,underperform,-0.000000
2017-03-22,Goldman Sachs,12 month,1,Sell/Neutral,4.500000
2017-03-16,Cowen,12 month,5,outperform,10.000000
2017-03-08,"Morningstar, Inc",Not Provided,5,buy,-0.000000
2017-03-02,Jefferies,12 month,3,hold,7.500000
2017-03-01,Morgan Stanley,12 month,3,Equalwt/Cautious,9.000000
2017-03-01,Wells Fargo Securities,Not Provided,3,market perform,-0.000000
2016-12-17,EVA Dimensions,Not Provided,3,hold,-0.000000
2016-11-08,UBS,12 month,1,sell,6.500000
2016-11-08,Gabelli & Co,Not Provided,3,hold,-0.000000
2016-05-07,Cowen,Not Provided,-2147483648,not rated,-0.000000
2017-04-28,Morgan Stanley,12 month,3,Equalwt/Cautious,9.000000
2017-04-21,Cowen,Not Provided,5,outperform,10.000000
2017-04-19,"Morningstar, Inc",Not Provided,5,buy,-0.000000
2017-04-18,Gabelli & Co,Not Provided,3,hold,-0.000000
2017-04-18,EVA Dimensions,Not Provided,3,hold,-0.000000
2017-04-09,Wells Fargo Securities,Not Provided,3,market perform,-0.000000
2017-04-06,UBS,12 month,-2147483648,Under Review,6.500000
2017-04-03,J.P. Morgan,9 month,3,neutral,7.000000
2017-03-24,Raymond James,Not Provided,1,underperform,-0.000000
2017-03-22,Goldman Sachs,12 month,1,Sell/Neutral,4.500000
2017-03-02,Jefferies,12 month,3,hold,7.500000
2017-05-11,UBS,12 month,1,sell,4.000000
2017-05-05,J.P. Morgan,9 month,3,neutral,7.000000
2017-05-05,Jefferies,12 month,3,hold,5.000000
2017-05-05,Raymond James,Not Provided,1,underperform,-0.000000
2017-05-05,Cowen,12 month,5,outperform,9.000000
2017-05-05,"Morningstar, Inc",Not Provided,5,buy,-0.000000
2017-05-04,Morgan Stanley,12 month,3,Equalwt/Cautious,9.000000
2017-05-04,Goldman Sachs,12 month,1,Sell/Neutral,4.000000
2017-05-04,Wells Fargo Securities,Not Provided,3,market perform,-0.000000
2017-04-18,Gabelli & Co,Not Provided,3,hold,-0.000000
2017-04-18,EVA Dimensions,Not Provided,3,hold,-0.000000
