Date,Firm Name,Period,Rating,Recommendation,Target Price
2017-03-27,SunTrust Robinson Humphrey,Not Provided,5,buy,95.000000
2017-03-23,Telsey Advisory Group,12 month,5,outperform,92.000000
2017-03-22,J.P. Morgan,9 month,5,overweight,94.000000
2017-03-16,Janney Montgomery Scott LLC,12 month,3,neutral,87.000000
2017-03-16,Stifel,12 month,5,buy,90.000000
2017-03-16,Wolfe Research,Not Provided,3,peerperform,-0.000000
2017-02-27,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2017-02-22,MKM Partners,12 month,5,buy,95.000000
2017-02-20,Goldman Sachs,12 month,3,neutral/neutral,89.000000
2017-02-17,Nomura Instinet,12 month,3,neutral,91.000000
2017-02-15,Millman Research Associates,12 month,5,buy,89.000000
2017-01-11,EVA Dimensions,Not Provided,5,buy,-0.000000
2017-05-01,Goldman Sachs,12 month,3,neutral/neutral,94.000000
2017-05-01,Nomura Instinet,Not Provided,3,neutral,91.000000
2017-04-28,Wolfe Research,Not Provided,1,underperform,85.000000
2017-04-27,SunTrust Robinson Humphrey,Not Provided,5,buy,102.000000
2017-04-27,Janney Montgomery Scott LLC,12 month,3,neutral,101.000000
2017-04-27,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2017-04-27,Telsey Advisory Group,12 month,5,outperform,115.000000
2017-04-26,J.P. Morgan,9 month,5,overweight,115.000000
2017-04-26,Stifel,12 month,5,buy,108.000000
2017-04-26,MKM Partners,12 month,5,buy,111.000000
2017-02-15,Millman Research Associates,12 month,5,buy,89.000000
2017-01-11,EVA Dimensions,Not Provided,5,buy,-0.000000
2017-05-12,J.P. Morgan,9 month,5,overweight,115.000000
2017-05-10,SunTrust Robinson Humphrey,Not Provided,5,buy,102.000000
2017-05-01,Goldman Sachs,12 month,3,neutral/neutral,94.000000
2017-05-01,Nomura Instinet,Not Provided,3,neutral,91.000000
2017-04-28,Wolfe Research,Not Provided,1,underperform,85.000000
2017-04-27,Janney Montgomery Scott LLC,12 month,3,neutral,101.000000
2017-04-27,"Morningstar, Inc",Not Provided,3,hold,-0.000000
2017-04-27,Telsey Advisory Group,12 month,5,outperform,115.000000
2017-04-26,Stifel,12 month,5,buy,108.000000
2017-04-26,MKM Partners,12 month,5,buy,111.000000
2017-02-15,Millman Research Associates,12 month,5,buy,89.000000
2017-01-11,EVA Dimensions,Not Provided,5,buy,-0.000000
