,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price,Unnamed: 0
2005-12-27 00:00:00,-0.0,M,-2147483648,,"Burns, Gustus & Company",Not Provided,5,buy,-0.0,0.0
2005-12-19 00:00:00,-0.0,D,-2147483648,,"Capital One Securities, Inc.",Not Provided,3,hold,51.5,1.0
2005-11-22 00:00:00,-0.0,M,-2147483648,,Argus Research Corp,Not Provided,5,buy,57.5,2.0
2005-11-22 00:00:00,-0.0,D,-2147483648,,UBS,12 month,3,neutral 2,50.5,3.0
2005-11-14 00:00:00,-0.0,M,-2147483648,,EVA Dimensions,Not Provided,3,hold,-0.0,4.0
2005-10-24 00:00:00,-0.0,M,-2147483648,,Morgan Stanley,12 month,5,Overwt/Attractive,55.0,5.0
2005-10-24 00:00:00,-0.0,M,-2147483648,,Credit Suisse,12 month,5,outperform,50.0,6.0
2005-10-24 00:00:00,-0.0,M,-2147483648,,J.P. Morgan,Not Provided,5,overweight,-0.0,7.0
2005-10-24 00:00:00,-0.0,M,-2147483648,,Raymond James,Not Provided,3,market perform,-0.0,8.0
2005-10-24 00:00:00,-0.0,M,-2147483648,,Johnson Rice & Co,Not Provided,5,overweight,-0.0,9.0
2005-10-24 00:00:00,-0.0,R,-2147483648,,FBR Capital Markets,Not Provided,5,outperform,54.0,10.0
2005-10-24 00:00:00,-0.0,M,-2147483648,,Wells Fargo Securities,Not Provided,3,market perform,-0.0,11.0
2005-10-21 00:00:00,-0.0,M,-2147483648,,RBC Capital Markets,Not Provided,5,outperform,57.5,12.0
2005-10-21 00:00:00,-0.0,M,-2147483648,,Barclays,Not Provided,5,overwt/positive,54.5,13.0
2005-08-09 00:00:00,-0.0,N,-2147483648,,"Ameriprise Advisor Services, Inc",Not Provided,5,buy,-0.0,14.0
2005-08-04 00:00:00,-0.0,M,-2147483648,,First Global Stockbroking,Not Provided,5,buy,47.5,15.0
2005-07-25 00:00:00,-0.0,R,-2147483648,,Jefferies,12 month,5,buy,50.0,16.0
2005-07-25 00:00:00,-0.0,N,-2147483648,,"Miller Tabak + Co., LLC",Not Provided,5,buy,-0.0,17.0
2005-07-25 00:00:00,-0.0,M,-2147483648,,Soleil Securities,Not Provided,5,buy,-0.0,18.0
2005-05-26 00:00:00,-0.0,M,-2147483648,,Goldman Sachs,Not Provided,5,outperform,-0.0,19.0
2005-04-27 00:00:00,-0.0,M,-2147483648,,Bear Stearns & Co,Not Provided,3,peerperform,-0.0,20.0
2005-03-03 00:00:00,-0.0,D,-2147483648,,A.G. Edwards & Sons Inc,Not Provided,3,hold,-0.0,21.0
2004-10-12 00:00:00,-0.0,D,-2147483648,,Baird,Not Provided,3,neutral,36.0,22.0
2006-02-01 00:00:00,-0.0,N,-2147483648,,Scotia Howard Weil Inc,Not Provided,5,buy,70.0,23.0
2006-01-31 00:00:00,-0.0,R,-2147483648,,Jefferies,12 month,5,buy,67.5,24.0
2006-01-30 00:00:00,-0.0,M,-2147483648,,"Burns, Gustus & Company",Not Provided,1,strong sell,-0.0,25.0
2006-01-26 00:00:00,-0.0,M,-2147483648,,Raymond James,Not Provided,3,market perform,-0.0,26.0
2006-01-23 00:00:00,-0.0,M,-2147483648,,Morgan Stanley,12 month,5,Overwt/Attractive,76.0,27.0
2006-01-23 00:00:00,-0.0,M,-2147483648,,Credit Suisse,12 month,5,outperform,75.0,28.0
2006-01-23 00:00:00,-0.0,R,-2147483648,,FBR Capital Markets,Not Provided,5,outperform,79.5,29.0
2006-01-23 00:00:00,-0.0,M,-2147483648,,Wells Fargo Securities,Not Provided,3,market perform,-0.0,30.0
2006-01-20 00:00:00,-0.0,U,-2147483648,,RBC Capital Markets,12 month,5,outperform,34.5,31.0
2006-01-20 00:00:00,-0.0,M,-2147483648,,Argus Research Corp,12 month,5,buy,72.5,32.0
2006-01-20 00:00:00,-0.0,M,-2147483648,,UBS,12 month,3,neutral 2,65.0,33.0
2006-01-20 00:00:00,-0.0,M,-2147483648,,"Capital One Securities, Inc.",Not Provided,3,hold,62.0,34.0
2006-01-20 00:00:00,-0.0,M,-2147483648,,Barclays,Not Provided,5,overwt/positive,71.5,35.0
2005-11-14 00:00:00,-0.0,M,-2147483648,,EVA Dimensions,Not Provided,3,hold,-0.0,36.0
2005-10-24 00:00:00,-0.0,M,-2147483648,,J.P. Morgan,Not Provided,5,overweight,-0.0,37.0
2005-10-24 00:00:00,-0.0,M,-2147483648,,Johnson Rice & Co,Not Provided,5,overweight,-0.0,38.0
2005-08-09 00:00:00,-0.0,N,-2147483648,,"Ameriprise Advisor Services, Inc",Not Provided,5,buy,-0.0,39.0
2005-08-04 00:00:00,-0.0,M,-2147483648,,First Global Stockbroking,Not Provided,5,buy,47.5,40.0
2005-07-25 00:00:00,-0.0,N,-2147483648,,"Miller Tabak + Co., LLC",Not Provided,5,buy,-0.0,41.0
2005-07-25 00:00:00,-0.0,M,-2147483648,,Soleil Securities,Not Provided,5,buy,-0.0,42.0
2005-05-26 00:00:00,-0.0,M,-2147483648,,Goldman Sachs,Not Provided,5,outperform,-0.0,43.0
2005-04-27 00:00:00,-0.0,M,-2147483648,,Bear Stearns & Co,Not Provided,3,peerperform,-0.0,44.0
2005-03-03 00:00:00,-0.0,D,-2147483648,,A.G. Edwards & Sons Inc,Not Provided,3,hold,-0.0,45.0
2004-10-12 00:00:00,-0.0,D,-2147483648,,Baird,Not Provided,3,neutral,36.0,46.0
2006-03-01 00:00:00,-0.0,M,-2147483648,,EVA Dimensions,Not Provided,3,hold,-0.0,47.0
2006-02-21 00:00:00,-0.0,U,-2147483648,,"Burns, Gustus & Company",Not Provided,3,hold/buy,62.25,48.0
2006-02-01 00:00:00,-0.0,N,-2147483648,,Scotia Howard Weil Inc,Not Provided,5,buy,70.0,49.0
2006-01-31 00:00:00,-0.0,R,-2147483648,,Jefferies,12 month,5,buy,67.5,50.0
2006-01-26 00:00:00,-0.0,M,-2147483648,,Raymond James,Not Provided,3,market perform,-0.0,51.0
2006-01-23 00:00:00,-0.0,M,-2147483648,,Morgan Stanley,12 month,5,Overwt/Attractive,76.0,52.0
2006-01-23 00:00:00,-0.0,M,-2147483648,,Credit Suisse,12 month,5,outperform,75.0,53.0
2006-01-23 00:00:00,-0.0,R,-2147483648,,FBR Capital Markets,Not Provided,5,outperform,79.5,54.0
2006-01-23 00:00:00,-0.0,M,-2147483648,,Wells Fargo Securities,Not Provided,3,market perform,-0.0,55.0
2006-01-20 00:00:00,-0.0,U,-2147483648,,RBC Capital Markets,12 month,5,outperform,34.5,56.0
2006-01-20 00:00:00,-0.0,M,-2147483648,,Argus Research Corp,12 month,5,buy,72.5,57.0
2006-01-20 00:00:00,-0.0,M,-2147483648,,UBS,12 month,3,neutral 2,65.0,58.0
2006-01-20 00:00:00,-0.0,M,-2147483648,,"Capital One Securities, Inc.",Not Provided,3,hold,62.0,59.0
2006-01-20 00:00:00,-0.0,M,-2147483648,,Barclays,Not Provided,5,overwt/positive,71.5,60.0
2005-10-24 00:00:00,-0.0,M,-2147483648,,J.P. Morgan,Not Provided,5,overweight,-0.0,61.0
2005-10-24 00:00:00,-0.0,M,-2147483648,,Johnson Rice & Co,Not Provided,5,overweight,-0.0,62.0
2005-08-09 00:00:00,-0.0,N,-2147483648,,"Ameriprise Advisor Services, Inc",Not Provided,5,buy,-0.0,63.0
2005-08-04 00:00:00,-0.0,M,-2147483648,,First Global Stockbroking,Not Provided,5,buy,47.5,64.0
2005-07-25 00:00:00,-0.0,N,-2147483648,,"Miller Tabak + Co., LLC",Not Provided,5,buy,-0.0,65.0
2005-07-25 00:00:00,-0.0,M,-2147483648,,Soleil Securities,Not Provided,5,buy,-0.0,66.0
2005-05-26 00:00:00,-0.0,M,-2147483648,,Goldman Sachs,Not Provided,5,outperform,-0.0,67.0
2005-04-27 00:00:00,-0.0,M,-2147483648,,Bear Stearns & Co,Not Provided,3,peerperform,-0.0,68.0
2005-03-03 00:00:00,-0.0,D,-2147483648,,A.G. Edwards & Sons Inc,Not Provided,3,hold,-0.0,69.0
2004-10-12 00:00:00,-0.0,D,-2147483648,,Baird,Not Provided,3,neutral,36.0,70.0
2006-03-28 00:00:00,-0.0,M,-2147483648,,Goldman Sachs,Not Provided,5,outperf/attractive,-0.0,71.0
2006-03-22 00:00:00,-0.0,M,-2147483648,,"Capital One Securities, Inc.",Not Provided,3,hold,62.0,72.0
2006-03-17 00:00:00,-0.0,M,-2147483648,,RBC Capital Markets,Not Provided,5,outperform,66.0,73.0
2006-03-06 00:00:00,-0.0,M,-2147483648,,"Burns, Gustus & Company",Not Provided,3,hold,62.25,74.0
2006-03-02 00:00:00,-0.0,U,-2147483648,,EVA Dimensions,Not Provided,5,buy,-0.0,75.0
2006-02-01 00:00:00,-0.0,N,-2147483648,,Scotia Howard Weil Inc,Not Provided,5,buy,70.0,76.0
2006-01-31 00:00:00,-0.0,R,-2147483648,,Jefferies,12 month,5,buy,67.5,77.0
2006-01-26 00:00:00,-0.0,M,-2147483648,,Raymond James,Not Provided,3,market perform,-0.0,78.0
2006-01-23 00:00:00,-0.0,M,-2147483648,,Morgan Stanley,12 month,5,Overwt/Attractive,76.0,79.0
2006-01-23 00:00:00,-0.0,M,-2147483648,,Credit Suisse,12 month,5,outperform,75.0,80.0
2006-01-23 00:00:00,-0.0,R,-2147483648,,FBR Capital Markets,Not Provided,5,outperform,79.5,81.0
2006-01-23 00:00:00,-0.0,M,-2147483648,,Wells Fargo Securities,Not Provided,3,market perform,-0.0,82.0
2006-01-20 00:00:00,-0.0,M,-2147483648,,Argus Research Corp,12 month,5,buy,72.5,83.0
2006-01-20 00:00:00,-0.0,M,-2147483648,,UBS,12 month,3,neutral 2,65.0,84.0
2006-01-20 00:00:00,-0.0,M,-2147483648,,Barclays,Not Provided,5,overwt/positive,71.5,85.0
2005-10-24 00:00:00,-0.0,M,-2147483648,,J.P. Morgan,Not Provided,5,overweight,-0.0,86.0
2005-10-24 00:00:00,-0.0,M,-2147483648,,Johnson Rice & Co,Not Provided,5,overweight,-0.0,87.0
2005-08-09 00:00:00,-0.0,N,-2147483648,,"Ameriprise Advisor Services, Inc",Not Provided,5,buy,-0.0,88.0
2005-08-04 00:00:00,-0.0,M,-2147483648,,First Global Stockbroking,Not Provided,5,buy,47.5,89.0
2005-07-25 00:00:00,-0.0,N,-2147483648,,"Miller Tabak + Co., LLC",Not Provided,5,buy,-0.0,90.0
2005-07-25 00:00:00,-0.0,M,-2147483648,,Soleil Securities,Not Provided,5,buy,-0.0,91.0
2005-04-27 00:00:00,-0.0,M,-2147483648,,Bear Stearns & Co,Not Provided,3,peerperform,-0.0,92.0
2005-03-03 00:00:00,-0.0,D,-2147483648,,A.G. Edwards & Sons Inc,Not Provided,3,hold,-0.0,93.0
2004-10-12 00:00:00,-0.0,D,-2147483648,,Baird,Not Provided,3,neutral,36.0,94.0
2006-05-01 00:00:00,-0.0,M,-2147483648,,"Burns, Gustus & Company",Not Provided,1,sell,66.5,95.0
2006-04-26 00:00:00,-0.0,M,-2147483648,,Johnson Rice & Co,Not Provided,5,overweight,-0.0,96.0
2006-04-26 00:00:00,-0.0,M,-2147483648,,Barclays,Not Provided,5,overwt/positive,82.0,97.0
2006-04-24 00:00:00,-0.0,M,-2147483648,,Morgan Stanley,12 month,5,Overwt/Attractive,83.0,98.0
2006-04-24 00:00:00,-0.0,M,-2147483648,,RBC Capital Markets,Not Provided,5,outperform,81.0,99.0
2006-04-24 00:00:00,-0.0,M,-2147483648,,Argus Research Corp,12 month,5,buy,79.0,100.0
2006-04-24 00:00:00,-0.0,D,-2147483648,,Credit Suisse,12 month,3,neutral,80.0,101.0
2006-04-24 00:00:00,-0.0,M,-2147483648,,UBS,12 month,3,neutral 2,70.0,102.0
2006-04-24 00:00:00,-0.0,R,-2147483648,,Jefferies,12 month,5,buy,78.0,103.0
2006-04-24 00:00:00,-0.0,R,-2147483648,,"Capital One Securities, Inc.",Not Provided,3,hold,74.0,104.0
2006-04-24 00:00:00,-0.0,M,-2147483648,,Raymond James,Not Provided,3,market perform,-0.0,105.0
2006-04-24 00:00:00,-0.0,R,-2147483648,,FBR Capital Markets,Not Provided,5,outperform,88.0,106.0
2006-04-24 00:00:00,-0.0,U,-2147483648,,Wells Fargo Securities,Not Provided,5,outperform,-0.0,107.0
2006-04-21 00:00:00,-0.0,M,-2147483648,,Goldman Sachs,Not Provided,-2147483648,not rated,-0.0,108.0
2006-03-02 00:00:00,-0.0,U,-2147483648,,EVA Dimensions,Not Provided,5,buy,-0.0,109.0
2006-02-01 00:00:00,-0.0,N,-2147483648,,Scotia Howard Weil Inc,Not Provided,5,buy,70.0,110.0
2005-10-24 00:00:00,-0.0,M,-2147483648,,J.P. Morgan,Not Provided,5,overweight,-0.0,111.0
2005-08-09 00:00:00,-0.0,N,-2147483648,,"Ameriprise Advisor Services, Inc",Not Provided,5,buy,-0.0,112.0
2005-08-04 00:00:00,-0.0,M,-2147483648,,First Global Stockbroking,Not Provided,5,buy,47.5,113.0
2005-07-25 00:00:00,-0.0,N,-2147483648,,"Miller Tabak + Co., LLC",Not Provided,5,buy,-0.0,114.0
2005-07-25 00:00:00,-0.0,M,-2147483648,,Soleil Securities,Not Provided,5,buy,-0.0,115.0
2005-04-27 00:00:00,-0.0,M,-2147483648,,Bear Stearns & Co,Not Provided,3,peerperform,-0.0,116.0
2005-03-03 00:00:00,-0.0,D,-2147483648,,A.G. Edwards & Sons Inc,Not Provided,3,hold,-0.0,117.0
2004-10-12 00:00:00,-0.0,D,-2147483648,,Baird,Not Provided,3,neutral,36.0,118.0
2006-05-17 00:00:00,-0.0,M,-2147483648,,Scotia Howard Weil Inc,12 month,5,buy,79.0,119.0
2006-05-17 00:00:00,-0.0,U,-2147483648,,"Capital One Securities, Inc.",Not Provided,5,buy,85.0,120.0
2006-05-15 00:00:00,-0.0,M,-2147483648,,Morgan Stanley,12 month,5,Overwt/Attractive,86.0,121.0
2006-05-08 00:00:00,-0.0,M,-2147483648,,Goldman Sachs,Not Provided,5,outperf/attractive,-0.0,122.0
2006-05-02 00:00:00,-0.0,M,-2147483648,,EVA Dimensions,Not Provided,5,buy,-0.0,123.0
2006-05-01 00:00:00,-0.0,M,-2147483648,,"Burns, Gustus & Company",Not Provided,1,sell,66.5,124.0
2006-04-26 00:00:00,-0.0,M,-2147483648,,Johnson Rice & Co,Not Provided,5,overweight,-0.0,125.0
2006-04-26 00:00:00,-0.0,M,-2147483648,,Barclays,Not Provided,5,overwt/positive,82.0,126.0
2006-04-24 00:00:00,-0.0,M,-2147483648,,RBC Capital Markets,Not Provided,5,outperform,81.0,127.0
2006-04-24 00:00:00,-0.0,M,-2147483648,,Argus Research Corp,12 month,5,buy,79.0,128.0
2006-04-24 00:00:00,-0.0,D,-2147483648,,Credit Suisse,12 month,3,neutral,80.0,129.0
2006-04-24 00:00:00,-0.0,M,-2147483648,,UBS,12 month,3,neutral 2,70.0,130.0
2006-04-24 00:00:00,-0.0,R,-2147483648,,Jefferies,12 month,5,buy,78.0,131.0
2006-04-24 00:00:00,-0.0,M,-2147483648,,Raymond James,Not Provided,3,market perform,-0.0,132.0
2006-04-24 00:00:00,-0.0,R,-2147483648,,FBR Capital Markets,Not Provided,5,outperform,88.0,133.0
2006-04-24 00:00:00,-0.0,U,-2147483648,,Wells Fargo Securities,Not Provided,5,outperform,-0.0,134.0
2005-10-24 00:00:00,-0.0,M,-2147483648,,J.P. Morgan,Not Provided,5,overweight,-0.0,135.0
2005-08-09 00:00:00,-0.0,N,-2147483648,,"Ameriprise Advisor Services, Inc",Not Provided,5,buy,-0.0,136.0
2005-08-04 00:00:00,-0.0,M,-2147483648,,First Global Stockbroking,Not Provided,5,buy,47.5,137.0
2005-07-25 00:00:00,-0.0,N,-2147483648,,"Miller Tabak + Co., LLC",Not Provided,5,buy,-0.0,138.0
2005-07-25 00:00:00,-0.0,M,-2147483648,,Soleil Securities,Not Provided,5,buy,-0.0,139.0
2005-04-27 00:00:00,-0.0,M,-2147483648,,Bear Stearns & Co,Not Provided,3,peerperform,-0.0,140.0
2005-03-03 00:00:00,-0.0,D,-2147483648,,A.G. Edwards & Sons Inc,Not Provided,3,hold,-0.0,141.0
2004-10-12 00:00:00,-0.0,D,-2147483648,,Baird,Not Provided,3,neutral,36.0,142.0
2006-06-26 00:00:00,-0.0,M,-2147483648,,Goldman Sachs,Not Provided,5,outperf/attractive,83.0,143.0
2006-06-22 00:00:00,-0.0,M,-2147483648,,Soleil Securities,Not Provided,5,buy,76.0,144.0
