,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price,Unnamed: 0
2005-12-22 00:00:00,-0.0,U,-2147483648,,UBS,Not Provided,5,buy 2,121.5,0.0
2005-12-21 00:00:00,-0.0,M,-2147483648,,Bear Stearns & Co,Not Provided,5,outperform,121.5,1.0
2005-12-19 00:00:00,-0.0,R,-2147483648,,FBR Capital Markets,Not Provided,5,outperform,118.64,2.0
2005-12-16 00:00:00,-0.0,M,-2147483648,,"Capital One Securities, Inc.",Not Provided,5,buy,108.63,3.0
2005-12-16 00:00:00,-0.0,U,-2147483648,,Oppenheimer & Co,12 month,5,buy,128.64,4.0
2005-12-09 00:00:00,-0.0,M,-2147483648,,Natixis Securities Americas LLC,12 month,-2147483648,no rating system,105.77,5.0
2005-12-08 00:00:00,-0.0,M,-2147483648,,Soleil Securities,Not Provided,5,buy,128.64,6.0
2005-12-05 00:00:00,-0.0,M,-2147483648,,Stanford Group,12 month,5,buy,108.63,7.0
2005-11-28 00:00:00,-0.0,M,-2147483648,,A.G. Edwards & Sons Inc,Not Provided,5,buy,107.2,8.0
2005-11-21 00:00:00,-0.0,M,-2147483648,,Fearnley Securities,12 month,5,buy,130.07,9.0
2005-11-14 00:00:00,-0.0,M,-2147483648,,Johnson Rice & Co,Not Provided,5,overweight,-0.0,10.0
2005-11-09 00:00:00,-0.0,M,-2147483648,,Morgan Stanley,Not Provided,3,Equalwt/Attractive,102.92,11.0
2005-11-09 00:00:00,-0.0,M,-2147483648,,RBC Capital Markets,Not Provided,3,sector perform,108.63,12.0
2005-11-09 00:00:00,-0.0,M,-2147483648,,Credit Suisse,12 month,5,outperform,104.35,13.0
2005-11-09 00:00:00,-0.0,R,-2147483648,,Jefferies,12 month,5,buy,107.2,14.0
2005-11-09 00:00:00,-0.0,M,-2147483648,,Raymond James,Not Provided,5,strong buy,110.06,15.0
2005-11-09 00:00:00,-0.0,M,-2147483648,,Fearnley Securities,6 month,5,buy,130.07,16.0
2005-11-09 00:00:00,-0.0,M,-2147483648,,Wells Fargo Securities,Not Provided,5,outperform,-0.0,17.0
2005-11-09 00:00:00,-0.0,R,-2147483648,,Aperion Group LLC,12 month,5,buy,187.61,18.0
2005-11-09 00:00:00,-0.0,M,-2147483648,,Barclays,Not Provided,5,overwt/positive,104.35,19.0
2005-11-08 00:00:00,-0.0,U,-2147483648,,J.P. Morgan,Not Provided,3,neutral,-0.0,20.0
2005-05-06 00:00:00,-0.0,M,-2147483648,,First Global Stockbroking,Not Provided,5,buy,85.76,21.0
2004-12-20 00:00:00,-0.0,U,-2147483648,,Argus Research Corp,Not Provided,3,hold,-0.0,22.0
2004-09-14 00:00:00,-0.0,U,-2147483648,,Goldman Sachs,Not Provided,5,outperform,-0.0,23.0
2003-09-09 00:00:00,-0.0,M,-2147483648,,Weeden & Co,Not Provided,5,buy,47.17,24.0
2006-02-01 00:00:00,-0.0,N,-2147483648,,Scotia Howard Weil Inc,Not Provided,5,buy,147.23,25.0
2006-02-01 00:00:00,-0.0,M,-2147483648,,"Capital One Securities, Inc.",Not Provided,5,buy,120.07,26.0
2006-02-01 00:00:00,-0.0,R,-2147483648,,Oppenheimer & Co,12 month,5,buy,128.64,27.0
2006-02-01 00:00:00,-0.0,M,-2147483648,,Barclays,Not Provided,5,overwt/positive,143.65,28.0
2006-01-26 00:00:00,-0.0,M,-2147483648,,Raymond James,12 month,5,outperform,122.93,29.0
2006-01-20 00:00:00,-0.0,M,-2147483648,,Wells Fargo Securities,Not Provided,5,outperform,-0.0,30.0
2006-01-19 00:00:00,-0.0,M,-2147483648,,Morgan Stanley,Not Provided,3,Equalwt/Attractive,137.22,31.0
2006-01-11 00:00:00,-0.0,M,-2147483648,,Aperion Group LLC,12 month,5,buy,200.11,32.0
2006-01-04 00:00:00,-0.0,M,-2147483648,,RBC Capital Markets,Not Provided,3,sector perform,138.65,33.0
2005-12-22 00:00:00,-0.0,U,-2147483648,,UBS,Not Provided,5,buy 2,121.5,34.0
2005-12-21 00:00:00,-0.0,M,-2147483648,,Bear Stearns & Co,Not Provided,5,outperform,121.5,35.0
2005-12-19 00:00:00,-0.0,R,-2147483648,,FBR Capital Markets,Not Provided,5,outperform,118.64,36.0
2005-12-09 00:00:00,-0.0,M,-2147483648,,Natixis Securities Americas LLC,12 month,-2147483648,no rating system,105.77,37.0
2005-12-08 00:00:00,-0.0,M,-2147483648,,Soleil Securities,Not Provided,5,buy,128.64,38.0
2005-12-05 00:00:00,-0.0,M,-2147483648,,Stanford Group,12 month,5,buy,108.63,39.0
2005-11-28 00:00:00,-0.0,M,-2147483648,,A.G. Edwards & Sons Inc,Not Provided,5,buy,107.2,40.0
2005-11-14 00:00:00,-0.0,M,-2147483648,,Johnson Rice & Co,Not Provided,5,overweight,-0.0,41.0
2005-11-09 00:00:00,-0.0,M,-2147483648,,Credit Suisse,12 month,5,outperform,104.35,42.0
2005-11-09 00:00:00,-0.0,R,-2147483648,,Jefferies,12 month,5,buy,107.2,43.0
2005-11-09 00:00:00,-0.0,M,-2147483648,,Fearnley Securities,6 month,5,buy,130.07,44.0
2005-11-08 00:00:00,-0.0,U,-2147483648,,J.P. Morgan,Not Provided,3,neutral,-0.0,45.0
2005-05-06 00:00:00,-0.0,M,-2147483648,,First Global Stockbroking,Not Provided,5,buy,85.76,46.0
2004-12-20 00:00:00,-0.0,U,-2147483648,,Argus Research Corp,Not Provided,3,hold,-0.0,47.0
2004-09-14 00:00:00,-0.0,U,-2147483648,,Goldman Sachs,Not Provided,5,outperform,-0.0,48.0
2003-09-09 00:00:00,-0.0,M,-2147483648,,Weeden & Co,Not Provided,5,buy,47.17,49.0
2006-02-28 00:00:00,-0.0,M,-2147483648,,UBS,Not Provided,5,buy 2,134.36,50.0
2006-02-28 00:00:00,-0.0,M,-2147483648,,"Capital One Securities, Inc.",Not Provided,5,buy,120.07,51.0
2006-02-28 00:00:00,-0.0,R,-2147483648,,Oppenheimer & Co,12 month,5,buy,150.09,52.0
2006-02-24 00:00:00,-0.0,M,-2147483648,,Johnson Rice & Co,Not Provided,5,overweight,-0.0,53.0
2006-02-15 00:00:00,-0.0,M,-2147483648,,Credit Suisse,12 month,5,outperform,137.22,54.0
2006-02-15 00:00:00,-0.0,R,-2147483648,,Jefferies,12 month,5,buy,131.5,55.0
2006-02-15 00:00:00,-0.0,R,-2147483648,,FBR Capital Markets,Not Provided,5,outperform,144.37,56.0
2006-02-15 00:00:00,-0.0,M,-2147483648,,Fearnley Securities,6 month,5,buy,142.94,57.0
2006-02-15 00:00:00,-0.0,D,-2147483648,,Wells Fargo Securities,Not Provided,3,market perform,-0.0,58.0
2006-02-15 00:00:00,-0.0,M,-2147483648,,Aperion Group LLC,12 month,5,buy,200.11,59.0
2006-02-15 00:00:00,-0.0,M,-2147483648,,Natixis Securities Americas LLC,12 month,-2147483648,no rating system,145.8,60.0
2006-02-14 00:00:00,-0.0,D,-2147483648,,Stanford Group,12 month,3,hold,108.63,61.0
2006-02-09 00:00:00,-0.0,M,-2147483648,,Barclays,Not Provided,5,overwt/positive,143.65,62.0
2006-02-07 00:00:00,-0.0,M,-2147483648,,Bear Stearns & Co,Not Provided,5,outperform,142.94,63.0
2006-02-01 00:00:00,-0.0,N,-2147483648,,Scotia Howard Weil Inc,Not Provided,5,buy,147.23,64.0
2006-01-26 00:00:00,-0.0,M,-2147483648,,Raymond James,12 month,5,outperform,122.93,65.0
2006-01-19 00:00:00,-0.0,M,-2147483648,,Morgan Stanley,Not Provided,3,Equalwt/Attractive,137.22,66.0
2006-01-04 00:00:00,-0.0,M,-2147483648,,RBC Capital Markets,Not Provided,3,sector perform,138.65,67.0
