,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price
0,-0.000000,R,-2147483648,2005-12-23,Morgan Keegan,Not Provided,5,outperform,-0.000000
1,-0.000000,M,-2147483648,2005-12-23,"Capital One Securities, Inc.",Not Provided,5,buy,40.190000
2,-0.000000,M,-2147483648,2005-12-22,UBS,Not Provided,5,buy 2,41.060000
3,-0.000000,M,-2147483648,2005-12-21,Bear Stearns & Co,Not Provided,5,outperform,37.130000
4,-0.000000,R,-2147483648,2005-12-14,Jefferies,12 month,5,buy,40.630000
5,-0.000000,M,-2147483648,2005-12-14,Barclays,Not Provided,5,overwt/positive,32.760000
6,-0.000000,M,-2147483648,2005-12-13,Stanford Group,12 month,5,buy,37.130000
7,-0.000000,M,-2147483648,2005-12-09,Natixis Securities Americas LLC,12 month,-2147483648,no rating system,38.880000
8,-0.000000,M,-2147483648,2005-12-08,FBR Capital Markets,Not Provided,5,outperform,39.310000
9,-0.000000,M,-2147483648,2005-11-16,EVA Dimensions,Not Provided,1,sell,-0.000000
10,-0.000000,M,-2147483648,2005-10-25,Johnson Rice & Co,Not Provided,5,overweight,-0.000000
11,-0.000000,M,-2147483648,2005-10-24,J.P. Morgan,Not Provided,5,overweight,-0.000000
12,-0.000000,M,-2147483648,2005-10-24,Aperion Group LLC,12 month,5,buy,62.690000
13,-0.000000,M,-2147483648,2005-10-05,Credit Suisse,12 month,3,neutral,33.640000
14,-0.000000,M,-2147483648,2005-07-20,RBC Capital Markets,12 month,5,outperform,37.130000
15,-0.000000,M,-2147483648,2005-07-20,Raymond James,Not Provided,5,outperform,34.070000
16,-0.000000,N,-2147483648,2005-07-19,"Miller Tabak + Co., LLC",Not Provided,5,buy,-0.000000
17,-0.000000,M,-2147483648,2005-07-12,Morgan Stanley,Not Provided,1,Underwt/Attractive,31.010000
18,-0.000000,M,-2147483648,2005-07-07,Goldman Sachs,Not Provided,3,in-line,-0.000000
19,-0.000000,N,-2147483648,2005-06-20,"Burns, Gustus & Company",12 month,3,hold/buy,37.350000
20,-0.000000,U,-2147483648,2004-12-31,Argus Research Corp,Not Provided,5,buy,-0.000000
21,-0.000000,M,-2147483648,2003-09-09,Weeden & Co,Not Provided,3,hold,17.470000
22,-0.000000,N,-2147483648,2006-02-01,Scotia Howard Weil Inc,Not Provided,5,buy,45.870000
23,-0.000000,M,-2147483648,2006-02-01,Barclays,Not Provided,5,overwt/positive,42.810000
24,-0.000000,M,-2147483648,2006-01-31,Johnson Rice & Co,Not Provided,5,overweight,-0.000000
25,-0.000000,R,-2147483648,2006-01-30,Morgan Keegan,Not Provided,5,outperform,-0.000000
26,-0.000000,M,-2147483648,2006-01-30,Morgan Stanley,12 month,3,Equalwt/Attractive,41.940000
27,-0.000000,M,-2147483648,2006-01-30,RBC Capital Markets,12 month,3,sector perform,44.560000
28,-0.000000,M,-2147483648,2006-01-30,Bear Stearns & Co,Not Provided,5,outperform,41.500000
29,-0.000000,M,-2147483648,2006-01-30,Credit Suisse,12 month,3,neutral,42.370000
30,-0.000000,M,-2147483648,2006-01-30,UBS,Not Provided,5,buy 2,42.810000
31,-0.000000,R,-2147483648,2006-01-30,Jefferies,12 month,5,buy,44.560000
32,-0.000000,M,-2147483648,2006-01-30,"Capital One Securities, Inc.",Not Provided,5,buy,41.060000
33,-0.000000,M,-2147483648,2006-01-30,Raymond James,12 month,5,outperform,41.060000
34,-0.000000,M,-2147483648,2006-01-30,Aperion Group LLC,12 month,5,buy,62.690000
35,-0.000000,M,-2147483648,2006-01-30,Natixis Securities Americas LLC,12 month,-2147483648,no rating system,48.050000
36,-0.000000,M,-2147483648,2006-01-27,FBR Capital Markets,Not Provided,5,outperform,49.360000
37,-0.000000,M,-2147483648,2006-01-26,Stanford Group,12 month,5,buy,41.500000
38,-0.000000,M,-2147483648,2005-11-16,EVA Dimensions,Not Provided,1,sell,-0.000000
39,-0.000000,M,-2147483648,2005-10-24,J.P. Morgan,Not Provided,5,overweight,-0.000000
40,-0.000000,N,-2147483648,2005-07-19,"Miller Tabak + Co., LLC",Not Provided,5,buy,-0.000000
41,-0.000000,M,-2147483648,2005-07-07,Goldman Sachs,Not Provided,3,in-line,-0.000000
42,-0.000000,N,-2147483648,2005-06-20,"Burns, Gustus & Company",12 month,3,hold/buy,37.350000
43,-0.000000,U,-2147483648,2004-12-31,Argus Research Corp,Not Provided,5,buy,-0.000000
44,-0.000000,M,-2147483648,2003-09-09,Weeden & Co,Not Provided,3,hold,17.470000
45,-0.000000,D,-2147483648,2006-02-08,Morgan Keegan,Not Provided,3,market perform,-0.000000
46,-0.000000,M,-2147483648,2006-02-07,"Capital One Securities, Inc.",Not Provided,5,buy,41.060000
47,-0.000000,N,-2147483648,2006-02-01,Scotia Howard Weil Inc,Not Provided,5,buy,45.870000
48,-0.000000,M,-2147483648,2006-02-01,Barclays,Not Provided,5,overwt/positive,42.810000
49,-0.000000,M,-2147483648,2006-01-31,Johnson Rice & Co,Not Provided,5,overweight,-0.000000
50,-0.000000,M,-2147483648,2006-01-30,Morgan Stanley,12 month,3,Equalwt/Attractive,41.940000
51,-0.000000,M,-2147483648,2006-01-30,RBC Capital Markets,12 month,3,sector perform,44.560000
52,-0.000000,M,-2147483648,2006-01-30,Bear Stearns & Co,Not Provided,5,outperform,41.500000
53,-0.000000,M,-2147483648,2006-01-30,Credit Suisse,12 month,3,neutral,42.370000
54,-0.000000,M,-2147483648,2006-01-30,UBS,Not Provided,5,buy 2,42.810000
55,-0.000000,R,-2147483648,2006-01-30,Jefferies,12 month,5,buy,44.560000
56,-0.000000,M,-2147483648,2006-01-30,Raymond James,12 month,5,outperform,41.060000
57,-0.000000,M,-2147483648,2006-01-30,Aperion Group LLC,12 month,5,buy,62.690000
