,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price
0,-0.000000,M,-2147483648,2005-12-05,UBS,12 month,5,buy 2,38.310000
1,-0.000000,N,-2147483648,2005-12-01,Stifel,Not Provided,3,hold,-0.000000
2,-0.000000,M,-2147483648,2005-10-28,Atlantic Equities LLP,12 month,5,overweight,71.840000
3,-0.000000,M,-2147483648,2005-10-21,Baird,Not Provided,5,outperform,39.910000
4,-0.000000,M,-2147483648,2005-10-20,Prudential Equity Group Inc,Not Provided,5,overweight,38.310000
5,-0.000000,M,-2147483648,2005-09-27,Barclays,Not Provided,5,overwt/positive,37.910000
6,-0.000000,M,-2147483648,2005-09-06,Morgan Stanley,Not Provided,3,Equalwt/In-Line,31.930000
7,-0.000000,N,-2147483648,2005-06-03,Longbow Research,Not Provided,5,buy,19.160000
8,-0.000000,M,-2147483648,2005-05-12,KeyBanc Capital Markets,Not Provided,3,hold,-0.000000
9,-0.000000,M,-2147483648,2005-04-22,Bear Stearns & Co,Not Provided,3,peerperform,-0.000000
10,-0.000000,M,-2147483648,2004-03-19,FTN Equity Capital Markets Corp.,Not Provided,3,neutral,3.590000
11,-0.000000,M,-2147483648,2006-01-31,Atlantic Equities LLP,Not Provided,5,overweight,35.920000
12,-0.000000,M,-2147483648,2006-01-27,Morgan Stanley,Not Provided,3,Equalwt/In-Line,33.520000
13,-0.000000,M,-2147483648,2006-01-27,UBS,12 month,5,buy 2,38.310000
14,-0.000000,M,-2147483648,2006-01-27,Stifel,Not Provided,3,hold,-0.000000
15,-0.000000,M,-2147483648,2006-01-26,Prudential Equity Group Inc,Not Provided,5,overweight,38.310000
16,-0.000000,D,-2147483648,2006-01-18,Credit Suisse,12 month,3,neutral,35.920000
17,-0.000000,D,-2147483648,2006-01-17,Barclays,Not Provided,3,equalwt/neutral,38.310000
18,-0.000000,M,-2147483648,2005-10-21,Baird,Not Provided,5,outperform,39.910000
19,-0.000000,N,-2147483648,2005-06-03,Longbow Research,Not Provided,5,buy,19.160000
20,-0.000000,M,-2147483648,2005-05-12,KeyBanc Capital Markets,Not Provided,3,hold,-0.000000
21,-0.000000,M,-2147483648,2005-04-22,Bear Stearns & Co,Not Provided,3,peerperform,-0.000000
22,-0.000000,M,-2147483648,2004-03-19,FTN Equity Capital Markets Corp.,Not Provided,3,neutral,3.590000
23,-0.000000,N,-2147483648,2006-02-28,Independent II Research plc,Not Provided,3,hold,32.370000
24,-0.000000,M,-2147483648,2006-01-31,Atlantic Equities LLP,Not Provided,5,overweight,35.920000
25,-0.000000,M,-2147483648,2006-01-27,Morgan Stanley,Not Provided,3,Equalwt/In-Line,33.520000
